family,challenger,reference,stage,seeds,median_delta_validation_loss_mean,median_delta_validation_loss_p95,median_delta_validation_loss_p99,validation_loss_p95_seed_wins,median_delta_validation_margin_mean,median_delta_validation_margin_p05,median_delta_unseen_margin_mean,median_delta_unseen_margin_p05,unseen_margin_p05_seed_wins,median_delta_unseen_pretrained_top1_agreement,median_delta_unseen_pretrained_score_drift_rms,tail_stability_decision
dense,muon,adamw,5,3,-0.06273999697060617,-0.17523473501205444,-0.2605925559997564,3,0.002112865447998047,0.00390625,-0.002984970808029175,-0.00626683235168457,0,-0.017857134342193604,0.007348179817199707,mixed
dense,normuon,adamw,5,3,-0.055171118303178446,-0.1334848403930664,-0.18153574466704825,3,0.00203821063041687,0.00390625,-0.0015940219163894653,-0.004002436995506287,1,-0.004464268684387207,0.005999848246574402,mixed
