family,seed,operator,run_id,stage,fraction,step,validation_samples,validation_loss_mean,validation_loss_p95,validation_loss_p99,validation_margin_mean,validation_margin_p05,unseen_samples,unseen_margin_mean,unseen_margin_p05,unseen_pretrained_top1_agreement,unseen_pretrained_score_drift_rms
dense,161803,adamw,adamw-scale-matched,1,0.2,79,4096,1.4413241188558459,3.8310513496398926,5.845304131507875,0.00014662742614746094,-0.06640625,224,0.24443408846855164,-0.07359620183706284,0.90625,0.0689794272184372
dense,161803,adamw,adamw-scale-matched,2,0.4,157,4096,1.4668263684693557,3.8096428513526917,5.7179787158966064,-0.0007772445678710938,-0.0625,224,0.24645443260669708,-0.07837194949388504,0.9196428656578064,0.06724101305007935
dense,161803,adamw,adamw-scale-matched,3,0.6,235,4096,1.389476882098279,3.683743178844452,5.554702091217052,0.001965135335922241,-0.05859375,224,0.2532665431499481,-0.07578206062316895,0.9285714030265808,0.06819311529397964
dense,161803,adamw,adamw-scale-matched,4,0.8,313,4096,1.3607692849084287,3.6776580214500427,5.730568099021934,0.003118276596069336,-0.0595703125,224,0.2556595504283905,-0.07313980907201767,0.9330357313156128,0.06727958470582962
dense,161803,adamw,adamw-scale-matched,5,1.0,391,4096,1.29459801235771,3.5689820647239685,5.653109002113342,0.0053150951862335205,-0.05859375,224,0.25524935126304626,-0.0729692354798317,0.9285714030265808,0.06307633966207504
dense,161803,muon,muon-scale-matched,1,0.2,79,4096,1.4649003898884985,3.7736213207244873,5.445690274238587,-0.0006579160690307617,-0.0625,224,0.24535301327705383,-0.08110757172107697,0.9196428656578064,0.06890711933374405
dense,161803,muon,muon-scale-matched,2,0.4,157,4096,1.4951192286430341,3.766294777393341,5.355852985382085,-0.0017120838165283203,-0.0625,224,0.2426450103521347,-0.06929949671030045,0.9107142686843872,0.06741432845592499
dense,161803,muon,muon-scale-matched,3,0.6,235,4096,1.4502112721673939,3.7386884689331055,5.46993675231934,-4.011392593383789e-05,-0.0625,224,0.24792596697807312,-0.07609747350215912,0.9241071343421936,0.07599843293428421
dense,161803,muon,muon-scale-matched,4,0.8,313,4096,1.3327086862491342,3.569403648376465,5.281849169731148,0.0038715600967407227,-0.0546875,224,0.2460521012544632,-0.07798679172992706,0.90625,0.07592645287513733
dense,161803,muon,muon-scale-matched,5,1.0,391,4096,1.231858015387104,3.4164366722106934,5.122917199134828,0.007097721099853516,-0.0546875,224,0.24693098664283752,-0.07924393564462662,0.9017857313156128,0.07245227694511414
