family,seed,stage,fraction,challenger,reference,delta_validation_loss_mean,delta_validation_loss_p95,delta_validation_loss_p99,delta_validation_margin_mean,delta_validation_margin_p05,delta_unseen_margin_mean,delta_unseen_margin_p05,delta_unseen_pretrained_top1_agreement,delta_unseen_pretrained_score_drift_rms
dense,161803,1,0.2,muon,adamw,0.023576271032652585,-0.05743002891540527,-0.399613857269288,-0.0008045434951782227,0.00390625,0.0009189248085021973,-0.00751136988401413,0.013392865657806396,-7.230788469314575e-05
dense,161803,1,0.2,normuon,adamw,0.006834802622279312,0.053225934505462646,-0.13582360744476496,-0.00040900707244873047,0.0,0.0035017579793930054,-0.007953472435474396,0.00892859697341919,-0.004895590245723724
dense,161803,2,0.4,muon,adamw,0.02829286017367849,-0.043348073959350586,-0.36212573051452157,-0.0009348392486572266,0.0,-0.003809422254562378,0.009072452783584595,-0.00892859697341919,0.0001733154058456421
dense,161803,2,0.4,normuon,adamw,-0.016108233007344097,-0.03144639730453491,-0.15528504848479852,0.00022721290588378906,0.0,-0.00014221668243408203,-0.003191933035850525,-0.00892859697341919,0.000183887779712677
dense,161803,3,0.6,muon,adamw,0.06073439006911485,0.054945290088653564,-0.08476533889771254,-0.002005249261856079,-0.00390625,-0.005340576171875,-0.00031541287899017334,-0.004464268684387207,0.007805317640304565
dense,161803,3,0.6,normuon,adamw,-0.003291594888310101,0.01273047924041748,-0.15767350196839214,-0.00032719969749450684,0.0,-0.0013003647327423096,-0.0030434057116508484,0.0,0.0038713067770004272
dense,161803,4,0.8,muon,adamw,-0.028060598659294556,-0.10825437307357788,-0.44871892929078605,0.0007532835006713867,0.0048828125,-0.009607449173927307,-0.004846982657909393,-0.026785731315612793,0.008646868169307709
dense,161803,4,0.8,normuon,adamw,-0.07448398813460244,-0.08453482389450073,-0.3870169401169008,0.001981019973754883,0.0009765625,-0.006434321403503418,-0.0006631016731262207,-0.013392865657806396,0.0054731592535972595
dense,161803,5,1.0,muon,adamw,-0.06273999697060617,-0.15254539251327515,-0.5301918029785142,0.0017826259136199951,0.00390625,-0.00831836462020874,-0.006274700164794922,-0.026785671710968018,0.009375937283039093
dense,161803,5,1.0,normuon,adamw,-0.07507238845624897,-0.1334848403930664,-0.4911473989486632,0.00203821063041687,0.00390625,-0.00558587908744812,-0.00437956303358078,-0.017857134342193604,0.007270924746990204
dense,271828,1,0.2,muon,adamw,-0.09977395670830447,-0.37453991174697876,-0.4201921701431184,0.0024080276489257812,0.0078125,-0.0007048249244689941,0.0015530362725257874,0.0,0.002601809799671173
dense,271828,1,0.2,normuon,adamw,-0.15115905683569508,-0.4655425548553467,-0.5288881778717052,0.004106283187866211,0.01171875,0.0015251487493515015,0.004464834928512573,0.004464268684387207,-9.872019290924072e-06
dense,271828,2,0.4,muon,adamw,0.0346712884520457,-0.04710257053375244,0.022942948341371228,-0.0009675025939941406,0.00244140625,-0.0038535594940185547,-0.00936756283044815,-0.008928537368774414,0.00950680673122406
