draw,learning_rate,margin,optimizer,relative_margin,relative_shortlist_ndcg,removed_fraction,run_id,shortlist_ndcg,step,task
2,3e-05,0.2710513720775064,adamw,0.9956937677372654,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,SciFact
2,3e-05,0.08256603006591479,adamw,0.9909710273092383,0.9910182588983335,0.1,verified-v3-adamw-3e-5,0.9028996643973242,3126,TRECCOVID
2,3e-05,0.3164659689157274,adamw,0.9976756441646564,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,Touche2020
3,3e-05,0.24427026541650163,adamw,0.9847876536525371,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,ArguAna
3,3e-05,0.0055841501646550235,adamw,0.5238004221198851,0.9980938682779742,0.1,verified-v3-adamw-3e-5,0.7485793391333695,3126,ClimateFEVER
3,3e-05,0.301930751294765,adamw,1.002530153906816,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,DBPedia
3,3e-05,0.42957191173540665,adamw,0.9950293890131994,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,FEVER
3,3e-05,0.22805914996114243,adamw,0.9861780694146813,1.0236115350940154,0.1,verified-v3-adamw-3e-5,1.0,3126,FiQA2018
3,3e-05,0.3015303770525705,adamw,0.9973080488081673,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,HotpotQA
3,3e-05,0.45419461424986063,adamw,0.9989012916310965,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,MSMARCO
3,3e-05,0.00636121995141847,adamw,1.6890976701979419,0.9654900029852902,0.1,verified-v3-adamw-3e-5,0.6953210362500142,3126,NFCorpus
3,3e-05,0.4351577374715912,adamw,0.9935260365340682,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,NQ
3,3e-05,0.4879962011392338,adamw,0.9928492886368031,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,QuoraRetrieval
3,3e-05,0.10165702577263014,adamw,0.9493507246847142,1.0,0.1,verified-v3-adamw-3e-5,0.86024524972907,3126,SCIDOCS
3,3e-05,0.26897746591360616,adamw,0.9880753763362549,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,SciFact
3,3e-05,0.07983686705878683,adamw,0.9582151655255378,0.9657001527282164,0.1,verified-v3-adamw-3e-5,0.8798327739955403,3126,TRECCOVID
3,3e-05,0.31838687076635774,adamw,1.0037313884766617,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,Touche2020
4,3e-05,0.25003619464131877,adamw,1.0080332824348712,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,ArguAna
4,3e-05,0.0091303818476987,adamw,0.8564414861568764,1.005776884517927,0.1,verified-v3-adamw-3e-5,0.7543416701147005,3126,ClimateFEVER
4,3e-05,0.3064497280663266,adamw,1.0175349537122922,0.9769331095982161,0.1,verified-v3-adamw-3e-5,0.9769331095982161,3126,DBPedia
4,3e-05,0.4251433674968146,adamw,0.9847714285936215,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,FEVER
4,3e-05,0.2323476682073567,adamw,1.0047225682669387,1.0,0.1,verified-v3-adamw-3e-5,0.9769331095982161,3126,FiQA2018
4,3e-05,0.3006925124667897,adamw,0.9945368218977029,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,HotpotQA
4,3e-05,0.45341378602418314,adamw,0.9971840314551708,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,MSMARCO
4,3e-05,0.0021864334245703873,adamw,0.5805646765383793,0.9808837898335258,0.1,verified-v3-adamw-3e-5,0.7064072451077252,3126,NFCorpus
4,3e-05,0.43672018698256254,adamw,0.9970933275098406,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,NQ
4,3e-05,0.4915289444592918,adamw,1.0000368070725363,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,QuoraRetrieval
4,3e-05,0.1067115227521499,adamw,0.9965534667869301,0.9945895246886843,0.1,verified-v3-adamw-3e-5,0.8555909140437343,3126,SCIDOCS
4,3e-05,0.2675505304770527,adamw,0.9828335998041904,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,SciFact
4,3e-05,0.0796261992170248,adamw,0.955686695555439,0.9746818938298829,0.1,verified-v3-adamw-3e-5,0.8880158835937564,3126,TRECCOVID
4,3e-05,0.3166916614371129,adamw,0.998387151731893,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,Touche2020
5,3e-05,0.25477298624083533,adamw,1.0271298919922205,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,ArguAna
5,3e-05,0.0058527891424706244,adamw,0.5489991015659201,0.9602399625491017,0.1,verified-v3-adamw-3e-5,0.7201885708552056,3126,ClimateFEVER
5,3e-05,0.3040531226420816,adamw,1.0095772707186956,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,DBPedia
5,3e-05,0.433259435979797,adamw,1.0035709041719632,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,FEVER
5,3e-05,0.22529635504600398,adamw,0.9742311347880103,0.9763884649059846,0.1,verified-v3-adamw-3e-5,0.9538662191964322,3126,FiQA2018
5,3e-05,0.2997180827171215,adamw,0.9913139073713407,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,HotpotQA
5,3e-05,0.452023236097584,adamw,0.9941258223215123,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,MSMARCO
5,3e-05,0.0030260131747044533,adamw,0.8034986751624319,0.9924330900827325,0.1,verified-v3-adamw-3e-5,0.7147247537224295,3126,NFCorpus
5,3e-05,0.43743305386563125,adamw,0.9987209024049277,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,NQ
5,3e-05,0.49217988132695834,adamw,1.0013611661648845,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,QuoraRetrieval
5,3e-05,0.10103844713606759,adamw,0.9435739662911664,1.0,0.1,verified-v3-adamw-3e-5,0.86024524972907,3126,SCIDOCS
5,3e-05,0.2715409534395661,adamw,0.99749222058134,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,SciFact
5,3e-05,0.08221088964843815,adamw,0.9867085738030578,1.025318106170117,0.1,verified-v3-adamw-3e-5,0.9341496643973242,3126,TRECCOVID
5,3e-05,0.32066030880975904,adamw,1.010898521714368,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,Touche2020
6,3e-05,0.2503823459157935,adamw,1.0094288084143332,1.0,0.1,verified-v3-adamw-3e-5,1.0,3126,ArguAna
