family,optimizer,validation_selected_run_id,validation_selected_lr,validation_contrastive_loss,validation_positive_margin,best_discovery_beir_run_id,best_discovery_beir_lr,selected_discovery_beir,best_discovery_beir,discovery_beir_regret,selected_unseen_margin,best_beir_unseen_margin,selected_score_drift_rms,best_beir_score_drift_rms,score_drift_excess,selected_top1_agreement,best_beir_top1_agreement,selection_matches_beir_oracle
dense,adamw,adamw-lr3e-5,3e-05,1.2285124746322253,0.007457733154296875,adamw-lr3e-5,3e-05,0.5898671428571428,0.5898671428571428,0.0,0.2644259035587311,0.2644259035587311,0.06043734773993492,0.06043734773993492,0.0,0.9107142686843872,0.9107142686843872,True
dense,muon,muon-lr3e-3,0.003,0.7657533268286691,0.03001689910888672,muon-lr3e-4,0.0003,0.560775,0.5923092857142858,0.03153428571428574,0.20756851136684418,0.26713043451309204,0.12103559076786041,0.06193898618221283,0.05909660458564758,0.8794642686843872,0.9017857313156128,False
dense,normuon,normuon-lr3e-3,0.003,0.7261481215106116,0.03057098388671875,normuon-lr3e-4,0.0003,0.5633857142857143,0.5934292857142858,0.030043571428571503,0.22097839415073395,0.2662985026836395,0.10750558972358704,0.06061815470457077,0.046887435019016266,0.8973214030265808,0.8973214030265808,False
late,adamw,adamw-lr3e-5,3e-05,0.16617350674153297,0.0077189189760247245,adamw-lr3e-5,3e-05,0.5958271428571429,0.5958271428571429,0.0,0.017172647640109062,0.017172647640109062,0.041143447160720825,0.041143447160720825,0.0,0.9107142686843872,0.9107142686843872,True
late,muon,muon-lr1e-3,0.001,0.15281773754549374,0.00840956307365559,muon-lr3e-4,0.0003,0.59661,0.5972314285714285,0.0006214285714285506,0.016974836587905884,0.017214259132742882,0.050155092030763626,0.039703618735075,0.01045147329568863,0.9151785969734192,0.9017857313156128,False
late,normuon,normuon-lr1e-3,0.001,0.151930531028941,0.008435057534370571,normuon-lr3e-4,0.0003,0.5961528571428572,0.5963392857142857,0.00018642857142858738,0.017093073576688766,0.017184410244226456,0.05036899819970131,0.03902577981352806,0.011343218386173248,0.9196428656578064,0.90625,False
