family,challenger,relative_scale,local_margin_delta_adamw,local_margin_delta_challenger,local_margin_contrast,final_lr_points,final_median_unseen_margin_adamw,final_median_unseen_margin_challenger,final_unseen_margin_contrast,final_median_beir_adamw,final_median_beir_challenger,final_beir_contrast,local_global_reversal
dense,muon,0.001,0.0008649553571428572,0.0005615234375,-0.00030343191964285726,4,0.24986500293016434,0.26089248061180115,0.01102747768163681,0.5857621428571429,0.5901085714285714,0.004346428571428529,True
dense,normuon,0.001,0.0008649553571428572,0.0004978724888392857,-0.00036708286830357153,4,0.24986500293016434,0.2610543221235275,0.01118931919336319,0.5857621428571429,0.5909703571428572,0.005208214285714274,True
late,muon,0.001,0.0007835004212600844,0.0003858994958656175,-0.00039760092539446696,4,0.014614621177315712,0.016288503538817167,0.0016738823615014553,0.5897753571428571,0.5948885714285714,0.005113214285714318,True
late,normuon,0.001,0.0007835004212600844,0.0003308384546211788,-0.0004526619666389057,4,0.014614621177315712,0.016283610370010138,0.0016689891926944256,0.5897753571428571,0.5947142857142858,0.004938928571428636,True
