centered_log10_learning_rate,cumulative_displacement_to_weight_ratio,cumulative_stable_rank_fraction,dose_index,learning_rate,log_saved_segment_to_weight_ratio,margin_degrading_attribution_mass,margin_helpful_attribution_participation_ratio,margin_helpful_mass_share,mean_cumulative_subspace_overlap_to_adamw,mean_ndcg_at_10,mean_saved_segment_subspace_overlap_to_adamw,optimizer,progress_fraction,random_50pct_relative_shortlist_ndcg,run_id,saved_segment_row_norm_cv,saved_segment_sketch_effective_rank_fraction,saved_segment_stable_rank_fraction,saved_segment_top_1pct_row_energy,stage
-0.7385606273598313,0.0005799982843460624,0.007569971962528114,1,1e-06,-7.452485412452214,0.10597265842670744,0.298890712515835,0.5217750659853505,0.590446660504303,0.5425692857142858,0.5890168456324175,adamw,0.2,0.99137371115612,verified-v3-adamw-1e-6,0.2808063304559751,0.06510163336301657,0.007569971962528114,0.042074739823446554,1
-0.7385606273598313,0.0009423203018994115,0.007207780689625285,1,1e-06,-7.742971534438848,0.1063109809338353,0.29806835528858006,0.5184728894248319,0.5729035136626898,0.55545,0.400314652528647,adamw,0.4,0.9919017737342618,verified-v3-adamw-1e-6,0.2696044521734995,0.0672606606295402,0.007942146781845261,0.04698739757133837,2
-0.7385606273598313,0.001149504508264804,0.0070850130555729605,1,1e-06,-8.211758584183169,0.10466214959445386,0.302523859842756,0.5271370257297446,0.5680912782416517,0.5608178571428571,0.3575617532260756,adamw,0.6,0.9946652706766315,verified-v3-adamw-1e-6,0.253249815361385,0.06851160783924946,0.008726281084040588,0.04616523514636219,3
-0.7385606273598313,0.0012594588976112655,0.007016437579736565,1,1e-06,-8.784934448291764,0.10577415383781368,0.301535619071145,0.5215824277951986,0.5675755148544349,0.5633707142857143,0.34934645126044167,adamw,0.8,0.9938383552154301,verified-v3-adamw-1e-6,0.2437607382429156,0.06914084954535897,0.009222222200749234,0.04578852573818064,4
-0.7385606273598313,0.0012933654877582434,0.006996122711801274,1,1e-06,-9.8766445300743,0.10440986613644813,0.30649580758710737,0.5290109719513146,0.5681050131744879,0.5649535714285714,0.35289623943919485,adamw,1.0,0.9934964581236447,verified-v3-adamw-1e-6,0.21867758457992167,0.07028609714777924,0.010138808648349342,0.04117629916860378,5
-0.2614393726401687,0.0012898259664681207,0.008386301029466903,2,3e-06,-6.653247979424325,0.1048083013478714,0.30298039956459955,0.5257996413231097,0.6820973879167953,0.5644085714285715,0.6806403789636074,adamw,0.2,0.9943571415310162,verified-v3-adamw-3e-6,0.2556044270289454,0.06766429585994034,0.008386301029466903,0.043132878063037436,1
-0.2614393726401687,0.001919252448911381,0.008331418528807567,2,3e-06,-7.004847855762574,0.10247950230091164,0.31096576290284644,0.5395360254061831,0.6681350098321888,0.5754778571428572,0.4910758256201704,adamw,0.4,0.993123152927838,verified-v3-adamw-3e-6,0.20692214634727668,0.07122855936301584,0.010753542098503911,0.03982479647698409,2
-0.2614393726401687,0.002220415467136432,0.008507777937586667,2,3e-06,-7.492549192523246,0.10518367929675722,0.30685338548797053,0.5263821994826365,0.668092226958211,0.5815735714285715,0.46532431487890497,adamw,0.6,0.9895559867122748,verified-v3-adamw-3e-6,0.15476208262862687,0.07404944883682724,0.01411014714787935,0.03022627070556111,3
-0.2614393726401687,0.0023677773893004705,0.008633227619623065,2,3e-06,-8.0558958998658,0.106326657468428,0.30535257552188894,0.521621686746404,0.6697792899454553,0.5840192857142857,0.4698789294430597,adamw,0.8,0.9897001305789964,verified-v3-adamw-3e-6,0.13139190625419273,0.0752551470635834,0.016621155056723937,0.02623197096175848,4
-0.2614393726401687,0.0024127642404132062,0.008644303744376608,2,3e-06,-9.084402589616092,0.10642315003513837,0.30579199658826484,0.5209935368865225,0.6717392751771073,0.5834164285714286,0.4880178050335609,adamw,1.0,0.9901173538080981,verified-v3-adamw-3e-6,0.1156568420542912,0.07595138543961096,0.018182217850683528,0.023830380313158196,5
