baseline_margin,baseline_shortlist_ndcg,margin_absolute_attribution_participation_ratio,margin_degrading_attribution_mass,margin_degrading_coordinate_fraction,margin_helpful_attribution_mass,margin_helpful_attribution_participation_ratio,margin_helpful_mass_share,ndcg_absolute_attribution_participation_ratio,ndcg_degrading_attribution_mass,ndcg_degrading_coordinate_fraction,ndcg_helpful_attribution_mass,ndcg_helpful_attribution_participation_ratio,ndcg_helpful_mass_share,optimizer,rates,stage,step,tasks
0.23679479083003874,0.9412671619747833,0.5726028754110182,0.10597025786614599,0.48390997023809523,0.11613512239545302,0.304040518766233,0.5228962212487258,0.044030447606040794,0.24860161334636502,0.0361328125,0.06312971723691761,0.01772709121932732,0.16219297747111125,adamw,4,1,782,14
0.24380424483677712,0.943000939695577,0.5708960928398704,0.10519577980839237,0.48270089285714285,0.11745342607808097,0.3059388918392635,0.5274085679440669,0.027459223985497376,0.18890123128473263,0.020438058035714284,0.1626765905440528,0.017779301673814783,0.15380623886815692,adamw,4,2,1563,14
0.2474578283818054,0.9440683533972672,0.5741355361068237,0.10683920763667372,0.48807198660714285,0.11589590977981977,0.3043857959747223,0.5202240689899467,0.041657536490238456,0.08069415585250958,0.0205078125,0.297548324728713,0.03295154245037372,0.18094377513113064,adamw,4,3,2345,14
0.2489797406571906,0.9436905514753435,0.5726222780697957,0.10659636795611953,0.48709542410714285,0.11600702991904341,0.3050333572494624,0.5210544642929164,0.043684838269812024,0.12120068182569778,0.025669642857142856,0.18488493484104157,0.02520598078001553,0.16589199877160418,adamw,4,4,3126,14
0.2497258529212849,0.9432961852095569,0.574168978780038,0.10588373883842354,0.48465401785714285,0.11656569743141143,0.3067563996970112,0.523680802313069,0.034516046057979755,0.20177536815321892,0.03562127976190476,0.12681372064089194,0.012528077536313423,0.1665533242580659,adamw,4,5,3907,14
0.22865848631605495,0.9338962982670631,0.5121817713853839,0.1025672094997502,0.47914341517857145,0.1108705223718682,0.30815044776600725,0.5195942661464168,0.033219423277659026,0.16064219290816117,0.023995535714285716,0.11802503479706371,0.01580330298350177,0.12467187310074847,muon,4,1,782,14
0.2330724617761128,0.9397527894211682,0.4903524858599208,0.10322133822896473,0.4763764880952381,0.11158697613583465,0.31140225482821743,0.5191202760763928,0.03854063893935396,0.13594671838936473,0.027390252976190476,0.24547337665657007,0.019672359057153924,0.1724640331241816,muon,4,2,1563,14
0.2391443908800735,0.9386817767011465,0.5046600919163315,0.10324335845665325,0.47865513392857145,0.11221743676920969,0.3108431263621266,0.5204303142760192,0.028504375600378554,0.07564777029350502,0.017671130952380952,0.1613450501763558,0.017154507183678776,0.1617884577559942,muon,4,3,2345,14
0.24645317826555718,0.9353339700576463,0.5290298504774333,0.1047840748728733,0.48098028273809523,0.11339222847819874,0.3076992529659477,0.5194394469915249,0.0417685413042788,0.329726948089874,0.027878534226190476,0.14456923230057983,0.01949281165283065,0.1494160979346811,muon,4,4,3126,14
0.25028904901754573,0.9367172672750391,0.5373324449349657,0.1045779440156857,0.4798642113095238,0.11421808602771165,0.31034095307291626,0.5218792072580183,0.034005822710780224,0.28530272643180826,0.024251302083333336,0.11114282989262511,0.01908168964299284,0.11790112959226136,muon,4,5,3907,14
0.231011334519061,0.9374073955853174,0.5367492722481576,0.10309877652725453,0.48388671875,0.11034263770406456,0.3048528492121095,0.5167649840871029,0.03486213110632954,0.08141010195054074,0.020600818452380952,0.2508975495175593,0.021322115117770667,0.15942096804373088,normuon,4,1,782,14
0.23666366863778981,0.940476542924212,0.5069916685009508,0.10333569736278034,0.4795619419642857,0.11136201444265535,0.30991051427472416,0.5187020710274594,0.03155287948892467,0.20624280821743377,0.030482700892857144,0.18731365954607546,0.01620756037180257,0.1647986913154584,normuon,4,2,1563,14
0.24171097769300925,0.9392563077367447,0.506375211132219,0.10269457717280459,0.48116629464285715,0.1117779534027757,0.30881925591027803,0.520584255309958,0.030289001290787952,0.1609939937210123,0.018694196428571428,0.16697903720210824,0.0181109413815173,0.24311458700705854,normuon,4,3,2345,14
0.24902934654296008,0.9389164033999698,0.5441589018686199,0.10528187149465672,0.48307291666666663,0.11360185342958741,0.30655035174617057,0.5187069576593629,0.03310108334526137,0.15891705256373082,0.021530877976190476,0.06478525054179086,0.022203262568981037,0.11093837516148478,normuon,4,4,3126,14
0.2525735758789303,0.9398140907417076,0.5480518718742976,0.10404777506928313,0.47998046875,0.11482858759949141,0.3091072452916562,0.5241179884398469,0.04337024710481495,0.2300585429972458,0.052478608630952384,0.044145014769966906,0.004540788435881517,0.09546299555479311,normuon,4,5,3907,14
