augmented_numeric_rank,baseline_mse_exact,baseline_rmse,exact_residual_energy,feature,feature_improves,feature_mse_exact,feature_rmse,held_out_dose_index,mse_reduction_exact,rmse_reduction,status,test_rows,train_rows,training_feature_mean,training_feature_scale
9,9845807269147193278121897479789258526094283204235252913219129033065805519704871819529/9454553982130008857333547873282221478476666448100129488964933619699373987922396305162240,0.03227045896603462,2405797880449188688420317417197887211022633867418547790029/2261333745000336950450002916798507833515217537898355810631680,margin_helpful_mass_share,False,158895424920429866942755264185161303122044297339809154963020612935634473864885187673368715529570820015630167846120530815787947574754519435306231147/150137955492822367689864434056167748523455019593522833115077835310961158441874701519483250738821046744553705272319099959076762460976507235276632883200,0.03253197632637132,1,-549098293830203368638094777733352892145825447894023577517004502007065259157165173878532164663943424924402415987848328917396813254874265932292141369664018748720691203797646661251050484298329049403883/32400987246447839848374906877599147215960865047869033741681591640845912900444338146797489893075948624337217209168060643987226585478843313484460490106784845135807770218710103857726766043587139603320012800,-0.0002615173603367028,resolved,15,45,0.5206356322246553,0.00597782279348749
9,11896003488244700534325264717820502162128122080766456214916688215202921205181928792563/81300047827968205117115278581249754560694899085125601337711013545757429559104995170713600,0.012096372185435933,335928951958042391274770590982363826422161630611335165659/428039571229281252675988308568704886091144492337858525265920,margin_helpful_mass_share,True,28146659766234399609124230397281237651078747286077003026915118741984726220183634936575570750879552384935835916232234528981965068190729130026846153/222474727772731867526495391029797307328992450494541387716516771324211359723491916428194190578227338481205098478308081015950985811467156441762313011200,0.011247942555971288,2,2180539077211791715588835513214134429207849425474746279347994847944172455004837207279117988495223780713183729008231555418075364311563325792323772583025301286706667445951242359043156724927271113390163/110094827968632545042089633537608449925568226529702304590426615770811740521111574673779091979110376505693721449539989586764375047825878876357078928900544691143035828692640230382825355027422030247179059200,0.0008484296294646448,resolved,15,45,0.5196779535397948,0.005094255975967899
9,5196025943548907531014009450216976700143970544982390085221230309959181611685297825111/16260009565593641023423055716249950912138979817025120267542202709151485911820999034142720,0.017876202144836942,1038740842791618260371809800714649681528691908520837232813/1027294970950275006422371940564891726618746781610860460638208,margin_helpful_mass_share,False,73660386108804115829031370106391573256312557217907426214707038881688167389652077717963093273109661312239463516120844218323408010677415258397714251/177263362985742980529163891678191635576903992472189610561792844148070756208283939255432092932507196057069108719404937002757247789011504768066414182400,0.020384849213039347,3,-1052474776926485229840462184566664381808441792202164318951205071227518045916036930528590024394593979800198114499420390434933217974266607749236993782323664336124578184294910292576442548666983102556187/10965166498030791298220292113748332148895823002925997967051909962956429566165812560793175366990802532621584928737492253729563570958382098973807542449081362345315108059279245087918362709207334964219084800,-0.002508647068202405,resolved,15,45,0.5216706577532138,0.005697553404876325
9,88360302378788955681063222091998206205873834571821652176982737391256695758390313891159/47272769910650044286667739366411107392383332240500647444824668098496869939611981525811200,0.043233766395369064,635991661106470336796239389983308406770464923794363917017/565333436250084237612500729199626958378804384474588952657920,margin_helpful_mass_share,True,165427983673830853459641613038202763068084541659239058499697404012130008451000062909749673138312057477892206210533811565895282841921749282167013007/88602534930151929482499882358971978767116277197092552973419118562437192857811763379305387370880087144405416308162083770471752682814553868624671539200,0.04320971626446823,4,159009687591910964124011209737505071183378580292353046569860797189329214199831307442018460276782198626949563368209923458412760978888040912246077838501198441687188206128728621771397655282051039901117/76484579661457997178197256604178750458398800021335204457322070582365149810849085444361881579474639031526728398143270008294636059790341259785929641108372106851167478903916082367738203532971023959012147200,2.4050130900831903e-05,resolved,15,45,0.5219101276985568,0.005433430008231084
9,9845807269147193278121897479789258526094283204235252913219129033065805519704871819529/9454553982130008857333547873282221478476666448100129488964933619699373987922396305162240,0.03227045896603462,27907466194439892990039382435007896376105680231484516930143/27136004940004043405400035001582094002182610454780269727580160,margin_helpful_attribution_participation_ratio,False,5526273690832185929781250939641096728694167924024329796653364706080236167656830112027765400287698250741043705297969894394135756416975758574846629831/5118060012121320340647361382850452142006541822216097786096896087123739487865599214543107343158073456371534003191044656533997719030316803102926612463616,0.0328596934752973,1,-105970112853113151997246795394757454259906602960508288283098227734513535816599662263987014236908639837228023230295355878621796827570114348295360756288157927306354260802959464030715851431129015335640099/2761297045689845678946383179509237132467288939216576370154929657408420350369519888040422986602641495492852597467905188094998692725626799668939269499942044703981956455216186356021679186710748009511161692160,-0.0005892345092626778,resolved,15,45,0.3082389214447519,0.005516623048925121
9,11896003488244700534325264717820502162128122080766456214916688215202921205181928792563/81300047827968205117115278581249754560694899085125601337711013545757429559104995170713600,0.012096372185435933,1137772022499671301860357230316032030759106646395049777185/1027294970950275006422371940564891726618746781610860460638208,margin_helpful_attribution_participation_ratio,False,4087706891314339924719917799646628221278556591736258605757009512801565253571540912474745233735303501906247661838451070793333939382810250960388089799/21267432774693315031818908212468137734911612362243684976015809095598018791967783637620428157214848511889240197969078068359822247449678663915667456000000,0.013863801744746935,2,-482893115461278066093174385610935096117948414321368535513400992421431148647217876213465732153175730983760571235341040946528140444186588184447640056176978426852115831591068796225545586802133840137326259/10524495865688621280919202347207673183452165531988393237997911306940389886589025965004343268886160507159231564914317308418525461805921557603547285081527561893676215056088245267453032706375890235293696000000,-0.001767429559311001,resolved,15,45,0.3074551480709905,0.006000683509090538
9,5196025943548907531014009450216976700143970544982390085221230309959181611685297825111/16260009565593641023423055716249950912138979817025120267542202709151485911820999034142720,0.017876202144836942,2256786301909007304156721118981341094057081785226112569741/4109179883801100025689487762259566906474987126443441842552832,margin_helpful_attribution_participation_ratio,True,1537918361057432080813348608765854587616777854419781738190108560436107563102500692952876485048764193804357060057794590768134549504515676817598361/8712309412950980101136068903177128847102214141938892764350056347318942145375147734849040658132627366941090103733946762273549591291954990615101440000,0.013286175829507684,3,308343852726163455595370750323137630230256698170005657720370402951909531074665951222795758250533054394766842434365769849882372719342073762797680778406557527765597081339243272877936298113682852986537/2155705988790292401311574062322286784548188931491472596023579905507753806545921917385933008281005133053126506392786909019837603090802694521210494548436930610969255528111207813986387790014243688939520000,0.004590026315329259,resolved,15,45,0.3086157964588122,0.0055772525630405035
9,88360302378788955681063222091998206205873834571821652176982737391256695758390313891159/47272769910650044286667739366411107392383332240500647444824668098496869939611981525811200,0.043233766395369064,492312803809905954925093452877400766725032828452933225377/1130666872500168475225001458399253916757608768949177905315840,margin_helpful_attribution_participation_ratio,False,179958438389614217427386211737536294266634883706473980858712601681651905563016360355577918569605554774308069064115444408972900373258446040751997201/59728015959645808911118253846314165332538633639509543434732201357452053005083779206357477971740969947505231935972143717026292252934597618232301977600,0.054890484430392295,4,-117947425741587998894402229754968335821407499660813552160328572094601252373305251394457954635299939993441549169200173102072330784119419010537006507665711674717207846052222338282627964799524754826735283/103118318190053417231650975568127302964690221192736858189598734649086037034607706950763267068452620498941805005829003071620695415085687188355209979011080513568700075867514658154581998173681471154500403200,-0.011656718035023236,resolved,15,45,0.30604512468060435,0.003445256434032017
9,9845807269147193278121897479789258526094283204235252913219129033065805519704871819529/9454553982130008857333547873282221478476666448100129488964933619699373987922396305162240,0.03227045896603462,5575698333927142863679629348250100728847710248249525180587/13568002470002021702700017500791047001091305227390134863790080,margin_degrading_attribution_mass,True,538845444104216812525343329972683654947549037827787648973056692126264680620528265287026573717651680437361793751579090923008795008605128223040106245191/1307504134367038418188251911021189031218465307336905617696512569878563506706316278704513791195034320795172968266411020392904367192243772853940780426854400,0.020300679382030055,1,710238715266806590606348220467059093086030859315998316200839450341467031088734659702303946631878398474409343629370628749976990501982406128277255266797138638118913966281904629161657795364812050149176856809/1128679943542445452614069296411574684914113093292087654806928031044567474572752508327376895575445956246222501293184552984393747564469373609145500590177008616164263932726457272778396579559453924344337950310400,0.011969779584004565,resolved,15,45,0.1039337296781407,0.0041431581335655875
9,11896003488244700534325264717820502162128122080766456214916688215202921205181928792563/81300047827968205117115278581249754560694899085125601337711013545757429559104995170713600,0.012096372185435933,29734507800805254070003145276340830694857020996454261841509/65746878140817600411031804196153070503599794023095069480845312,margin_degrading_attribution_mass,True,522096634497345795900200105976144411366126904787752675282664309147101375858010871081586393010762329920957389030582708769713404586009949081333651799/5810132909376927350120552327409903065569909876684714192677630770628784137117328033205237839339114345526106559817557459057302232081346907934897056251904,0.009479434132951374,2,1014641904955090717186178365778039320987730782886944420153910497814061867423469327140473147589297429224367473962701099164657608347326854074759305121813122699901279819762982042939140826658869692650953657/17970175464890079457304310145453466323669969035860474052042668390561653342911129675640490221283550967554997662143747764605491064492559787643641940038621000854515845364573876261244611677725201858109531750400,0.002616938052484559,resolved,15,45,0.10411226044812202,0.004201996813920063
