treatment,baseline,mean_delta_ndcg_at_10,across_task_standard_error,nominal_bootstrap_ci_95_lower,nominal_bootstrap_ci_95_upper,simultaneous_ci_95_lower,simultaneous_ci_95_upper,simultaneous_critical_value,support,bootstrap_samples,bootstrap_seed,tasks
muon,adamw,0.0015691071428571607,0.005748341624247988,-0.00860559374999997,0.013292656250000038,-0.010808336441841229,0.013946550727555549,2.153219901281987,inconclusive,50000,20260903,14
normuon,adamw,0.0020726785714285795,0.005097415550342816,-0.006809825892857118,0.012491263392857152,-0.008903178036673842,0.013048535179531001,2.153219901281987,inconclusive,50000,20260903,14
normuon,muon,0.0005035714285714187,0.0011510287059952591,-0.0016117946428571798,0.002711267857142845,-0.001974846488124426,0.0029819893452672636,2.153219901281987,inconclusive,50000,20260903,14
