seed,model_family,optimizer,learning_rate_config,run_id,epoch,grad_norm,learning_rate,loss,step
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.002560819462227913,0.6703747510910034,0.0,0.31433993577957153,1
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.02560819462227913,0.5991262793540955,3.4671372434161806e-05,0.28623130586412215,10
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.05121638924455826,0.6873332262039185,7.319511958323048e-05,0.27843780517578126,20
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.07682458386683738,0.608140766620636,0.00011171886673229915,0.3177225351333618,30
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.10243277848911651,0.7003450989723206,0.0001502426138813678,0.3085567712783813,40
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.12804097311139565,0.7140061855316162,0.00015014383504252405,0.34532837867736815,50
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.15364916773367476,0.954454779624939,0.00014575366442724558,0.34485390186309817,60
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.1792573623559539,0.7123932242393494,0.0001413634938119671,0.37747652530670167,70
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.20486555697823303,0.9085325002670288,0.0001369733231966886,0.3697741270065308,80
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.23047375160051217,0.8950525522232056,0.00013258315258141013,0.3733651161193848,90
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.2560819462227913,0.692222535610199,0.00012819298196613165,0.3422130584716797,100
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.28169014084507044,0.7133513689041138,0.00012380281135085318,0.4031384944915771,110
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.3072983354673495,0.7983861565589905,0.00011941264073557468,0.3225440740585327,120
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.33290653008962867,0.804500937461853,0.0001150224701202962,0.29224679470062254,130
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.3585147247119078,0.6497179269790649,0.00011063229950501772,0.31067943572998047,140
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.38412291933418696,0.623372495174408,0.00010624212888973924,0.3127171754837036,150
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.40973111395646605,0.7435475587844849,0.00010185195827446076,0.3510756015777588,160
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.4353393085787452,0.6138468384742737,9.746178765918227e-05,0.3207030534744263,170
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.46094750320102434,0.7740612626075745,9.30716170439038e-05,0.3729128360748291,180
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.48655569782330343,0.8364848494529724,8.868144642862532e-05,0.3116118907928467,190
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.5121638924455826,0.7809802293777466,8.429127581334685e-05,0.31804666519165037,200
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.5377720870678617,0.6647397875785828,7.990110519806835e-05,0.31295018196105956,210
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.5633802816901409,0.6428556442260742,7.551093458278987e-05,0.33286023139953613,220
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.58898847631242,0.7716649770736694,7.11207639675114e-05,0.31803126335144044,230
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.614596670934699,0.7764396071434021,6.673059335223291e-05,0.3431334733963013,240
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.6402048655569782,0.6449499726295471,6.234042273695444e-05,0.3017417430877686,250
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.6658130601792573,0.6586505174636841,5.795025212167595e-05,0.2894402503967285,260
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.6914212548015365,0.7585641145706177,5.356008150639747e-05,0.2925483465194702,270
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.7170294494238156,0.5764877796173096,4.9169910891118985e-05,0.2970623016357422,280
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.7426376440460948,0.5739935636520386,4.477974027584051e-05,0.30037746429443357,290
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.7682458386683739,0.5714529156684875,4.0389569660562024e-05,0.2771440982818604,300
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.793854033290653,0.676242470741272,3.5999399045283544e-05,0.32555999755859377,310
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.8194622279129321,0.7307721972465515,3.160922843000506e-05,0.3205073833465576,320
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.8450704225352113,0.5535370111465454,2.7219057814726583e-05,0.29453282356262206,330
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.8706786171574904,0.6759827136993408,2.28288871994481e-05,0.2881007194519043,340
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.8962868117797695,0.5763579607009888,1.8438716584169622e-05,0.2661478519439697,350
161803,dense,adamw,0.00015409498859627469,adamw-scale-matched,0.9218950064020487,0.5080482363700867,1.404854596889114e-05,0.3214216470718384,360
