family,stage,fraction,treatment,baseline,metric,seeds,mean_delta,seed_delta_standard_deviation,treatment_seed_wins,seed_ties,treatment_seed_losses,beneficial_direction
dense,5,1.0,muon,adamw,reciprocal_rank,3,0.016101364763017045,0.007469059860205596,3,0,0,positive
dense,5,1.0,muon,adamw,top1_accuracy,3,0.022867838541666668,0.012826873656312486,3,0,0,positive
dense,5,1.0,normuon,adamw,contrastive_loss,3,-0.04841424621942755,0.030601266721484166,3,0,0,negative
dense,5,1.0,normuon,adamw,positive_margin,3,0.001657582198580106,0.0008990240500778155,3,0,0,positive
dense,5,1.0,normuon,adamw,reciprocal_rank,3,0.009766593734336007,0.006199543451646092,3,0,0,positive
dense,5,1.0,normuon,adamw,top1_accuracy,3,0.013346354166666666,0.009506866449804443,3,0,0,positive
dense,5,1.0,normuon,muon,contrastive_loss,3,0.019643044640247354,0.02862597773089464,1,0,2,negative
dense,5,1.0,normuon,muon,positive_margin,3,-0.0007276268055041631,0.000891111998371941,1,0,2,positive
dense,5,1.0,normuon,muon,reciprocal_rank,3,-0.006334771028681037,0.006175311718349095,0,0,3,positive
dense,5,1.0,normuon,muon,top1_accuracy,3,-0.009521484375,0.00824675085647194,0,0,3,positive
