seed,family,operator,stage,fraction,validation_contrastive_loss,validation_positive_margin,validation_reciprocal_rank,validation_top1_accuracy,unseen_margin_mean,unseen_top1_accuracy,unseen_mean_reciprocal_rank,pretrained_top_k_overlap,pretrained_top1_agreement,pretrained_score_drift_rms,query_geometry_role,query_entropy_effective_rank,query_normalized_effective_rank,query_mean_pairwise_cosine,late_token_evidence_entropy,late_document_token_coverage,late_repeated_token_dominance
161803,dense,adamw,1,0.2,1.4413241188558459,0.00014662742614746094,0.6894188304613635,0.5302734375,0.24443408846855164,0.8839285969734192,0.9223958253860474,0.8363095238095238,0.90625,0.0689794272184372,queries,150.3038787841797,0.6740084250411645,0.0833260789513588,,,
161803,dense,adamw,2,0.4,1.4668263684693557,-0.0007772445678710938,0.6814348507978139,0.521728515625,0.24645443260669708,0.8883928656578064,0.9257174134254456,0.818452380952381,0.9196428656578064,0.06724101305007935,queries,152.73153686523438,0.684894784149033,0.0775672197341919,,,
161803,dense,adamw,3,0.6,1.389476882098279,0.001965135335922241,0.7029282356597832,0.55078125,0.2532665431499481,0.8839285969734192,0.9211786985397339,0.8229166666666667,0.9285714030265808,0.06819311529397964,queries,152.7389678955078,0.6849281071547435,0.06901174038648605,,,
161803,dense,adamw,4,0.8,1.3607692849084287,0.003118276596069336,0.7148893823177787,0.567138671875,0.2556595504283905,0.8883928656578064,0.9250531196594238,0.8303571428571429,0.9330357313156128,0.06727958470582962,queries,151.56871032714844,0.6796803153683787,0.06718970090150833,,,
161803,dense,adamw,5,1.0,1.29459801235771,0.0053150951862335205,0.7308221738603606,0.591064453125,0.25524935126304626,0.8928571343421936,0.9271364212036133,0.8288690476190476,0.9285714030265808,0.06307633966207504,queries,151.9989013671875,0.6816094231712444,0.06550674140453339,,,
161803,dense,muon,1,0.2,1.4649003898884985,-0.0006579160690307617,0.6852603019142407,0.5263671875,0.24535301327705383,0.8839285969734192,0.9222469925880432,0.8333333333333333,0.9196428656578064,0.06890711933374405,queries,150.24368286132812,0.6737384881673907,0.08292486518621445,,,
161803,dense,muon,2,0.4,1.4951192286430341,-0.0017120838165283203,0.6677408869800274,0.5,0.2426450103521347,0.8839285969734192,0.9224755167961121,0.8169642857142857,0.9107142686843872,0.06741432845592499,queries,151.46055603027344,0.6791953185214056,0.08295384794473648,,,
161803,dense,muon,3,0.6,1.4502112721673939,-4.011392593383789e-05,0.6813008641038323,0.519287109375,0.24792596697807312,0.8839285969734192,0.9233790040016174,0.8080357142857143,0.9241071343421936,0.07599843293428421,queries,151.07818603515625,0.6774806548661715,0.07644321024417877,,,
161803,dense,muon,4,0.8,1.3327086862491342,0.0038715600967407227,0.7157287610316416,0.567626953125,0.2460521012544632,0.8705357313156128,0.9143335223197937,0.8154761904761905,0.90625,0.07592645287513733,queries,149.62091064453125,0.6709457876436379,0.07690563797950745,,,
161803,dense,muon,5,1.0,1.231858015387104,0.007097721099853516,0.738940140196064,0.599365234375,0.24693098664283752,0.875,0.9164859652519226,0.8125,0.9017857313156128,0.07245227694511414,queries,150.5808563232422,0.6752504767858394,0.0738624706864357,,,
161803,dense,normuon,1,0.2,1.4481589214781252,-0.00026237964630126953,0.6891784682302386,0.5302734375,0.24793584644794464,0.8928571343421936,0.9276041388511658,0.8348214285714286,0.9151785969734192,0.06408383697271347,queries,150.78965759277344,0.6761868053487599,0.07929068058729172,,,
161803,dense,normuon,2,0.4,1.4507181354620116,-0.0005500316619873047,0.6813139430414594,0.519287109375,0.246312215924263,0.8839285969734192,0.9235916137695312,0.8125,0.9107142686843872,0.06742490082979202,queries,152.2224578857422,0.6826119187701444,0.0829874724149704,,,
161803,dense,normuon,3,0.6,1.386185287209969,0.0016379356384277344,0.6941359760712658,0.534423828125,0.2519661784172058,0.8794642686843872,0.9218111634254456,0.8125,0.9285714030265808,0.07206442207098007,queries,151.6514129638672,0.6800511792101668,0.07251735031604767,,,
161803,dense,normuon,4,0.8,1.2862852967738263,0.005099296569824219,0.722326952021831,0.5751953125,0.24922522902488708,0.875,0.9181334376335144,0.8154761904761905,0.9196428656578064,0.07275274395942688,queries,150.33526611328125,0.67414917539588,0.07369935512542725,,,
161803,dense,normuon,5,1.0,1.2195256239014611,0.007353305816650391,0.7387308768375078,0.597412109375,0.24966347217559814,0.8839285969734192,0.9212159514427185,0.8095238095238095,0.9107142686843872,0.07034726440906525,queries,150.9968719482422,0.6771160177051219,0.07121957838535309,,,
271828,dense,adamw,1,0.2,1.5470987062162749,-0.0027642250061035156,0.6597897499996179,0.4990234375,0.2434432953596115,0.8883928656578064,0.9244154095649719,0.849702380952381,0.9151785969734192,0.06715850532054901,queries,152.30703735351562,0.682991198894689,0.07529889047145844,,,
271828,dense,adamw,2,0.4,1.2897582482253256,0.004225254058837891,0.7217805421460071,0.57421875,0.2489442527294159,0.8883928656578064,0.926939845085144,0.837797619047619,0.9107142686843872,0.06807208806276321,queries,152.41957092285156,0.6834958337347604,0.07529456913471222,,,
271828,dense,adamw,3,0.6,1.3438683589063203,0.0030930042266845703,0.708401054602291,0.557373046875,0.25068163871765137,0.8839285969734192,0.9226189851760864,0.837797619047619,0.9107142686843872,0.07293938845396042,queries,150.71388244628906,0.6758470064856011,0.07210486382246017,,,
271828,dense,adamw,4,0.8,1.2549886207486907,0.005945444107055664,0.7312985386779474,0.58740234375,0.25306713581085205,0.8839285969734192,0.9211043119430542,0.818452380952381,0.90625,0.06520213931798935,queries,152.81553649902344,0.6852714641211813,0.06613756716251373,,,
