family,seed,operator,stage,update_stable_rank_fraction,update_entropy_rank_fraction,update_head_energy_fraction,update_middle_energy_fraction,update_tail_energy_fraction,update_row_norm_cv,update_frobenius_norm,weight_frobenius_norm
dense,161803,adamw,1,0.03743050467561592,0.7774342174198539,0.7562909304776931,0.22351482195809563,0.02019425765934953,0.06391461994897395,10.554723896271632,1195.9823592808289
dense,161803,adamw,2,0.03558253225208046,0.7734006627358218,0.7595679093809689,0.22084551555587645,0.01958658585927504,0.06944870207219679,10.051473733802666,1195.9128211408402
dense,161803,adamw,3,0.035452701295800707,0.7685030383222243,0.7644919450270301,0.21654960505146395,0.01895845377503989,0.06877949648601486,7.066063914275563,1195.8517462661714
dense,161803,adamw,4,0.03398468073726418,0.765493353101659,0.7682882184013325,0.21326105193020825,0.018450724411715958,0.07046153235005186,4.269551931507386,1195.8108387248037
dense,161803,adamw,5,0.031128047400198998,0.7578728130475723,0.7772269269680594,0.20520229131620835,0.01757078277218569,0.0733354995674628,1.5718543921692472,1195.795218756203
dense,161803,muon,1,0.45584356059683834,0.9473869835629183,0.43382508383396473,0.4790539246670065,0.08712098924791749,0.18182924568882203,19.249544881419524,1194.9387040893612
dense,161803,muon,2,0.44353369308665475,0.9437582712759947,0.44224309809705153,0.4746702640133108,0.0830866304290964,0.18093236036758054,20.19049771907466,1193.7828909899456
dense,161803,muon,3,0.4428386275462288,0.9445670117987669,0.44095847775591884,0.4750973212527719,0.0839442013996967,0.18337627357360034,14.502980310301496,1192.9362321104327
dense,161803,muon,4,0.44547064092388766,0.945587431045777,0.43857913460323517,0.47638090026569874,0.08503995965269798,0.18356721827083014,8.82637815831637,1192.4101362809145
dense,161803,muon,5,0.46996908375923646,0.9538096935353815,0.41925605183297937,0.48576016660361365,0.09498377680220706,0.18337988383809034,3.2116599233218674,1192.2292170473954
dense,161803,normuon,1,0.4153442217066964,0.9488095894535595,0.43458952934027995,0.4743898492605291,0.09102061894388601,0.024985004343431105,19.177921212282055,1194.9409385993613
dense,161803,normuon,2,0.40146124243417525,0.9458018095098077,0.4415847395352501,0.4708962412600849,0.08751902612733012,0.02511701165613803,20.242568259447417,1193.7865891398496
