baseline_margin,baseline_shortlist_ndcg,learning_rate,margin_absolute_attribution_participation_ratio,margin_degrading_attribution_mass,margin_degrading_coordinate_fraction,margin_helpful_attribution_mass,margin_helpful_attribution_participation_ratio,margin_helpful_mass_share,ndcg_absolute_attribution_participation_ratio,ndcg_degrading_attribution_mass,ndcg_degrading_coordinate_fraction,ndcg_helpful_attribution_mass,ndcg_helpful_attribution_participation_ratio,ndcg_helpful_mass_share,optimizer,rotation_seed,run_id,step,task
0.23594350663525543,1.0,0.0001,0.5604091341722043,0.0944284907975845,0.4895833333333333,0.09652121150802165,0.3187562647472152,0.5054797695025673,0.0,0.0,0.0,0.0,0.0,0.0,normuon,,verified-v3-normuon-1e-4,1563,ArguAna
0.01082925704548699,0.7663223516587734,0.0001,0.5883528909957692,0.10770167519358409,0.4791666666666667,0.1076579173978113,0.3191834255026439,0.49989840759994425,0.03510993576627722,0.2288765203445949,0.048177083333333336,0.11484871661193011,0.006662681828403178,0.3341294274137234,normuon,,verified-v3-normuon-1e-4,1563,ClimateFEVER
0.29238605168338117,1.0,0.0001,0.6215518033992083,0.10856226992340287,0.4739583333333333,0.12303195382463716,0.31024958366320377,0.5312393022309926,0.0,0.0,0.0,0.0,0.0,0.0,normuon,,verified-v3-normuon-1e-4,1563,DBPedia
0.3952594268405729,1.0,0.0001,0.579834388505729,0.10665504092772424,0.4778645833333333,0.11233856766782965,0.32425157708412256,0.5129764671593726,0.0,0.0,0.0,0.0,0.0,0.0,normuon,,verified-v3-normuon-1e-4,1563,FEVER
0.2158603226136488,0.9769331095982161,0.0001,0.6159660404073318,0.105213847070845,0.4895833333333333,0.11564363326545135,0.3097539169243279,0.5236120283966046,0.03906250000000001,0.6920067120535172,0.0390625,0.0,0.0,0.0,normuon,,verified-v3-normuon-1e-4,1563,FiQA2018
0.2977636099588493,1.0,0.0001,0.5914193612268378,0.1192963128961389,0.4921875,0.11977018097768019,0.3001121102998143,0.5009910800837516,0.0,0.0,0.0,0.0,0.0,0.0,normuon,,verified-v3-normuon-1e-4,1563,HotpotQA
0.41566811169222273,1.0,0.0001,0.5910088088507831,0.10430521439566598,0.5065104166666666,0.10826860244931333,0.2866463638210356,0.509322380602823,0.0,0.0,0.0,0.0,0.0,0.0,normuon,,verified-v3-normuon-1e-4,1563,MSMARCO
0.005000428230842189,0.7190574688428424,0.0001,0.6049256754505067,0.09567423780327632,0.43359375,0.1416678844131825,0.347153060041058,0.5968931392800969,0.10279859737306744,0.8602681772090313,0.125,0.0038307025158149308,0.002604166666666667,0.004433176116412437,normuon,,verified-v3-normuon-1e-4,1563,NFCorpus
0.4072276878784066,1.0,0.0001,0.42648306101613265,0.11521948794881834,0.47265625,0.12811883797271428,0.30721217065166445,0.5265049699323884,0.0,0.0,0.0,0.0,0.0,0.0,normuon,,verified-v3-normuon-1e-4,1563,NQ
0.48536729447259497,1.0,0.0001,0.5626782507667117,0.09606279154192642,0.5,0.10726273761654864,0.31327002474248183,0.5275419080943171,0.0,0.0,0.0,0.0,0.0,0.0,normuon,,verified-v3-normuon-1e-4,1563,QuoraRetrieval
0.09537798123334644,0.8583298984711626,0.0001,0.5989347209938982,0.11752013795182069,0.4895833333333333,0.11773361180092257,0.298707080380441,0.5004537097694006,0.013904656659007508,0.009576756289537327,0.006510416666666667,0.016433906564569285,0.0078125,0.6318142162215089,normuon,,verified-v3-normuon-1e-4,1563,SCIDOCS
0.2644595481693417,1.0,0.0001,0.5204213070369716,0.11630557560797583,0.4921875,0.11666933287987537,0.2770937898262059,0.5007806790745419,0.0,0.0,0.0,0.0,0.0,0.0,normuon,,verified-v3-normuon-1e-4,1563,SciFact
0.07513539676271636,0.9110827739955403,0.0001,0.5737592678151017,0.10858551980399025,0.4986979166666667,0.11680520803003387,0.28604477744609424,0.518234308715877,0.02604166666666667,0.4613378080356781,0.026041666666666668,0.0,0.0,0.0,normuon,,verified-v3-normuon-1e-4,1563,TRECCOVID
0.29394641630852725,1.0,0.0001,0.5763580029338693,0.10637341405205711,0.4817708333333333,0.11416374704742349,0.3090027563350681,0.5176621775589383,0.0,0.0,0.0,0.0,0.0,0.0,normuon,,verified-v3-normuon-1e-4,1563,Touche2020
