run_id,optimizer,learning_rate,step,task,removed_fraction,draw,shortlist_ndcg,relative_shortlist_ndcg,margin,relative_margin
pretrained,pretrained,,0,ArguAna,0.1,0,1.0,1.0,0.18873938247553365,0.9920837848803492
pretrained,pretrained,,0,ClimateFEVER,0.1,0,0.7238902428383827,1.0060213602853323,-0.004337417698805402,2.4042484752329285
pretrained,pretrained,,0,DBPedia,0.1,0,0.96875,0.96875,0.24781162121105188,0.9888277660758478
pretrained,pretrained,,0,FEVER,0.1,0,1.0,1.0,0.32001262562924704,0.9855916617540511
pretrained,pretrained,,0,FiQA2018,0.1,0,0.9769331095982161,1.0,0.19831531347425094,1.0129015285838978
pretrained,pretrained,,0,HotpotQA,0.1,0,1.0,1.0,0.2321375678081444,0.9717291790223272
pretrained,pretrained,,0,MSMARCO,0.1,0,1.0,1.0,0.3127485400144153,0.9955515194315402
pretrained,pretrained,,0,NFCorpus,0.1,0,0.6956777411143658,1.0304824705318503,0.003894609481809407,1.0649189583332923
pretrained,pretrained,,0,NQ,0.1,0,1.0,1.0,0.33560509802359373,1.000667833421993
pretrained,pretrained,,0,QuoraRetrieval,0.1,0,1.0,1.0,0.4408305314102981,0.9870397247112385
pretrained,pretrained,,0,SCIDOCS,0.1,0,0.8985669492769113,1.0263471031988518,0.10395960125295298,1.014061601173911
pretrained,pretrained,,0,SciFact,0.1,0,0.9769331095982161,1.0,0.2553292541722807,1.0078603430813857
pretrained,pretrained,,0,TRECCOVID,0.1,0,0.8415164429315494,0.9809225434678494,0.04937359528964526,1.043966565404436
pretrained,pretrained,,0,Touche2020,0.1,0,1.0,1.0,0.24750388713108534,1.0055861495307181
pretrained,pretrained,,0,ArguAna,0.1,1,1.0,1.0,0.19424125507169132,1.0210036558555184
pretrained,pretrained,,0,ClimateFEVER,0.1,1,0.73914505198444,1.0272216237228327,-0.0018184462625916251,1.0079722447144193
