run_id,step,task,ndcg_at_10
verified-v3-muon-1e-3,1563,SCIDOCS,0.13836
verified-v3-muon-1e-3,1563,SciFact,0.86055
verified-v3-muon-1e-3,1563,TRECCOVID,0.81214
verified-v3-muon-1e-3,1563,Touche2020,0.35677
verified-v3-muon-3e-3,1563,ArguAna,0.48682
verified-v3-muon-3e-3,1563,ClimateFEVER,0.38845
verified-v3-muon-3e-3,1563,DBPedia,0.19454
verified-v3-muon-3e-3,1563,FEVER,0.91382
verified-v3-muon-3e-3,1563,FiQA2018,0.46302
verified-v3-muon-3e-3,1563,HotpotQA,0.5841
verified-v3-muon-3e-3,1563,MSMARCO,0.51478
verified-v3-muon-3e-3,1563,NFCorpus,0.22213
verified-v3-muon-3e-3,1563,NQ,0.90247
verified-v3-muon-3e-3,1563,QuoraRetrieval,0.8824
verified-v3-muon-3e-3,1563,SCIDOCS,0.09741
verified-v3-muon-3e-3,1563,SciFact,0.81832
verified-v3-muon-3e-3,1563,TRECCOVID,0.71897
verified-v3-muon-3e-3,1563,Touche2020,0.34311
verified-v3-normuon-1e-4,1563,ArguAna,0.58441
verified-v3-normuon-1e-4,1563,ClimateFEVER,0.37355
verified-v3-normuon-1e-4,1563,DBPedia,0.27821
verified-v3-normuon-1e-4,1563,FEVER,0.90386
verified-v3-normuon-1e-4,1563,FiQA2018,0.52323
verified-v3-normuon-1e-4,1563,HotpotQA,0.677
verified-v3-normuon-1e-4,1563,MSMARCO,0.55174
verified-v3-normuon-1e-4,1563,NFCorpus,0.28521
verified-v3-normuon-1e-4,1563,NQ,0.92308
verified-v3-normuon-1e-4,1563,QuoraRetrieval,0.91544
verified-v3-normuon-1e-4,1563,SCIDOCS,0.15039
verified-v3-normuon-1e-4,1563,SciFact,0.87512
verified-v3-normuon-1e-4,1563,TRECCOVID,0.82945
verified-v3-normuon-1e-4,1563,Touche2020,0.34611
verified-v3-normuon-3e-4,1563,ArguAna,0.56561
verified-v3-normuon-3e-4,1563,ClimateFEVER,0.40614
verified-v3-normuon-3e-4,1563,DBPedia,0.27356
verified-v3-normuon-3e-4,1563,FEVER,0.91646
verified-v3-normuon-3e-4,1563,FiQA2018,0.52709
verified-v3-normuon-3e-4,1563,HotpotQA,0.6746
verified-v3-normuon-3e-4,1563,MSMARCO,0.56657
verified-v3-normuon-3e-4,1563,NFCorpus,0.28762
verified-v3-normuon-3e-4,1563,NQ,0.93964
verified-v3-normuon-3e-4,1563,QuoraRetrieval,0.91085
verified-v3-normuon-3e-4,1563,SCIDOCS,0.14581
verified-v3-normuon-3e-4,1563,SciFact,0.88178
verified-v3-normuon-3e-4,1563,TRECCOVID,0.83657
verified-v3-normuon-3e-4,1563,Touche2020,0.3451
verified-v3-normuon-1e-3,1563,ArguAna,0.54167
verified-v3-normuon-1e-3,1563,ClimateFEVER,0.43778
verified-v3-normuon-1e-3,1563,DBPedia,0.26934
verified-v3-normuon-1e-3,1563,FEVER,0.923
verified-v3-normuon-1e-3,1563,FiQA2018,0.55774
verified-v3-normuon-1e-3,1563,HotpotQA,0.66629
verified-v3-normuon-1e-3,1563,MSMARCO,0.56208
verified-v3-normuon-1e-3,1563,NFCorpus,0.28497
verified-v3-normuon-1e-3,1563,NQ,0.96657
