model_family,optimizer,learning_rate,run_id,stage,fraction,checkpoint_step,mean_ndcg_at_10,tasks_completed
late,adamw,3e-06,adamw-lr3e-6,2,0.4,1563,0.5790878571428572,14
late,adamw,3e-06,adamw-lr3e-6,3,0.6,2345,0.5813478571428571,14
late,adamw,3e-06,adamw-lr3e-6,4,0.8,3126,0.5843878571428571,14
late,adamw,3e-06,adamw-lr3e-6,5,1.0,3907,0.58417,14
late,adamw,1e-05,adamw-lr1e-5,1,0.2,782,0.5837121428571429,14
late,adamw,1e-05,adamw-lr1e-5,2,0.4,1563,0.5900814285714285,14
late,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,0.5926507142857143,14
late,adamw,1e-05,adamw-lr1e-5,4,0.8,3126,0.5935421428571429,14
late,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,0.5953807142857143,14
late,adamw,3e-05,adamw-lr3e-5,1,0.2,782,0.5924357142857143,14
late,adamw,3e-05,adamw-lr3e-5,2,0.4,1563,0.5927114285714286,14
late,adamw,3e-05,adamw-lr3e-5,3,0.6,2345,0.5952,14
late,adamw,3e-05,adamw-lr3e-5,4,0.8,3126,0.5936978571428572,14
late,adamw,3e-05,adamw-lr3e-5,5,1.0,3907,0.5958271428571429,14
late,muon,0.0001,muon-lr1e-4,1,0.2,782,0.5797207142857143,14
late,muon,0.0001,muon-lr1e-4,2,0.4,1563,0.5893471428571428,14
late,muon,0.0001,muon-lr1e-4,3,0.6,2345,0.5924085714285714,14
late,muon,0.0001,muon-lr1e-4,4,0.8,3126,0.5928028571428572,14
late,muon,0.0001,muon-lr1e-4,5,1.0,3907,0.5931671428571429,14
late,muon,0.0003,muon-lr3e-4,1,0.2,782,0.5923071428571428,14
late,muon,0.0003,muon-lr3e-4,2,0.4,1563,0.5946021428571429,14
late,muon,0.0003,muon-lr3e-4,3,0.6,2345,0.594785,14
late,muon,0.0003,muon-lr3e-4,4,0.8,3126,0.59546,14
late,muon,0.0003,muon-lr3e-4,5,1.0,3907,0.5972314285714285,14
late,muon,0.001,muon-lr1e-3,1,0.2,782,0.5887828571428572,14
late,muon,0.001,muon-lr1e-3,2,0.4,1563,0.5941414285714286,14
late,muon,0.001,muon-lr1e-3,3,0.6,2345,0.5952542857142857,14
late,muon,0.001,muon-lr1e-3,4,0.8,3126,0.5980321428571429,14
late,muon,0.001,muon-lr1e-3,5,1.0,3907,0.59661,14
late,muon,0.003,muon-lr3e-3,1,0.2,782,0.5580971428571428,14
late,muon,0.003,muon-lr3e-3,2,0.4,1563,0.5561214285714285,14
late,muon,0.003,muon-lr3e-3,3,0.6,2345,0.5601121428571428,14
late,muon,0.003,muon-lr3e-3,4,0.8,3126,0.5687678571428572,14
late,muon,0.003,muon-lr3e-3,5,1.0,3907,0.57701,14
late,normuon,0.0001,normuon-lr1e-4,1,0.2,782,0.5801328571428571,14
late,normuon,0.0001,normuon-lr1e-4,2,0.4,1563,0.587005,14
late,normuon,0.0001,normuon-lr1e-4,3,0.6,2345,0.5918728571428571,14
late,normuon,0.0001,normuon-lr1e-4,4,0.8,3126,0.5925585714285714,14
late,normuon,0.0001,normuon-lr1e-4,5,1.0,3907,0.5932757142857142,14
late,normuon,0.0003,normuon-lr3e-4,1,0.2,782,0.5906,14
late,normuon,0.0003,normuon-lr3e-4,2,0.4,1563,0.5938664285714286,14
late,normuon,0.0003,normuon-lr3e-4,3,0.6,2345,0.5975621428571428,14
late,normuon,0.0003,normuon-lr3e-4,4,0.8,3126,0.5977628571428572,14
late,normuon,0.0003,normuon-lr3e-4,5,1.0,3907,0.5963392857142857,14
late,normuon,0.001,normuon-lr1e-3,1,0.2,782,0.5913535714285715,14
late,normuon,0.001,normuon-lr1e-3,2,0.4,1563,0.595565,14
late,normuon,0.001,normuon-lr1e-3,3,0.6,2345,0.5925028571428571,14
late,normuon,0.001,normuon-lr1e-3,4,0.8,3126,0.59749,14
late,normuon,0.001,normuon-lr1e-3,5,1.0,3907,0.5961528571428572,14
late,normuon,0.003,normuon-lr3e-3,1,0.2,782,0.5575721428571428,14
late,normuon,0.003,normuon-lr3e-3,2,0.4,1563,0.56869,14
late,normuon,0.003,normuon-lr3e-3,3,0.6,2345,0.5705042857142857,14
late,normuon,0.003,normuon-lr3e-3,4,0.8,3126,0.5692578571428571,14
late,normuon,0.003,normuon-lr3e-3,5,1.0,3907,0.5764978571428572,14
