model_family,optimizer,baseline,tasks,wins,ties,losses,mean_delta,median_delta,bootstrap_ci_95_lower,bootstrap_ci_95_upper,bootstrap_samples,bootstrap_seed,exact_sign_test_p_value,holm_sign_test_p_value
dense,muon,adamw,14,10,0,4,0.002442142857142869,0.0019950000000000245,0.000596410714285712,0.004732892857142881,20000,42,0.1795654296875,0.43798828125
dense,normuon,adamw,14,11,0,3,0.003562142857142861,0.00273000000000001,0.0015071249999999811,0.005905017857142862,20000,42,0.057373046875,0.2294921875
late,muon,adamw,14,9,2,3,0.0014042857142857051,0.0013299999999999423,-0.0007957678571428713,0.003490714285714274,20000,42,0.14599609375,0.43798828125
late,normuon,adamw,14,7,1,6,0.0005121428571428499,5.999999999997674e-05,-0.0024550000000000015,0.0033858392857142663,20000,42,1.0,1.0
