displacement_kind,next_singular_value,numerical_threshold,parameters,projected_numerical_rank,relative_boundary_gap,retained_frobenius_energy,retained_rank,retained_signal_supported,run_id,smallest_retained_singular_value,stage,step,tensor,zero_displacement
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.13.attn.Wqkv.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.13.mlp.Wi.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.13.mlp.Wi.weight,True
saved_segment,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.13.mlp.Wo.weight,True
cumulative,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.13.mlp.Wo.weight,True
saved_segment,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.14.attn.Wo.weight,True
cumulative,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.14.attn.Wo.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.14.attn.Wqkv.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.14.attn.Wqkv.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.14.mlp.Wi.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.14.mlp.Wi.weight,True
saved_segment,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.14.mlp.Wo.weight,True
cumulative,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.14.mlp.Wo.weight,True
saved_segment,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.15.attn.Wo.weight,True
cumulative,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.15.attn.Wo.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.15.attn.Wqkv.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.15.attn.Wqkv.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.15.mlp.Wi.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.15.mlp.Wi.weight,True
saved_segment,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.15.mlp.Wo.weight,True
cumulative,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.15.mlp.Wo.weight,True
saved_segment,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.16.attn.Wo.weight,True
cumulative,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.16.attn.Wo.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.16.attn.Wqkv.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.16.attn.Wqkv.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.16.mlp.Wi.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.16.mlp.Wi.weight,True
saved_segment,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.16.mlp.Wo.weight,True
cumulative,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.16.mlp.Wo.weight,True
saved_segment,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.17.attn.Wo.weight,True
cumulative,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.17.attn.Wo.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.17.attn.Wqkv.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.17.attn.Wqkv.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.17.mlp.Wi.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.17.mlp.Wi.weight,True
saved_segment,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.17.mlp.Wo.weight,True
cumulative,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.17.mlp.Wo.weight,True
saved_segment,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.18.attn.Wo.weight,True
cumulative,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.18.attn.Wo.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.18.attn.Wqkv.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.18.attn.Wqkv.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.18.mlp.Wi.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.18.mlp.Wi.weight,True
saved_segment,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.18.mlp.Wo.weight,True
cumulative,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.18.mlp.Wo.weight,True
saved_segment,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.19.attn.Wo.weight,True
cumulative,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.19.attn.Wo.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.19.attn.Wqkv.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.19.attn.Wqkv.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.19.mlp.Wi.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.19.mlp.Wi.weight,True
saved_segment,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.19.mlp.Wo.weight,True
cumulative,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.19.mlp.Wo.weight,True
saved_segment,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.2.attn.Wo.weight,True
cumulative,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.2.attn.Wo.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.2.attn.Wqkv.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.2.attn.Wqkv.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.2.mlp.Wi.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.2.mlp.Wi.weight,True
saved_segment,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.2.mlp.Wo.weight,True
cumulative,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.2.mlp.Wo.weight,True
saved_segment,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.20.attn.Wo.weight,True
cumulative,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.20.attn.Wo.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.20.attn.Wqkv.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.20.attn.Wqkv.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.20.mlp.Wi.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.20.mlp.Wi.weight,True
saved_segment,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.20.mlp.Wo.weight,True
cumulative,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.20.mlp.Wo.weight,True
saved_segment,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.21.attn.Wo.weight,True
cumulative,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.21.attn.Wo.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.21.attn.Wqkv.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.21.attn.Wqkv.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.21.mlp.Wi.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.21.mlp.Wi.weight,True
saved_segment,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.21.mlp.Wo.weight,True
cumulative,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.21.mlp.Wo.weight,True
saved_segment,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.3.attn.Wo.weight,True
cumulative,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.3.attn.Wo.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.3.attn.Wqkv.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.3.attn.Wqkv.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.3.mlp.Wi.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.3.mlp.Wi.weight,True
saved_segment,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.3.mlp.Wo.weight,True
cumulative,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.3.mlp.Wo.weight,True
saved_segment,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.4.attn.Wo.weight,True
cumulative,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.4.attn.Wo.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.4.attn.Wqkv.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.4.attn.Wqkv.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.4.mlp.Wi.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.4.mlp.Wi.weight,True
saved_segment,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.4.mlp.Wo.weight,True
cumulative,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.4.mlp.Wo.weight,True
saved_segment,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.5.attn.Wo.weight,True
cumulative,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.5.attn.Wo.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.5.attn.Wqkv.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.5.attn.Wqkv.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.5.mlp.Wi.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.5.mlp.Wi.weight,True
saved_segment,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.5.mlp.Wo.weight,True
cumulative,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.5.mlp.Wo.weight,True
saved_segment,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.6.attn.Wo.weight,True
cumulative,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.6.attn.Wo.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.6.attn.Wqkv.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.6.attn.Wqkv.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.6.mlp.Wi.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.6.mlp.Wi.weight,True
saved_segment,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.6.mlp.Wo.weight,True
cumulative,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.6.mlp.Wo.weight,True
saved_segment,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.7.attn.Wo.weight,True
cumulative,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.7.attn.Wo.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.7.attn.Wqkv.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.7.attn.Wqkv.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.7.mlp.Wi.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.7.mlp.Wi.weight,True
saved_segment,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.7.mlp.Wo.weight,True
cumulative,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.7.mlp.Wo.weight,True
saved_segment,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.8.attn.Wo.weight,True
cumulative,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.8.attn.Wo.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.8.attn.Wqkv.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.8.attn.Wqkv.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.8.mlp.Wi.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.8.mlp.Wi.weight,True
saved_segment,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.8.mlp.Wo.weight,True
cumulative,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.8.mlp.Wo.weight,True
saved_segment,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.9.attn.Wo.weight,True
cumulative,,0.0,589824,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.9.attn.Wo.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.9.attn.Wqkv.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.9.attn.Wqkv.weight,True
saved_segment,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.9.mlp.Wi.weight,True
cumulative,,0.0,1769472,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.9.mlp.Wi.weight,True
saved_segment,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.9.mlp.Wo.weight,True
cumulative,,0.0,884736,0,,0.0,0,,diagnostic-natural-adamw,,1,1,0.layers.9.mlp.Wo.weight,True
saved_segment,0.001328833750449121,5.563276772591053e-07,589824,24,0.030740664381007244,0.35984212160110474,16,True,diagnostic-natural-adamw,0.0013709785416722298,2,2,0.layers.0.attn.Wo.weight,False
cumulative,0.0013133817119523883,5.563279046327807e-07,589824,24,0.025044358341424936,0.3591560423374176,16,True,diagnostic-natural-adamw,0.0013471194542944431,2,2,0.layers.0.attn.Wo.weight,False
saved_segment,0.0023884242400527,2.415122708043782e-06,1769472,24,0.04194028916801388,0.37946197390556335,16,True,diagnostic-natural-adamw,0.0024929805658757687,2,2,0.layers.0.attn.Wqkv.weight,False
cumulative,0.0023187894839793444,2.415123617538484e-06,1769472,24,0.048378805266482125,0.3786042630672455,16,True,diagnostic-natural-adamw,0.002436672803014517,2,2,0.layers.0.attn.Wqkv.weight,False
saved_segment,0.0021083890460431576,2.1753662622359116e-06,1769472,24,0.01593024947802409,0.282274067401886,16,True,diagnostic-natural-adamw,0.002142519922927022,2,2,0.layers.0.mlp.Wi.weight,False
cumulative,0.0020829159766435623,2.17536535274121e-06,1769472,24,0.03729650963520696,0.28088676929473877,16,True,diagnostic-natural-adamw,0.0021636111196130514,2,2,0.layers.0.mlp.Wi.weight,False
saved_segment,0.0016751697985455394,6.984569154155906e-07,884736,24,0.034398191194217664,0.27832192182540894,16,True,diagnostic-natural-adamw,0.0017348453402519226,2,2,0.layers.0.mlp.Wo.weight,False
cumulative,0.001645344658754766,6.984556080169568e-07,884736,24,0.027548096396938965,0.27725523710250854,16,True,diagnostic-natural-adamw,0.0016919547924771905,2,2,0.layers.0.mlp.Wo.weight,False
saved_segment,0.0013795444974675775,5.033601837567403e-07,589824,24,0.008916260001520473,0.3210739195346832,16,True,diagnostic-natural-adamw,0.001391955534927547,2,2,0.layers.1.attn.Wo.weight,False
cumulative,0.0013787919888272882,5.033596721659706e-07,589824,24,0.023364816592287674,0.32183006405830383,16,True,diagnostic-natural-adamw,0.0014117779210209846,2,2,0.layers.1.attn.Wo.weight,False
saved_segment,0.0022908635437488556,2.0171087271592114e-06,1769472,24,0.02195719216805044,0.2646695673465729,16,True,diagnostic-natural-adamw,0.0023422937374562025,2,2,0.layers.1.attn.Wqkv.weight,False
cumulative,0.0023273311089724302,2.0171119103906676e-06,1769472,24,0.023238681652164965,0.26498106122016907,16,True,diagnostic-natural-adamw,0.002382701961323619,2,2,0.layers.1.attn.Wqkv.weight,False
saved_segment,0.002153699519112706,2.162571036024019e-06,1769472,24,0.03392798712721256,0.25421711802482605,16,True,diagnostic-natural-adamw,0.002229336416348815,2,2,0.layers.1.mlp.Wi.weight,False
cumulative,0.002196841174736619,2.1625685349135892e-06,1769472,24,0.020974113719752396,0.25454962253570557,16,True,diagnostic-natural-adamw,0.002243905095383525,2,2,0.layers.1.mlp.Wi.weight,False
saved_segment,0.0016501682111993432,6.476261660282034e-07,884736,24,0.01299670250069474,0.23601272702217102,16,True,diagnostic-natural-adamw,0.0016718973638489842,2,2,0.layers.1.mlp.Wo.weight,False
cumulative,0.00166004104539752,6.476335556726553e-07,884736,24,0.01374013257295825,0.23622365295886993,16,True,diagnostic-natural-adamw,0.0016831679968163371,2,2,0.layers.1.mlp.Wo.weight,False
saved_segment,0.0015224338276311755,4.140530052154645e-07,589824,24,0.0024856991066875816,0.364524781703949,16,True,diagnostic-natural-adamw,0.0015262275701388717,2,2,0.layers.10.attn.Wo.weight,False
cumulative,0.0015310854651033878,4.140523230944382e-07,589824,24,0.021669127509339834,0.3655371069908142,16,True,diagnostic-natural-adamw,0.0015649975975975394,2,2,0.layers.10.attn.Wo.weight,False
saved_segment,0.0024271225556731224,1.6911757256821147e-06,1769472,24,0.008272567376577436,0.2587589621543884,16,True,diagnostic-natural-adamw,0.0024473685771226883,2,2,0.layers.10.attn.Wqkv.weight,False
cumulative,0.0024537292774766684,1.6911950524445274e-06,1769472,24,0.013444476636830722,0.25890427827835083,16,True,diagnostic-natural-adamw,0.00248716794885695,2,2,0.layers.10.attn.Wqkv.weight,False
saved_segment,0.0022626137360930443,1.8698999610933242e-06,1769472,24,0.05659817595847804,0.27828529477119446,16,True,diagnostic-natural-adamw,0.002398356329649687,2,2,0.layers.10.mlp.Wi.weight,False
cumulative,0.002307834569364786,1.8699089423535042e-06,1769472,24,0.030331744003621947,0.27822500467300415,16,True,diagnostic-natural-adamw,0.0023800248745828867,2,2,0.layers.10.mlp.Wi.weight,False
saved_segment,0.0016450522234663367,5.961842362012248e-07,884736,24,0.05525652079267337,0.2695131003856659,16,True,diagnostic-natural-adamw,0.0017412686720490456,2,2,0.layers.10.mlp.Wo.weight,False
cumulative,0.0016577494097873569,5.962002092019247e-07,884736,24,0.04518359784304744,0.26920995116233826,16,True,diagnostic-natural-adamw,0.0017361970385536551,2,2,0.layers.10.mlp.Wo.weight,False
saved_segment,0.0015336477663367987,4.390031165257824e-07,589824,24,0.043191193421968234,0.3955991566181183,16,True,diagnostic-natural-adamw,0.0016028779791668057,2,2,0.layers.11.attn.Wo.weight,False
cumulative,0.0014717765152454376,4.390037702250993e-07,589824,24,0.0857248647747608,0.3946327865123749,16,True,diagnostic-natural-adamw,0.0016097741900011897,2,2,0.layers.11.attn.Wo.weight,False
saved_segment,0.0024635291192680597,1.826520588110725e-06,1769472,24,0.02868135551241145,0.28502941131591797,16,True,diagnostic-natural-adamw,0.0025362728629261255,2,2,0.layers.11.attn.Wqkv.weight,False
cumulative,0.002433116314932704,1.8265301378050935e-06,1769472,24,0.030772920697903633,0.2836400866508484,16,True,diagnostic-natural-adamw,0.0025103676598519087,2,2,0.layers.11.attn.Wqkv.weight,False
