family,anchor,metric,adam_adam,adam_muon,muon_adam,muon_muon,spectrum_main_effect,basis_main_effect,spectrum_basis_interaction
dense,dense/adamw-lr1e-5/checkpoint-2345,contrastive_loss,-0.009796972547844365,-0.014590702604696812,-0.010983070686117051,-0.01712246472516199,-0.005466562047948693,-0.0018589301293689322,-0.001345663982192491
dense,dense/adamw-lr1e-5/checkpoint-2345,positive_score,-0.004560198102678571,-0.0020664760044642855,-0.0010288783482142857,-0.0023367745535714285,0.0005929129464285714,0.001630510602678571,-0.003801618303571428
dense,dense/adamw-lr1e-5/checkpoint-2345,hardest_negative_score,-0.005196707589285714,-0.0028599330357142855,-0.0017264229910714285,-0.0032871791294642855,0.00038800920758928575,0.0015215192522321428,-0.0038975306919642855
dense,dense/adamw-lr1e-5/checkpoint-2345,positive_margin,0.0006365094866071429,0.00079345703125,0.0006975446428571429,0.0009504045758928571,0.0002049037388392857,0.00010899135044642856,9.591238839285713e-05
dense,dense/adamw-lr1e-5/checkpoint-2345,reciprocal_rank,0.0055803572093801835,0.0008928572226847921,0.004761904877211366,0.005208333422030721,-0.0021205357209380183,0.0017485119335885558,0.0051339285315147466
dense,dense/adamw-lr1e-5/checkpoint-2345,top1_accuracy,0.004464285714285714,-0.004464285714285714,0.004464285714285714,0.004464285714285714,-0.004464285714285714,0.004464285714285714,0.008928571428571428
dense,dense/adamw-lr1e-5/checkpoint-3907,contrastive_loss,-0.010885764762113987,-0.00550134307845188,-0.005198833075837683,-0.012452679829591164,-0.0009347125350456869,-0.0006322025324314901,-0.012638268437415588
dense,dense/adamw-lr1e-5/checkpoint-3907,positive_score,-0.005815778459821429,-0.002720424107142857,-0.0015869140625,-0.00341796875,0.000632149832589286,0.001765659877232143,-0.004926409040178572
dense,dense/adamw-lr1e-5/checkpoint-3907,hardest_negative_score,-0.006312779017857143,-0.0028076171875,-0.0019444056919642857,-0.003923688616071429,0.000762939453125,0.001626150948660714,-0.005484444754464286
dense,dense/adamw-lr1e-5/checkpoint-3907,positive_margin,0.0004970005580357143,8.719308035714286e-05,0.0003574916294642857,0.0005057198660714286,-0.00013078962053571423,0.0001395089285714286,0.0005580357142857144
dense,dense/adamw-lr1e-5/checkpoint-3907,reciprocal_rank,0.007514880704028266,0.0017113094218075275,0.0017113094218075275,0.0023065475480897085,-0.002604166577969279,-0.002604166577969279,0.006398809408502919
dense,dense/adamw-lr1e-5/checkpoint-3907,top1_accuracy,0.008928571428571428,0.0,0.0,0.0,-0.004464285714285714,-0.004464285714285714,0.008928571428571428
dense,dense/adamw-lr1e-5/checkpoint-782,contrastive_loss,0.005148936313746942,-0.0023922099082613257,-0.003621440348654557,-0.003944998741449776,-0.003932352307401743,-0.005161582747794975,0.00721758782921305
dense,dense/adamw-lr1e-5/checkpoint-782,positive_score,-0.0015345982142857143,-0.001220703125,-0.00054931640625,-4.359654017857143e-05,0.00040980747767857144,0.0010811941964285715,0.00019182477678571425
dense,dense/adamw-lr1e-5/checkpoint-782,hardest_negative_score,-0.0009765625,-0.0011073521205357143,-0.00067138671875,8.719308035714285e-06,0.000274658203125,0.0007106236049107143,0.0008108956473214285
dense,dense/adamw-lr1e-5/checkpoint-782,positive_margin,-0.0005580357142857143,-0.00011335100446428572,0.0001220703125,-5.231584821428571e-05,0.00013514927455357138,0.00037057059151785713,-0.0006190708705357143
dense,dense/adamw-lr1e-5/checkpoint-782,reciprocal_rank,-0.008928571561617511,0.0045386904717556065,-0.0013392857675041472,0.0033482141526682036,0.009077380976772735,0.0031994047375129807,-0.008779762113200766
dense,dense/adamw-lr1e-5/checkpoint-782,top1_accuracy,-0.017857142857142856,0.013392857142857142,0.0,0.004464285714285714,0.017857142857142856,0.004464285714285714,-0.026785714285714284
dense,dense/muon-lr1e-3/checkpoint-2345,contrastive_loss,-0.016917004871434722,-0.004759238816404832,-0.002298587620966178,-0.008297160358389582,0.0030795966588032437,0.005540247854241897,-0.018156338792453295
dense,dense/muon-lr1e-3/checkpoint-2345,positive_score,-0.0023018973214285715,-0.0018136160714285715,-0.00091552734375,-0.0014997209821428572,-4.795619419642862e-05,0.0008501325334821429,-0.0010724748883928572
dense,dense/muon-lr1e-3/checkpoint-2345,hardest_negative_score,-0.003627232142857143,-0.0023629324776785715,-0.00103759765625,-0.001988002232142857,0.00015694754464285724,0.0014822823660714287,-0.0022147042410714285
dense,dense/muon-lr1e-3/checkpoint-2345,positive_margin,0.0013253348214285715,0.00054931640625,0.0001220703125,0.00048828125,-0.00020490373883928575,-0.0006321498325892857,0.0011422293526785715
dense,dense/muon-lr1e-3/checkpoint-2345,reciprocal_rank,-0.000744047574698925,-0.0026041665779692785,-0.002232142724096775,0.004464285714285714,0.002418154717556068,0.002790178571428571,0.008556547441652842
dense,dense/muon-lr1e-3/checkpoint-2345,top1_accuracy,0.0,-0.004464285714285714,0.0,0.008928571428571428,0.002232142857142857,0.006696428571428571,0.013392857142857142
dense,dense/muon-lr1e-3/checkpoint-3907,contrastive_loss,-0.003271885865355476,-0.00729441900745899,-0.00038965558685179403,-0.007467658847417624,-0.005550268201334672,0.0013544952192725238,-0.0030554701184623166
dense,dense/muon-lr1e-3/checkpoint-3907,positive_score,-0.0032871791294642855,-0.0026768275669642855,-0.0019008091517857143,-0.0030517578125,-0.00027029854910714287,0.0005057198660714284,-0.0017613002232142857
dense,dense/muon-lr1e-3/checkpoint-3907,hardest_negative_score,-0.003993443080357143,-0.003391810825892857,-0.0019444056919642857,-0.003758021763392857,-0.0006059919084821427,0.0008414132254464285,-0.002415248325892857
dense,dense/muon-lr1e-3/checkpoint-3907,positive_margin,0.0007062639508928571,0.0007149832589285714,4.359654017857143e-05,0.0007062639508928571,0.000335693359375,-0.000335693359375,0.0006539481026785715
dense,dense/muon-lr1e-3/checkpoint-3907,reciprocal_rank,-0.008928571428571428,-0.00037202385387250355,-0.004092261860413211,-0.002976190431841782,0.0048363095016351765,0.0011160714950944693,-0.007440476146127495
dense,dense/muon-lr1e-3/checkpoint-3907,top1_accuracy,-0.013392857142857142,-0.004464285714285714,-0.008928571428571428,-0.004464285714285714,0.006696428571428571,0.002232142857142857,-0.004464285714285714
dense,dense/muon-lr1e-3/checkpoint-782,contrastive_loss,-0.002606982130730882,-0.0028508033357346513,-0.0013968466461977056,0.005705589719842205,0.0034293075805180706,0.0048832642700550166,0.0073462575710436795
dense,dense/muon-lr1e-3/checkpoint-782,positive_score,0.0017438616071428572,-0.0013602120535714285,-0.0006103515625,-0.0007149832589285714,-0.0016043526785714287,-0.0008544921875,0.002999441964285714
dense,dense/muon-lr1e-3/checkpoint-782,hardest_negative_score,0.0015956333705357143,-0.0015171595982142857,-0.0006016322544642857,-0.0007149832589285714,-0.0016130719866071428,-0.0006975446428571428,0.002999441964285714
dense,dense/muon-lr1e-3/checkpoint-782,positive_margin,0.00014822823660714285,0.00015694754464285715,-8.719308035714285e-06,0.0,8.719308035714297e-06,-0.00015694754464285713,-2.710505431213761e-20
dense,dense/muon-lr1e-3/checkpoint-782,reciprocal_rank,0.0005208333022892475,0.0005208332357662064,0.0016369045312915529,-0.003348214418760368,-0.002492559508287481,-0.0013764882127621347,-0.00498511888352888
dense,dense/muon-lr1e-3/checkpoint-782,top1_accuracy,0.0,0.0,0.0,-0.008928571428571428,-0.004464285714285714,-0.004464285714285714,-0.008928571428571428
dense,dense/normuon-lr1e-3/checkpoint-2345,contrastive_loss,-0.025050413106068196,-0.010908518030061844,-0.009088172403218258,-0.013483519731770295,0.0048732738737271575,0.006693619500570745,-0.01853724240455839
dense,dense/normuon-lr1e-3/checkpoint-2345,positive_score,-0.00152587890625,-0.0014735630580357143,-0.0005405970982142857,-0.0008021763392857143,-0.00010463169642857138,0.0008283342633928571,-0.00031389508928571425
dense,dense/normuon-lr1e-3/checkpoint-2345,hardest_negative_score,-0.00347900390625,-0.0023716517857142855,-0.0011945452008928572,-0.0017351422991071428,0.00028337751116071447,0.001460484095982143,-0.00164794921875
dense,dense/normuon-lr1e-3/checkpoint-2345,positive_margin,0.001953125,0.0008980887276785714,0.0006539481026785714,0.0009329659598214286,-0.00038800920758928564,-0.0006321498325892856,0.001334054129464286
dense,dense/normuon-lr1e-3/checkpoint-2345,reciprocal_rank,0.008556547441652842,0.00148809514939785,-0.0014880952824439322,0.005208333288984639,-0.00018601186041321055,-0.003162202292254993,0.013764880863683562
dense,dense/normuon-lr1e-3/checkpoint-2345,top1_accuracy,0.013392857142857142,0.0,-0.004464285714285714,0.008928571428571428,0.0,-0.004464285714285714,0.026785714285714284
dense,dense/normuon-lr1e-3/checkpoint-3907,contrastive_loss,-0.006164477542240222,-0.0030846498679498575,0.002308445235550088,-0.0039115718185972325,-0.0015700946899284776,0.003823000413571468,-0.009299844728437685
dense,dense/normuon-lr1e-3/checkpoint-3907,positive_score,-0.0028860909598214285,-0.0023018973214285715,-0.0014299665178571428,-0.002345493861607143,-0.0001656668526785716,0.0007062639508928571,-0.0014997209821428572
dense,dense/normuon-lr1e-3/checkpoint-3907,hardest_negative_score,-0.00421142578125,-0.0029122488839285715,-0.0015869140625,-0.0031215122767857145,-0.00011771065848214298,0.0012076241629464285,-0.002833775111607143
dense,dense/normuon-lr1e-3/checkpoint-3907,positive_margin,0.0013253348214285715,0.0006103515625,0.00015694754464285715,0.0007760184151785714,-4.795619419642862e-05,-0.0005013602120535715,0.0013340541294642857
dense,dense/normuon-lr1e-3/checkpoint-3907,reciprocal_rank,0.006696428571428571,0.0003720237208264215,0.0037202381395867895,0.004092261860413211,-0.002976190564887864,0.0003720238538725039,0.006696428571428571
dense,dense/normuon-lr1e-3/checkpoint-3907,top1_accuracy,0.013392857142857142,-0.004464285714285714,0.004464285714285714,0.004464285714285714,-0.008928571428571428,0.0,0.017857142857142856
dense,dense/normuon-lr1e-3/checkpoint-782,contrastive_loss,-0.016591804175472395,-0.010028205252768072,-0.00557626918076234,-0.01042881937987009,0.0008555243617982869,0.005307460433804019,-0.011416149121812071
dense,dense/normuon-lr1e-3/checkpoint-782,positive_score,0.0022670200892857145,-0.0005405970982142857,0.00040108816964285713,0.00010463169642857142,-0.0015520368303571428,-0.0006103515625000002,0.0025111607142857145
dense,dense/normuon-lr1e-3/checkpoint-782,hardest_negative_score,0.0016653878348214285,-0.0009940011160714285,0.0002528599330357143,-0.00026157924107142856,-0.0015869140625,-0.00034005301339285713,0.002144949776785714
dense,dense/normuon-lr1e-3/checkpoint-782,positive_margin,0.0006016322544642857,0.00045340401785714287,0.00014822823660714285,0.0003662109375,3.487723214285714e-05,-0.00027029854910714287,0.0003662109375
dense,dense/normuon-lr1e-3/checkpoint-782,reciprocal_rank,0.012053571441876037,0.0039434524119964665,0.0074404762126505375,0.0033482142857142855,-0.006101190478407911,-0.00260416667775384,0.0040178571029433185
dense,dense/normuon-lr1e-3/checkpoint-782,top1_accuracy,0.026785714285714284,0.008928571428571428,0.013392857142857142,0.008928571428571428,-0.011160714285714284,-0.006696428571428571,0.013392857142857142
dense,dense/pretrained,contrastive_loss,-0.04853827739134431,-0.02193533804009868,-0.015507249714573845,-0.027562524252321703,0.0072738324067488855,0.01370192073227372,-0.03865821388899349
dense,dense/pretrained,positive_score,0.008823939732142858,0.0030953543526785715,0.00238037109375,0.004385811941964286,-0.001861572265625,-0.002576555524553572,0.007734026227678572
dense,dense/pretrained,hardest_negative_score,0.006809779575892857,0.0022408621651785715,0.0019182477678571428,0.003444126674107143,-0.001521519252232143,-0.0018441336495535713,0.006094796316964286
dense,dense/pretrained,positive_margin,0.00201416015625,0.0008544921875,0.00046212332589285713,0.0009416852678571429,-0.00034005301339285713,-0.000732421875,0.0016392299107142857
dense,dense/pretrained,reciprocal_rank,0.009630102198570967,0.0037627553434244226,-0.0010735542247337954,0.0030505952558347155,-0.0008715986872890168,-0.005707908255447234,0.009991496335715055
dense,dense/pretrained,top1_accuracy,0.013392857142857142,0.008928571428571428,0.0,0.004464285714285714,0.0,-0.008928571428571428,0.008928571428571428
