family,condition,category,basis_source,spectrum_operation,interpolation_lambda,band,anchors,mean_mean_pairwise_loss_contrast,median_mean_pairwise_loss_contrast,favorable_anchor_fraction_mean_pairwise_loss_contrast,mean_p95_pairwise_loss_contrast,median_p95_pairwise_loss_contrast,favorable_anchor_fraction_p95_pairwise_loss_contrast,mean_p99_pairwise_loss_contrast,median_p99_pairwise_loss_contrast,favorable_anchor_fraction_p99_pairwise_loss_contrast,mean_mean_pairwise_margin_contrast,median_mean_pairwise_margin_contrast,favorable_anchor_fraction_mean_pairwise_margin_contrast,mean_p01_pairwise_margin_contrast,median_p01_pairwise_margin_contrast,favorable_anchor_fraction_p01_pairwise_margin_contrast,mean_p05_pairwise_margin_contrast,median_p05_pairwise_margin_contrast,favorable_anchor_fraction_p05_pairwise_margin_contrast,mean_mean_loss_contrast_on_adam_tail,median_mean_loss_contrast_on_adam_tail,favorable_anchor_fraction_mean_loss_contrast_on_adam_tail,mean_mean_loss_contrast_on_condition_tail,median_mean_loss_contrast_on_condition_tail,favorable_anchor_fraction_mean_loss_contrast_on_condition_tail,mean_worst_loss_tail_jaccard,median_worst_loss_tail_jaccard,mean_adam_tail_baseline_margin_mean,median_adam_tail_baseline_margin_mean,mean_condition_tail_baseline_margin_mean,median_condition_tail_baseline_margin_mean
dense,adam-basis__muon-head-spectrum,transformed,adamw,band_transplant,,head,10,0.0022537544495240323,0.003393485898089109,0.4,0.13008611470460887,0.123152519762516,0.0,0.21828667318820968,0.21166649758815798,0.0,-0.0002293178013392857,-0.00014822823660714285,0.3,-0.008353515624999999,-0.0078125,0.0,-0.006025390625,-0.006689453125,0.0,-0.1302455594142278,-0.11016699795921645,1.0,0.011955508093039195,0.013884810109933218,0.3,0.3052631578947368,0.3333333333333333,-0.00625,-0.009440104166666668,-0.006884765625,-0.006998697916666666
dense,adam-basis__muon-middle-spectrum,transformed,adamw,band_transplant,,middle,10,-0.00037166064322328963,0.0005480775349237124,0.4,0.08387701898813246,0.08238202035427092,0.0,0.15900719124078763,0.1685935622453691,0.0,-8.719308035714227e-07,-9.591238839285714e-05,0.4,-0.005919921874999999,-0.00638671875,0.0,-0.00390625,-0.00390625,0.0,-0.05706159994006157,-0.06179295356074969,1.0,0.01984582394361496,0.029458110531171165,0.2,0.49343063541205956,0.5,-0.00625,-0.009440104166666668,-0.005712890625,-0.005208333333333334
dense,adam-basis__muon-spectrum,transformed,adamw,log_interpolation,1.0,,10,0.005132921813697067,0.004232124678976236,0.4,0.141589086651802,0.13940374329686162,0.0,0.27972356939315823,0.2754984319210057,0.0,-0.0003644670758928571,-0.00027901785714285713,0.4,-0.010021484375,-0.009541015625,0.0,-0.007197265625,-0.0078125,0.0,-0.14321730248630046,-0.12368209784229596,1.0,0.01529805858929952,0.024474263191223145,0.3,0.27232399179767597,0.2631578947368421,-0.00625,-0.009440104166666668,-0.009375,-0.0068359375
dense,adam-basis__muon-tail-spectrum,transformed,adamw,band_transplant,,tail,10,-0.0006268268418742601,-0.0008653397454898888,0.5,0.07254567526280878,0.07242798954248425,0.0,0.13530530041456232,0.13204605430364613,0.0,4.098074776785714e-05,4.359654017857143e-06,0.5,-0.004642578125,-0.00390625,0.0,-0.00390625,-0.00390625,0.0,-0.03458019942045212,-0.03445133815209071,0.9,0.022173175712426503,0.017553376654783882,0.1,0.5640336134453781,0.55,-0.00625,-0.009440104166666668,-0.005777994791666666,-0.007649739583333334
dense,adam-basis__spectrum-lambda-0.25,transformed,adamw,log_interpolation,0.25,,10,6.987565264223244e-05,-0.0009850517444809676,0.6,0.08761863127350805,0.08509915024042125,0.0,0.16046105706691755,0.1658671510219576,0.0,1.7438616071428537e-06,1.743861607142857e-05,0.5,-0.005423828125,-0.004658203125,0.0,-0.00390625,-0.00390625,0.0,-0.059202663600444794,-0.0613713338971138,1.0,0.033493616183598834,0.038696713745594025,0.2,0.40821907710452604,0.37254901960784315,-0.00625,-0.009440104166666668,-0.007356770833333333,-0.006917317708333334
dense,adam-basis__spectrum-lambda-0.50,transformed,adamw,log_interpolation,0.5,,10,0.0020735840049188226,0.002318730989632708,0.2,0.10649876847863196,0.10751179903745649,0.0,0.19641364473104495,0.1899139389395716,0.0,-0.0001953125,-0.00014386858258928572,0.3,-0.0077226562499999995,-0.0078125,0.0,-0.004765625,-0.00390625,0.0,-0.09774569335083166,-0.08753505845864615,1.0,0.02687809392809868,0.032585516571998596,0.2,0.3399165024861619,0.3333333333333333,-0.00625,-0.009440104166666668,-0.008284505208333333,-0.006184895833333334
dense,adam-basis__spectrum-lambda-0.75,transformed,adamw,log_interpolation,0.75,,10,0.002348057772032267,0.0010629502322184895,0.4,0.12148802079260348,0.11897879801690578,0.0,0.20772391808033022,0.19281951546669024,0.0,-0.00021187918526785715,-0.00016566685267857144,0.4,-0.008203125,-0.0078125,0.0,-0.005859375,-0.005859375,0.0,-0.12483061328530312,-0.11661014581720035,1.0,0.014127183457215628,0.025091998279094696,0.2,0.294984520123839,0.2982456140350877,-0.00625,-0.009440104166666668,-0.006559244791666667,-0.004638671875
dense,muon-basis__adam-spectrum,transformed,muon,adam_spectrum,,,10,0.008292296605122828,0.007079927232033307,0.2,0.1566832221299409,0.14501231759786595,0.0,0.27452017551660557,0.27839857846498506,0.0,-0.0005894252232142857,-0.0005580357142857143,0.2,-0.010712890625,-0.011044921874999999,0.0,-0.00775390625,-0.0078125,0.0,-0.16641843244433402,-0.1430899016559124,1.0,0.03801346768935522,0.04596894358595212,0.1,0.21938482570061515,0.23157894736842105,-0.00625,-0.009440104166666668,-0.007356770833333333,-0.004720052083333334
dense,muon-native,native,muon,native,1.0,,10,0.0035708838114130357,0.004207945259622647,0.4,0.11755340322852133,0.11142600625753403,0.0,0.23955064669251486,0.2258080746233469,0.0,-0.00030343191964285715,-0.00019182477678571428,0.3,-0.008849609375000001,-0.0078125,0.0,-0.006494140625,-0.007373046874999999,0.0,-0.1366069318105777,-0.1142884815732638,1.0,0.020316106577714283,0.02679450437426567,0.4,0.27865653438408855,0.3333333333333333,-0.00625,-0.009440104166666668,-0.007047526041666667,-0.005859375
