family,metric,anchors,mean_spectrum_main_effect,median_spectrum_main_effect,positive_anchor_fraction_spectrum_main_effect,mean_basis_main_effect,median_basis_main_effect,positive_anchor_fraction_basis_main_effect,mean_spectrum_basis_interaction,median_spectrum_basis_interaction,positive_anchor_fraction_spectrum_basis_interaction
dense,contrastive_loss,10,0.00020575450999363716,-3.959408662369997e-05,0.5,0.003365129301419399,0.004353132341813242,0.7,-0.009854334607406859,-0.010357996925124877,0.2
dense,hardest_negative_score,10,-0.0003579275948660714,1.9618443080357127e-05,0.5,0.0005968366350446429,0.0010245186941964285,0.7,-0.0006443568638392858,-0.0019313267299107143,0.4
dense,positive_margin,10,-3.923688616071428e-05,-1.961844308035716e-05,0.5,-0.00026419503348214284,-0.00030299595424107144,0.3,0.0006504603794642858,0.000605991908482143,0.8
dense,positive_score,10,-0.0003971644810267857,-0.0001351492745535715,0.3,0.0003326416015624999,0.0007672991071428571,0.7,6.1035156250000215e-06,-0.0006931849888392857,0.4
dense,reciprocal_rank,10,-0.0001020408202228801,-0.0014960672041135176,0.3,-0.00062287414246904,-0.0005022321794448154,0.5,0.0033354591112583877,0.005766368970008833,0.7
dense,top1_accuracy,10,-0.000669642857142857,-0.002232142857142857,0.3,-0.0011160714285714285,-0.002232142857142857,0.4,0.005803571428571428,0.008928571428571428,0.7
