family,anchor,metric,condition,interpolation_lambda,effect_vs_baseline,contrast_vs_adamw_native
dense,dense/adamw-lr1e-5/checkpoint-3907,positive_score,adam-basis__spectrum-lambda-0.75,0.75,-0.0032523018973214285,0.0025634765625000004
dense,dense/adamw-lr1e-5/checkpoint-3907,positive_score,adam-basis__muon-spectrum,1.0,-0.002720424107142857,0.003095354352678572
dense,dense/adamw-lr1e-5/checkpoint-3907,hardest_negative_score,adamw-native,0.0,-0.006312779017857143,0.0
dense,dense/adamw-lr1e-5/checkpoint-3907,hardest_negative_score,adam-basis__spectrum-lambda-0.25,0.25,-0.005362374441964286,0.000950404575892857
dense,dense/adamw-lr1e-5/checkpoint-3907,hardest_negative_score,adam-basis__spectrum-lambda-0.50,0.5,-0.004534040178571429,0.001778738839285714
dense,dense/adamw-lr1e-5/checkpoint-3907,hardest_negative_score,adam-basis__spectrum-lambda-0.75,0.75,-0.00347900390625,0.002833775111607143
dense,dense/adamw-lr1e-5/checkpoint-3907,hardest_negative_score,adam-basis__muon-spectrum,1.0,-0.0028076171875,0.003505161830357143
dense,dense/adamw-lr1e-5/checkpoint-3907,positive_margin,adamw-native,0.0,0.0004970005580357143,0.0
dense,dense/adamw-lr1e-5/checkpoint-3907,positive_margin,adam-basis__spectrum-lambda-0.25,0.25,0.0005667550223214286,6.975446428571436e-05
dense,dense/adamw-lr1e-5/checkpoint-3907,positive_margin,adam-basis__spectrum-lambda-0.50,0.5,0.00045340401785714287,-4.359654017857138e-05
dense,dense/adamw-lr1e-5/checkpoint-3907,positive_margin,adam-basis__spectrum-lambda-0.75,0.75,0.00022670200892857144,-0.0002702985491071428
dense,dense/adamw-lr1e-5/checkpoint-3907,positive_margin,adam-basis__muon-spectrum,1.0,8.719308035714286e-05,-0.0004098074776785714
dense,dense/adamw-lr1e-5/checkpoint-3907,reciprocal_rank,adamw-native,0.0,0.007514880704028266,0.0
dense,dense/adamw-lr1e-5/checkpoint-3907,reciprocal_rank,adam-basis__spectrum-lambda-0.25,0.25,0.006770833129329341,-0.000744047574698925
dense,dense/adamw-lr1e-5/checkpoint-3907,reciprocal_rank,adam-basis__spectrum-lambda-0.50,0.5,0.004166666551360062,-0.003348214152668204
dense,dense/adamw-lr1e-5/checkpoint-3907,reciprocal_rank,adam-basis__spectrum-lambda-0.75,0.75,0.0005952379932360989,-0.0069196427107921675
dense,dense/adamw-lr1e-5/checkpoint-3907,reciprocal_rank,adam-basis__muon-spectrum,1.0,0.0017113094218075275,-0.0058035712822207385
dense,dense/adamw-lr1e-5/checkpoint-3907,top1_accuracy,adamw-native,0.0,0.008928571428571428,0.0
dense,dense/adamw-lr1e-5/checkpoint-3907,top1_accuracy,adam-basis__spectrum-lambda-0.25,0.25,0.008928571428571428,0.0
dense,dense/adamw-lr1e-5/checkpoint-3907,top1_accuracy,adam-basis__spectrum-lambda-0.50,0.5,0.004464285714285714,-0.004464285714285714
dense,dense/adamw-lr1e-5/checkpoint-3907,top1_accuracy,adam-basis__spectrum-lambda-0.75,0.75,-0.004464285714285714,-0.013392857142857142
dense,dense/adamw-lr1e-5/checkpoint-3907,top1_accuracy,adam-basis__muon-spectrum,1.0,0.0,-0.008928571428571428
dense,dense/adamw-lr1e-5/checkpoint-782,contrastive_loss,adamw-native,0.0,0.005148936313746942,0.0
dense,dense/adamw-lr1e-5/checkpoint-782,contrastive_loss,adam-basis__spectrum-lambda-0.25,0.25,0.0017044874226875045,-0.0034444488910594377
dense,dense/adamw-lr1e-5/checkpoint-782,contrastive_loss,adam-basis__spectrum-lambda-0.50,0.5,-0.005987349183734685,-0.011136285497481628
dense,dense/adamw-lr1e-5/checkpoint-782,contrastive_loss,adam-basis__spectrum-lambda-0.75,0.75,-0.003932009508584348,-0.00908094582233129
dense,dense/adamw-lr1e-5/checkpoint-782,contrastive_loss,adam-basis__muon-spectrum,1.0,-0.0023922099082613257,-0.007541146222008268
dense,dense/adamw-lr1e-5/checkpoint-782,positive_score,adamw-native,0.0,-0.0015345982142857143,0.0
dense,dense/adamw-lr1e-5/checkpoint-782,positive_score,adam-basis__spectrum-lambda-0.25,0.25,-0.0013340541294642857,0.0002005440848214285
dense,dense/adamw-lr1e-5/checkpoint-782,positive_score,adam-basis__spectrum-lambda-0.50,0.5,-0.0013427734375,0.00019182477678571425
dense,dense/adamw-lr1e-5/checkpoint-782,positive_score,adam-basis__spectrum-lambda-0.75,0.75,-0.0011073521205357143,0.00042724609375
dense,dense/adamw-lr1e-5/checkpoint-782,positive_score,adam-basis__muon-spectrum,1.0,-0.001220703125,0.00031389508928571425
dense,dense/adamw-lr1e-5/checkpoint-782,hardest_negative_score,adamw-native,0.0,-0.0009765625,0.0
dense,dense/adamw-lr1e-5/checkpoint-782,hardest_negative_score,adam-basis__spectrum-lambda-0.25,0.25,-0.00115966796875,-0.00018310546875
dense,dense/adamw-lr1e-5/checkpoint-782,hardest_negative_score,adam-basis__spectrum-lambda-0.50,0.5,-0.0012294224330357143,-0.00025285993303571425
dense,dense/adamw-lr1e-5/checkpoint-782,hardest_negative_score,adam-basis__spectrum-lambda-0.75,0.75,-0.0009852818080357143,-8.719308035714255e-06
dense,dense/adamw-lr1e-5/checkpoint-782,hardest_negative_score,adam-basis__muon-spectrum,1.0,-0.0011073521205357143,-0.00013078962053571425
dense,dense/adamw-lr1e-5/checkpoint-782,positive_margin,adamw-native,0.0,-0.0005580357142857143,0.0
dense,dense/adamw-lr1e-5/checkpoint-782,positive_margin,adam-basis__spectrum-lambda-0.25,0.25,-0.00017438616071428572,0.0003836495535714285
dense,dense/adamw-lr1e-5/checkpoint-782,positive_margin,adam-basis__spectrum-lambda-0.50,0.5,-0.00011335100446428572,0.0004446847098214285
dense,dense/adamw-lr1e-5/checkpoint-782,positive_margin,adam-basis__spectrum-lambda-0.75,0.75,-0.0001220703125,0.00043596540178571425
dense,dense/adamw-lr1e-5/checkpoint-782,positive_margin,adam-basis__muon-spectrum,1.0,-0.00011335100446428572,0.0004446847098214285
dense,dense/adamw-lr1e-5/checkpoint-782,reciprocal_rank,adamw-native,0.0,-0.008928571561617511,0.0
dense,dense/adamw-lr1e-5/checkpoint-782,reciprocal_rank,adam-basis__spectrum-lambda-0.25,0.25,-0.0039434524119964665,0.004985119149621044
dense,dense/adamw-lr1e-5/checkpoint-782,reciprocal_rank,adam-basis__spectrum-lambda-0.50,0.5,0.0005952381262821811,0.009523809687899691
dense,dense/adamw-lr1e-5/checkpoint-782,reciprocal_rank,adam-basis__spectrum-lambda-0.75,0.75,0.001488095082874809,0.01041666664449232
dense,dense/adamw-lr1e-5/checkpoint-782,reciprocal_rank,adam-basis__muon-spectrum,1.0,0.0045386904717556065,0.013467262033373117
