family,anchor,condition,category,basis_source,spectrum_operation,interpolation_lambda,band,samples,contrastive_loss,delta_contrastive_loss,positive_score,delta_positive_score,hardest_negative_score,delta_hardest_negative_score,positive_margin,delta_positive_margin,reciprocal_rank,delta_reciprocal_rank,top1_accuracy,delta_top1_accuracy
dense,dense/pretrained,adamw-native,native,adamw,native,0.0,,224,0.8731082792801317,-0.04853827739134431,0.5636771065848214,0.008823939732142858,0.5424281529017857,0.006809779575892857,0.021248953683035716,0.00201416015625,0.7845663277964506,0.009630102198570967,0.6517857142857143,0.013392857142857142
dense,dense/pretrained,muon-native,native,muon,native,1.0,,224,0.8940840324191542,-0.027562524252321703,0.5592389787946429,0.004385811941964286,0.5390625,0.003444126674107143,0.020176478794642856,0.0009416852678571429,0.7779868208537144,0.0030505952558347155,0.6428571428571429,0.004464285714285714
dense,dense/pretrained,adam-basis__spectrum-lambda-0.25,transformed,adamw,log_interpolation,0.25,,224,0.8793795050358832,-0.04226705163559278,0.5622820172991071,0.007428850446428571,0.5412510463169643,0.005632672991071429,0.021030970982142856,0.0017961774553571428,0.7817389468130257,0.006802721215145928,0.6473214285714286,0.008928571428571428
dense,dense/pretrained,adam-basis__spectrum-lambda-0.50,transformed,adamw,log_interpolation,0.5,,224,0.8880479935282243,-0.03359856314325173,0.5606602260044643,0.005807059151785714,0.5401436941964286,0.004525320870535714,0.020516531808035716,0.00128173828125,0.7832376712134906,0.008301445615610905,0.6517857142857143,0.013392857142857142
dense,dense/pretrained,adam-basis__spectrum-lambda-0.75,transformed,adamw,log_interpolation,0.75,,224,0.8930900865442319,-0.02855647012724408,0.5589686802455357,0.004115513392857143,0.5385654994419643,0.0029471261160714285,0.020403180803571428,0.0011683872767857143,0.7806228755175003,0.005686649919620582,0.6517857142857143,0.013392857142857142
dense,dense/pretrained,adam-basis__muon-spectrum,transformed,adamw,log_interpolation,1.0,,224,0.8997112186313773,-0.02193533804009868,0.5579485212053571,0.0030953543526785715,0.5378592354910714,0.0022408621651785715,0.020089285714285716,0.0008544921875,0.7786989809413042,0.0037627553434244226,0.6473214285714286,0.008928571428571428
dense,dense/pretrained,muon-basis__adam-spectrum,transformed,muon,adam_spectrum,,,224,0.9061393069569021,-0.015507249714573845,0.5572335379464286,0.00238037109375,0.53753662109375,0.0019182477678571428,0.019696916852678572,0.00046212332589285713,0.7738626713731459,-0.0010735542247337954,0.6383928571428571,0.0
dense,dense/pretrained,adam-basis__muon-head-spectrum,transformed,adamw,band_transplant,,head,224,0.8910660049046523,-0.03058055176682371,0.5590907505580357,0.004237583705357143,0.5388270786830357,0.003208705357142857,0.020263671875,0.0010288783482142857,0.7817814637507711,0.0068452381528913975,0.6473214285714286,0.008928571428571428
dense,dense/pretrained,adam-basis__muon-middle-spectrum,transformed,adamw,band_transplant,,middle,224,0.8759199684198913,-0.045726588251584745,0.5626743861607143,0.007821219308035714,0.5415736607142857,0.005955287388392857,0.021100725446428572,0.0018659319196428572,0.7838647971594972,0.008928571561617511,0.6517857142857143,0.013392857142857142
dense,dense/pretrained,adam-basis__muon-tail-spectrum,transformed,adamw,band_transplant,,tail,224,0.8711503295739281,-0.05049622709754788,0.5634068080357143,0.008553641183035714,0.5421665736607143,0.006548200334821429,0.021240234375,0.0020054408482142855,0.7838647971594972,0.008928571561617511,0.6517857142857143,0.013392857142857142
dense,dense/adamw-lr1e-5/checkpoint-782,adamw-native,native,adamw,native,0.0,,224,0.6602923407060318,0.005148936313746942,0.6222272600446429,-0.0015345982142857143,0.5865129743303571,-0.0009765625,0.03571428571428571,-0.0005580357142857143,0.8454294225334057,-0.008928571561617511,0.7455357142857143,-0.017857142857142856
dense,dense/adamw-lr1e-5/checkpoint-782,muon-native,native,muon,native,1.0,,224,0.6511984056508352,-0.003944998741449776,0.62371826171875,-4.359654017857143e-05,0.5874982561383929,8.719308035714285e-06,0.036220005580357144,-5.231584821428571e-05,0.8577062082476914,0.0033482141526682036,0.7678571428571429,0.004464285714285714
dense,dense/adamw-lr1e-5/checkpoint-782,adam-basis__spectrum-lambda-0.25,transformed,adamw,log_interpolation,0.25,,224,0.6568478918149724,0.0017044874226875045,0.6224278041294643,-0.0013340541294642857,0.5863298688616071,-0.00115966796875,0.036097935267857144,-0.00017438616071428572,0.8504145416830268,-0.0039434524119964665,0.7589285714285714,-0.004464285714285714
dense,dense/adamw-lr1e-5/checkpoint-782,adam-basis__spectrum-lambda-0.50,transformed,adamw,log_interpolation,0.5,,224,0.6491560552085502,-0.005987349183734685,0.6224190848214286,-0.0013427734375,0.5862601143973214,-0.0012294224330357143,0.036158970424107144,-0.00011335100446428572,0.8549532322213054,0.0005952381262821811,0.7678571428571429,0.004464285714285714
dense,dense/adamw-lr1e-5/checkpoint-782,adam-basis__spectrum-lambda-0.75,transformed,adamw,log_interpolation,0.75,,224,0.6512113948837006,-0.003932009508584348,0.6226545061383929,-0.0011073521205357143,0.5865042550223214,-0.0009852818080357143,0.03615025111607143,-0.0001220703125,0.855846089177898,0.001488095082874809,0.7633928571428571,0.0
dense,dense/adamw-lr1e-5/checkpoint-782,adam-basis__muon-spectrum,transformed,adamw,log_interpolation,1.0,,224,0.6527511944840236,-0.0023922099082613257,0.6225411551339286,-0.001220703125,0.5863821847098214,-0.0011073521205357143,0.036158970424107144,-0.00011335100446428572,0.8588966845667788,0.0045386904717556065,0.7767857142857143,0.013392857142857142
dense,dense/adamw-lr1e-5/checkpoint-782,muon-basis__adam-spectrum,transformed,muon,adam_spectrum,,,224,0.6515219640436304,-0.003621440348654557,0.6232125418526786,-0.00054931640625,0.5868181501116071,-0.00067138671875,0.03639439174107143,0.0001220703125,0.853018708327519,-0.0013392857675041472,0.7633928571428571,0.0
dense,dense/adamw-lr1e-5/checkpoint-782,adam-basis__muon-head-spectrum,transformed,adamw,band_transplant,,head,224,0.6526129271813781,-0.0025304772109068707,0.62249755859375,-0.0012642996651785715,0.58642578125,-0.0010637555803571428,0.03607177734375,-0.00020054408482142856,0.853018708327519,-0.0013392857675041472,0.7589285714285714,-0.004464285714285714
dense,dense/adamw-lr1e-5/checkpoint-782,adam-basis__muon-middle-spectrum,transformed,adamw,band_transplant,,middle,224,0.6540368897753329,-0.001106514616952024,0.62274169921875,-0.0010201590401785715,0.5865391322544643,-0.0009504045758928571,0.03620256696428571,-6.975446428571428e-05,0.8524978749587068,-0.0018601191363164357,0.7589285714285714,-0.004464285714285714
dense,dense/adamw-lr1e-5/checkpoint-782,adam-basis__muon-tail-spectrum,transformed,adamw,band_transplant,,tail,224,0.6607445675485906,0.00560116315630564,0.6224452427455357,-0.0013166155133928572,0.5866263253348214,-0.0008632114955357143,0.03581891741071429,-0.00045340401785714287,0.8506377559554364,-0.0037202381395867895,0.7589285714285714,-0.004464285714285714
dense,dense/adamw-lr1e-5/checkpoint-2345,adamw-native,native,adamw,native,0.0,,224,0.6420050550910089,-0.009796972547844365,0.6162545340401786,-0.004560198102678571,0.5799647739955357,-0.005196707589285714,0.036289760044642856,0.0006365094866071429,0.8690476198680699,0.0055803572093801835,0.78125,0.004464285714285714
dense,dense/adamw-lr1e-5/checkpoint-2345,muon-native,native,muon,native,1.0,,224,0.6346795629136912,-0.01712246472516199,0.6184779575892857,-0.0023367745535714285,0.5818743024553571,-0.0032871791294642855,0.03660365513392857,0.0009504045758928571,0.8686755960807204,0.005208333422030721,0.78125,0.004464285714285714
dense,dense/adamw-lr1e-5/checkpoint-2345,adam-basis__spectrum-lambda-0.25,transformed,adamw,log_interpolation,0.25,,224,0.636122011495315,-0.015680016143538263,0.6168648856026786,-0.003949846540178571,0.5803571428571429,-0.004804338727678571,0.03650774274553571,0.0008544921875,0.8664434532901006,0.0029761906314109054,0.7767857142857143,0.0
dense,dense/adamw-lr1e-5/checkpoint-2345,adam-basis__spectrum-lambda-0.50,transformed,adamw,log_interpolation,0.5,,224,0.6424730043403802,-0.009329023298473007,0.6172136579241071,-0.00360107421875,0.5809064592633929,-0.004255022321428571,0.03630719866071429,0.0006539481026785714,0.867559524718672,0.0040922620599823335,0.7767857142857143,0.0
dense,dense/adamw-lr1e-5/checkpoint-2345,adam-basis__spectrum-lambda-0.75,transformed,adamw,log_interpolation,0.75,,224,0.6377076905701285,-0.01409433706872473,0.6180943080357143,-0.002720424107142857,0.5816824776785714,-0.00347900390625,0.036411830357142856,0.0007585797991071429,0.8686011913897735,0.00513392873108387,0.7767857142857143,0.0
dense,dense/adamw-lr1e-5/checkpoint-2345,adam-basis__muon-spectrum,transformed,adamw,log_interpolation,1.0,,224,0.6372113250341565,-0.014590702604696812,0.6187482561383929,-0.0020664760044642855,0.5823015485491071,-0.0028599330357142855,0.03644670758928571,0.00079345703125,0.8643601198813745,0.0008928572226847921,0.7723214285714286,-0.004464285714285714
dense,dense/adamw-lr1e-5/checkpoint-2345,muon-basis__adam-spectrum,transformed,muon,adam_spectrum,,,224,0.6408189569527362,-0.010983070686117051,0.6197858537946429,-0.0010288783482142857,0.58343505859375,-0.0017264229910714285,0.036350795200892856,0.0006975446428571429,0.8682291675359011,0.004761904877211366,0.78125,0.004464285714285714
dense,dense/adamw-lr1e-5/checkpoint-2345,adam-basis__muon-head-spectrum,transformed,adamw,band_transplant,,head,224,0.6320266936718001,-0.019775333967053093,0.6183035714285714,-0.0025111607142857145,0.5816999162946429,-0.0034615652901785715,0.03660365513392857,0.0009504045758928571,0.8678571436820286,0.004389881023338863,0.7767857142857143,0.0
dense,dense/adamw-lr1e-5/checkpoint-2345,adam-basis__muon-middle-spectrum,transformed,adamw,band_transplant,,middle,224,0.6380711296350066,-0.0137308980038467,0.6170218331473214,-0.0037928989955357145,0.5804007393973214,-0.0047607421875,0.03662109375,0.0009678431919642857,0.8682291674693781,0.0047619048106883255,0.78125,0.004464285714285714
dense,dense/adamw-lr1e-5/checkpoint-2345,adam-basis__muon-tail-spectrum,transformed,adamw,band_transplant,,tail,224,0.6423705502157061,-0.009431477423147174,0.6164289202008929,-0.004385811941964286,0.5800868443080357,-0.005074637276785714,0.036342075892857144,0.0006888253348214286,0.8703125008781042,0.006845238219414439,0.7857142857142857,0.008928571428571428
dense,dense/adamw-lr1e-5/checkpoint-3907,adamw-native,native,adamw,native,0.0,,224,0.6264606442387048,-0.010885764762113987,0.6176409040178571,-0.005815778459821429,0.5810110909598214,-0.006312779017857143,0.03662981305803571,0.0004970005580357143,0.8787202386717711,0.007514880704028266,0.7946428571428571,0.008928571428571428
dense,dense/adamw-lr1e-5/checkpoint-3907,muon-native,native,muon,native,1.0,,224,0.6248937291712277,-0.012452679829591164,0.6200387137276786,-0.00341796875,0.5834001813616071,-0.003923688616071429,0.03663853236607143,0.0005057198660714286,0.8735119055158326,0.0023065475480897085,0.7857142857142857,0.0
dense,dense/adamw-lr1e-5/checkpoint-3907,adam-basis__spectrum-lambda-0.25,transformed,adamw,log_interpolation,0.25,,224,0.6262723357968168,-0.01107407320400203,0.6186610630580357,-0.004795619419642857,0.5819614955357143,-0.005362374441964286,0.03669956752232143,0.0005667550223214286,0.8779761910970721,0.006770833129329341,0.7946428571428571,0.008928571428571428
dense,dense/adamw-lr1e-5/checkpoint-3907,adam-basis__spectrum-lambda-0.50,transformed,adamw,log_interpolation,0.5,,224,0.6296172836473163,-0.007729125353502501,0.6193760463169643,-0.004080636160714286,0.5827898297991071,-0.004534040178571429,0.036586216517857144,0.00045340401785714287,0.8753720245191029,0.004166666551360062,0.7901785714285714,0.004464285714285714
dense,dense/adamw-lr1e-5/checkpoint-3907,adam-basis__spectrum-lambda-0.75,transformed,adamw,log_interpolation,0.75,,224,0.6298825004236213,-0.007463908577197539,0.6202043805803571,-0.0032523018973214285,0.5838448660714286,-0.00347900390625,0.03635951450892857,0.00022670200892857144,0.8718005959609789,0.0005952379932360989,0.78125,-0.004464285714285714
dense,dense/adamw-lr1e-5/checkpoint-3907,adam-basis__muon-spectrum,transformed,adamw,log_interpolation,1.0,,224,0.631845065922367,-0.00550134307845188,0.6207362583705357,-0.002720424107142857,0.5845162527901786,-0.0028076171875,0.036220005580357144,8.719308035714286e-05,0.8729166673895504,0.0017113094218075275,0.7857142857142857,0.0
dense,dense/adamw-lr1e-5/checkpoint-3907,muon-basis__adam-spectrum,transformed,muon,adam_spectrum,,,224,0.6321475759249812,-0.005198833075837683,0.6218697684151786,-0.0015869140625,0.5853794642857143,-0.0019444056919642857,0.03649030412946429,0.0003574916294642857,0.8729166673895504,0.0017113094218075275,0.7857142857142857,0.0
dense,dense/adamw-lr1e-5/checkpoint-3907,adam-basis__muon-head-spectrum,transformed,adamw,band_transplant,,head,224,0.6314287922473666,-0.0059176167534522916,0.6202130998883929,-0.0032435825892857145,0.5837838309151786,-0.0035400390625,0.03642926897321429,0.0002964564732142857,0.8750000006652304,0.0037946426974875586,0.7901785714285714,0.004464285714285714
dense,dense/adamw-lr1e-5/checkpoint-3907,adam-basis__muon-middle-spectrum,transformed,adamw,band_transplant,,middle,224,0.6284775139646886,-0.008868895036130198,0.6185651506696429,-0.004891531808035714,0.5821446010044643,-0.005179268973214286,0.03642054966517857,0.00028773716517857144,0.8768601196685007,0.005654761700757912,0.7901785714285714,0.004464285714285714
dense,dense/adamw-lr1e-5/checkpoint-3907,adam-basis__muon-tail-spectrum,transformed,adamw,band_transplant,,tail,224,0.6243018114683504,-0.013044597532468418,0.6182163783482143,-0.005240304129464286,0.5813860212053571,-0.005937848772321429,0.036830357142857144,0.0006975446428571429,0.8757440482399294,0.004538690272186484,0.7901785714285714,0.004464285714285714
dense,dense/muon-lr1e-3/checkpoint-782,adamw-native,native,adamw,native,0.0,,224,0.6135065376205863,-0.002606982130730882,0.6727643694196429,0.0017438616071428572,0.6407209123883929,0.0015956333705357143,0.03204345703125,0.00014822823660714285,0.8767857149110309,0.0005208333022892475,0.7857142857142857,0.0
dense,dense/muon-lr1e-3/checkpoint-782,muon-native,native,muon,native,1.0,,224,0.6218191094711594,0.005705589719842205,0.6703055245535714,-0.0007149832589285714,0.6384102957589286,-0.0007149832589285714,0.031895228794642856,0.0,0.8729166671899813,-0.003348214418760368,0.7767857142857143,-0.008928571428571428
dense,dense/muon-lr1e-3/checkpoint-782,adam-basis__spectrum-lambda-0.25,transformed,adamw,log_interpolation,0.25,,224,0.6185564218269844,0.002442902075667267,0.6714739118303571,0.00045340401785714287,0.6394478934151786,0.00032261439732142856,0.03202601841517857,0.00013078962053571428,0.8755208339009967,-0.0007440477077450071,0.78125,-0.004464285714285714
dense,dense/muon-lr1e-3/checkpoint-782,adam-basis__spectrum-lambda-0.50,transformed,adamw,log_interpolation,0.5,,224,0.616134169120934,2.0649369616876356e-05,0.6706019810267857,-0.0004185267857142857,0.6385410853794643,-0.0005841936383928571,0.03206089564732143,0.00016566685267857144,0.8714285719740603,-0.0048363096346812585,0.7723214285714286,-0.013392857142857142
dense,dense/muon-lr1e-3/checkpoint-782,adam-basis__spectrum-lambda-0.75,transformed,adamw,log_interpolation,0.75,,224,0.6131346048279218,-0.002978914923395288,0.6700090680803571,-0.0010114397321428572,0.63775634765625,-0.0013689313616071428,0.032252720424107144,0.0003574916294642857,0.877380952904267,0.0011160712955253465,0.7857142857142857,0.0
dense,dense/muon-lr1e-3/checkpoint-782,adam-basis__muon-spectrum,transformed,adamw,log_interpolation,1.0,,224,0.6132627164155825,-0.0028508033357346513,0.6696602957589286,-0.0013602120535714285,0.6376081194196429,-0.0015171595982142857,0.03205217633928571,0.00015694754464285715,0.8767857148445078,0.0005208332357662064,0.7857142857142857,0.0
