model_family,learning_rate,task,adamw_ndcg_at_10,hybrid_adamw_ndcg_at_10,hybrid_minus_adamw,adamw_result_path,hybrid_result_path
dense,3e-05,ClimateFEVER,0.40586,0.40817,0.0023099999999999787,results/decontaminated-beir/dense/adamw-lr3e-5__checkpoint-3907/results/adamw-lr3e-5__checkpoint-3907/local/ClimateFEVERDecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr3e-5__checkpoint-3907/results/hybrid-adamw-lr3e-5__checkpoint-3907/local/ClimateFEVERDecontaminated.json
dense,3e-05,DBPedia,0.27755,0.27908,0.0015299999999999758,results/decontaminated-beir/dense/adamw-lr3e-5__checkpoint-3907/results/adamw-lr3e-5__checkpoint-3907/local/DBPediaDecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr3e-5__checkpoint-3907/results/hybrid-adamw-lr3e-5__checkpoint-3907/local/DBPediaDecontaminated.json
dense,3e-05,FEVER,0.92053,0.92016,-0.00036999999999998145,results/decontaminated-beir/dense/adamw-lr3e-5__checkpoint-3907/results/adamw-lr3e-5__checkpoint-3907/local/FEVERDecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr3e-5__checkpoint-3907/results/hybrid-adamw-lr3e-5__checkpoint-3907/local/FEVERDecontaminated.json
dense,3e-05,FiQA2018,0.5421,0.54306,0.0009599999999999609,results/decontaminated-beir/dense/adamw-lr3e-5__checkpoint-3907/results/adamw-lr3e-5__checkpoint-3907/local/FiQA2018Decontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr3e-5__checkpoint-3907/results/hybrid-adamw-lr3e-5__checkpoint-3907/local/FiQA2018Decontaminated.json
dense,3e-05,HotpotQA,0.67496,0.67672,0.0017599999999999838,results/decontaminated-beir/dense/adamw-lr3e-5__checkpoint-3907/results/adamw-lr3e-5__checkpoint-3907/local/HotpotQADecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr3e-5__checkpoint-3907/results/hybrid-adamw-lr3e-5__checkpoint-3907/local/HotpotQADecontaminated.json
dense,3e-05,MSMARCO,0.56796,0.56747,-0.0004899999999999904,results/decontaminated-beir/dense/adamw-lr3e-5__checkpoint-3907/results/adamw-lr3e-5__checkpoint-3907/local/MSMARCODecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr3e-5__checkpoint-3907/results/hybrid-adamw-lr3e-5__checkpoint-3907/local/MSMARCODecontaminated.json
dense,3e-05,NFCorpus,0.28744,0.28975,0.0023100000000000342,results/decontaminated-beir/dense/adamw-lr3e-5__checkpoint-3907/results/adamw-lr3e-5__checkpoint-3907/local/NFCorpusDecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr3e-5__checkpoint-3907/results/hybrid-adamw-lr3e-5__checkpoint-3907/local/NFCorpusDecontaminated.json
dense,3e-05,NQ,0.92545,0.92545,0.0,results/decontaminated-beir/dense/adamw-lr3e-5__checkpoint-3907/results/adamw-lr3e-5__checkpoint-3907/local/NQDecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr3e-5__checkpoint-3907/results/hybrid-adamw-lr3e-5__checkpoint-3907/local/NQDecontaminated.json
dense,3e-05,QuoraRetrieval,0.9118,0.91227,0.00046999999999997044,results/decontaminated-beir/dense/adamw-lr3e-5__checkpoint-3907/results/adamw-lr3e-5__checkpoint-3907/local/QuoraRetrievalDecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr3e-5__checkpoint-3907/results/hybrid-adamw-lr3e-5__checkpoint-3907/local/QuoraRetrievalDecontaminated.json
dense,3e-05,SCIDOCS,0.14774,0.14705,-0.0006900000000000239,results/decontaminated-beir/dense/adamw-lr3e-5__checkpoint-3907/results/adamw-lr3e-5__checkpoint-3907/local/SCIDOCSDecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr3e-5__checkpoint-3907/results/hybrid-adamw-lr3e-5__checkpoint-3907/local/SCIDOCSDecontaminated.json
dense,3e-05,SciFact,0.8804,0.88391,0.003510000000000013,results/decontaminated-beir/dense/adamw-lr3e-5__checkpoint-3907/results/adamw-lr3e-5__checkpoint-3907/local/SciFactDecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr3e-5__checkpoint-3907/results/hybrid-adamw-lr3e-5__checkpoint-3907/local/SciFactDecontaminated.json
dense,3e-05,TRECCOVID,0.83044,0.82891,-0.0015299999999999203,results/decontaminated-beir/dense/adamw-lr3e-5__checkpoint-3907/results/adamw-lr3e-5__checkpoint-3907/local/TRECCOVIDDecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr3e-5__checkpoint-3907/results/hybrid-adamw-lr3e-5__checkpoint-3907/local/TRECCOVIDDecontaminated.json
dense,3e-05,Touche2020,0.32591,0.32459,-0.0013199999999999878,results/decontaminated-beir/dense/adamw-lr3e-5__checkpoint-3907/results/adamw-lr3e-5__checkpoint-3907/local/Touche2020Decontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr3e-5__checkpoint-3907/results/hybrid-adamw-lr3e-5__checkpoint-3907/local/Touche2020Decontaminated.json
