comparator_column,feature_row,baseline,conditioned_on_displacement,feature,baseline_rmse_points,feature_rmse_points,feature_minus_baseline_rmse_points,improved_folds,diagnostic_flag
3,5,B3_nominal_schedule,False,cumulative_displacement_to_weight_ratio,1.4387860158421135,1.4202969610902454,-0.018489054751868097,4,True
3,6,B3_nominal_schedule,False,cumulative_stable_rank_fraction,1.4387860158421135,1.5607512645477974,0.12196524870568386,1,False
3,7,B3_nominal_schedule,False,mean_saved_segment_subspace_overlap_to_adamw,1.4387860158421135,1.6760087912544142,0.23722277541230072,0,False
3,8,B3_nominal_schedule,False,mean_cumulative_subspace_overlap_to_adamw,1.4387860158421135,1.924348528950479,0.4855625131083655,1,False
3,9,B3_nominal_schedule,False,exact_nonzero_saved_segment_stable_rank_fraction,1.4387860158421135,1.624588903816773,0.1858028879746594,0,False
3,10,B3_nominal_schedule,False,full_spectrum_nonzero_saved_segment_entropy_rank_fraction,1.4387860158421135,1.3562130964390988,-0.0825729194030145,4,True
3,11,B3_nominal_schedule,False,exact_nonzero_cumulative_stable_rank_fraction,1.4387860158421135,1.3727478333418153,-0.0660381825002981,3,True
3,12,B3_nominal_schedule,False,exact_mean_saved_segment_overlap_to_adamw,1.4387860158421135,1.6450149744600022,0.20622895861788867,0,False
3,13,B3_nominal_schedule,False,exact_mean_cumulative_overlap_to_adamw,1.4387860158421135,2.1399370431585676,0.7011510273164542,0,False
4,0,B0_original,True,log_saved_segment_to_weight_ratio,1.0039746871231265,1.2474839853946356,0.24350929827150905,1,False
4,1,B0_original,True,saved_segment_stable_rank_fraction,1.0039746871231265,1.0499183081691075,0.04594362104598088,2,False
4,2,B0_original,True,saved_segment_sketch_effective_rank_fraction,1.0039746871231265,1.2209974764347895,0.21702278931166286,1,False
4,3,B0_original,True,saved_segment_row_norm_cv,1.0039746871231265,1.1424084105719479,0.1384337234488212,1,False
4,4,B0_original,True,saved_segment_top_1pct_row_energy,1.0039746871231265,1.031839787212196,0.0278651000890694,2,False
4,5,B0_original,True,cumulative_displacement_to_weight_ratio,1.0039746871231265,1.0039746871231265,-0.0,0,False
4,6,B0_original,True,cumulative_stable_rank_fraction,1.0039746871231265,1.244273705896158,0.24029901877303134,1,False
4,7,B0_original,True,mean_saved_segment_subspace_overlap_to_adamw,1.0039746871231265,0.8155867817512316,-0.18838790537189495,3,True
4,8,B0_original,True,mean_cumulative_subspace_overlap_to_adamw,1.0039746871231265,1.268959529769308,0.2649848426461815,1,False
4,9,B0_original,True,exact_nonzero_saved_segment_stable_rank_fraction,1.0039746871231265,1.0566725936227828,0.05269790649965609,2,False
4,10,B0_original,True,full_spectrum_nonzero_saved_segment_entropy_rank_fraction,1.0039746871231265,1.2602284906819388,0.25625380355881217,2,False
4,11,B0_original,True,exact_nonzero_cumulative_stable_rank_fraction,1.0039746871231265,1.2133009721955026,0.20932628507237602,0,False
4,12,B0_original,True,exact_mean_saved_segment_overlap_to_adamw,1.0039746871231265,0.8397740248471743,-0.16420066227595212,3,True
4,13,B0_original,True,exact_mean_cumulative_overlap_to_adamw,1.0039746871231265,1.4524671087876508,0.4484924216645243,1,False
5,0,B3_nominal_schedule,True,log_saved_segment_to_weight_ratio,1.4202969610902454,1.3756580335404442,-0.04463892754980109,4,True
5,1,B3_nominal_schedule,True,saved_segment_stable_rank_fraction,1.4202969610902454,1.5567673521487941,0.13647039105854883,0,False
5,2,B3_nominal_schedule,True,saved_segment_sketch_effective_rank_fraction,1.4202969610902454,1.4179661341523344,-0.0023308269379110113,3,True
5,3,B3_nominal_schedule,True,saved_segment_row_norm_cv,1.4202969610902454,1.4279022462580508,0.007605285167805321,1,False
5,4,B3_nominal_schedule,True,saved_segment_top_1pct_row_energy,1.4202969610902454,1.4293514157960538,0.009054454705808538,1,False
5,5,B3_nominal_schedule,True,cumulative_displacement_to_weight_ratio,1.4202969610902454,1.4202969610902454,-0.0,0,False
5,6,B3_nominal_schedule,True,cumulative_stable_rank_fraction,1.4202969610902454,1.5619063002767506,0.1416093391865052,1,False
5,7,B3_nominal_schedule,True,mean_saved_segment_subspace_overlap_to_adamw,1.4202969610902454,1.6453131871559366,0.22501622606569133,0,False
5,8,B3_nominal_schedule,True,mean_cumulative_subspace_overlap_to_adamw,1.4202969610902454,1.3353541475042938,-0.0849428135859515,2,False
5,9,B3_nominal_schedule,True,exact_nonzero_saved_segment_stable_rank_fraction,1.4202969610902454,1.5818300329391937,0.1615330718489483,0,False
5,10,B3_nominal_schedule,True,full_spectrum_nonzero_saved_segment_entropy_rank_fraction,1.4202969610902454,1.3479757307243823,-0.07232123036586315,4,True
5,11,B3_nominal_schedule,True,exact_nonzero_cumulative_stable_rank_fraction,1.4202969610902454,1.379914651708253,-0.040382309381992464,2,False
5,12,B3_nominal_schedule,True,exact_mean_saved_segment_overlap_to_adamw,1.4202969610902454,1.5957771543691275,0.17548019327888217,0,False
5,13,B3_nominal_schedule,True,exact_mean_cumulative_overlap_to_adamw,1.4202969610902454,2.0173956814872676,0.5970987203970224,0,False
