family,treatment,baseline,difference_points,simultaneous_lower_points,simultaneous_upper_points,y,support
primary,muon,adamw,0.15691071428571607,-1.0808336441841229,1.394655072755555,2,inconclusive
primary,normuon,adamw,0.20726785714285795,-0.8903178036673842,1.3048535179531,1,inconclusive
primary,normuon,muon,0.050357142857141865,-0.1974846488124426,0.29819893452672636,0,inconclusive
secondary,muon,adamw,0.3167857142857153,-0.16307954862677282,0.7966509771982034,2,inconclusive
secondary,normuon,adamw,0.4374285714285718,0.14634291772780164,0.7285142251293419,1,positive
secondary,normuon,muon,0.12064285714285647,-0.23300357142857359,0.47428928571428647,0,inconclusive
