baseline_margin,baseline_shortlist_ndcg,learning_rate,margin_absolute_attribution_participation_ratio,margin_degrading_attribution_mass,margin_degrading_coordinate_fraction,margin_helpful_attribution_mass,margin_helpful_attribution_participation_ratio,margin_helpful_mass_share,ndcg_absolute_attribution_participation_ratio,ndcg_degrading_attribution_mass,ndcg_degrading_coordinate_fraction,ndcg_helpful_attribution_mass,ndcg_helpful_attribution_participation_ratio,ndcg_helpful_mass_share,optimizer,rotation_seed,run_id,step,task
0.24105775753457503,1.0,0.0001,0.5701468408729278,0.09153701241158729,0.46875,0.10015390434018141,0.32075770340712084,0.522476004796181,0.0,0.0,0.0,0.0,0.0,0.0,muon,,verified-v3-muon-1e-4,2345,ArguAna
0.008928780404261438,0.7706550667791863,0.0001,0.5960520386136242,0.10319232228981148,0.4856770833333333,0.105742130010569,0.31791520553585406,0.5061019321913739,0.12857080465338128,0.5214416342209287,0.2890625,0.08986647495223873,0.005362417353531064,0.1470068425458788,muon,,verified-v3-muon-1e-4,2345,ClimateFEVER
0.2996090577952623,1.0,0.0001,0.6261058297715492,0.11599837518756709,0.5078125,0.11646741382595822,0.3005159358269747,0.5010088336877041,0.0,0.0,0.0,0.0,0.0,0.0,muon,,verified-v3-muon-1e-4,2345,DBPedia
0.407127030052726,1.0,0.0001,0.5807606092467764,0.1084153933894872,0.4700520833333333,0.1088684933903052,0.3260469395190962,0.5010426451945725,0.0,0.0,0.0,0.0,0.0,0.0,muon,,verified-v3-muon-1e-4,2345,FEVER
0.22367014098612886,0.9769331095982161,0.0001,0.6165058790577853,0.10102355722739953,0.4856770833333333,0.11841617549655825,0.31897993661835766,0.5396296013790666,0.01432291666666667,0.25373579441962296,0.014322916666666666,0.0,0.0,0.0,muon,,verified-v3-muon-1e-4,2345,FiQA2018
0.30197684550621146,1.0,0.0001,0.5959903440960462,0.12076052849646093,0.5026041666666666,0.12100860122713825,0.29837870331238914,0.5005130364057664,0.0,0.0,0.0,0.0,0.0,0.0,muon,,verified-v3-muon-1e-4,2345,HotpotQA
0.43088283217442386,1.0,0.0001,0.5950347137486036,0.10385406530728666,0.5078125,0.11001096127507036,0.2896649635005488,0.514394349712464,0.0,0.0,0.0,0.0,0.0,0.0,muon,,verified-v3-muon-1e-4,2345,MSMARCO
0.002996768583295858,0.7190574688428424,0.0001,0.595605167908457,0.10370083468822258,0.4661458333333333,0.13467617063195145,0.32151658081635776,0.5649713169735575,0.009518169556487193,0.07179988813244138,0.0078125,0.04413575423876602,0.004430912448249957,0.3806918505479996,muon,,verified-v3-muon-1e-4,2345,NFCorpus
0.42179543991295304,1.0,0.0001,0.4690553644242921,0.11393731455450354,0.4869791666666667,0.12096273650499573,0.305450636162821,0.5149540664610427,0.0,0.0,0.0,0.0,0.0,0.0,muon,,verified-v3-muon-1e-4,2345,NQ
0.4862331811652352,1.0,0.0001,0.5576650607854292,0.09773045415962173,0.4986979166666667,0.10470295677171304,0.3132528611230649,0.5172217189346683,0.0,0.0,0.0,0.0,0.0,0.0,muon,,verified-v3-muon-1e-4,2345,QuoraRetrieval
0.10004871436485331,0.8583298984711626,0.0001,0.5886825671692352,0.10769114098738221,0.4817708333333333,0.12671791551203965,0.3071810367045944,0.5405845550696639,0.16796875000000003,0.24708031227006305,0.16796875,0.0,0.0,0.0,muon,,verified-v3-muon-1e-4,2345,SCIDOCS
0.2666811493358894,1.0,0.0001,0.537575510880156,0.117924303220305,0.4986979166666667,0.11800062776576326,0.2800829268914719,0.500161755998273,0.0,0.0,0.0,0.0,0.0,0.0,muon,,verified-v3-muon-1e-4,2345,SciFact
0.07835982684225183,0.9341496643973242,0.0001,0.5796125397605048,0.10994599350698792,0.5065104166666666,0.11257710160166606,0.289241072680918,0.5059119888059112,0.13411458333333337,0.0,0.0,2.3758897113837425,0.13411458333333337,1.0,muon,,verified-v3-muon-1e-4,2345,TRECCOVID
0.3024791834418816,1.0,0.0001,0.5763896148074533,0.10182837364217708,0.4700520833333333,0.12092162976654912,0.3201965718726092,0.5428580377826923,0.0,0.0,0.0,0.0,0.0,0.0,muon,,verified-v3-muon-1e-4,2345,Touche2020
