run_id,stage,original_feature,exact_feature,original_value,exact_value,exact_minus_original,relationship,defined
verified-v3-adamw-3e-6,1,saved_segment_stable_rank_fraction,exact_nonzero_saved_segment_stable_rank_fraction,0.008386301029466903,0.008386300451918734,-5.775481690117878e-10,exact_rank_and_nonzero_denominator,True
verified-v3-adamw-3e-6,1,saved_segment_sketch_effective_rank_fraction,full_spectrum_nonzero_saved_segment_entropy_rank_fraction,0.06766429585994034,0.6144311792535289,0.5467668833935885,full_spectrum_and_nonzero_denominator,True
verified-v3-adamw-3e-6,1,cumulative_stable_rank_fraction,exact_nonzero_cumulative_stable_rank_fraction,0.008386301029466903,0.008386300451918734,-5.775481690117878e-10,exact_rank_and_nonzero_denominator,True
verified-v3-adamw-3e-6,1,mean_saved_segment_subspace_overlap_to_adamw,exact_mean_saved_segment_overlap_to_adamw,0.6806403789636074,0.6900870707602861,0.009446691796678675,exact_projectors_complete_comparator_population,True
verified-v3-adamw-3e-6,1,mean_cumulative_subspace_overlap_to_adamw,exact_mean_cumulative_overlap_to_adamw,0.6820973879167953,0.6900870707602861,0.007989682843490775,exact_projectors_complete_comparator_population,True
verified-v3-adamw-3e-6,2,saved_segment_stable_rank_fraction,exact_nonzero_saved_segment_stable_rank_fraction,0.010753542098503911,0.010753542028769481,-6.973443003599478e-11,exact_rank_and_nonzero_denominator,True
verified-v3-adamw-3e-6,2,saved_segment_sketch_effective_rank_fraction,full_spectrum_nonzero_saved_segment_entropy_rank_fraction,0.07122855936301584,0.6763341541028943,0.6051055947398785,full_spectrum_and_nonzero_denominator,True
verified-v3-adamw-3e-6,2,cumulative_stable_rank_fraction,exact_nonzero_cumulative_stable_rank_fraction,0.008331418528807567,0.00833141733738624,-1.1914213279146102e-09,exact_rank_and_nonzero_denominator,True
verified-v3-adamw-3e-6,2,mean_saved_segment_subspace_overlap_to_adamw,exact_mean_saved_segment_overlap_to_adamw,0.4910758256201704,0.5019010059954352,0.010825180375264809,exact_projectors_complete_comparator_population,True
verified-v3-adamw-3e-6,2,mean_cumulative_subspace_overlap_to_adamw,exact_mean_cumulative_overlap_to_adamw,0.6681350098321888,0.677175728722932,0.009040718890743205,exact_projectors_complete_comparator_population,True
verified-v3-adamw-3e-6,3,saved_segment_stable_rank_fraction,exact_nonzero_saved_segment_stable_rank_fraction,0.01411014714787935,0.01411014387811747,-3.269761879656774e-09,exact_rank_and_nonzero_denominator,True
verified-v3-adamw-3e-6,3,saved_segment_sketch_effective_rank_fraction,full_spectrum_nonzero_saved_segment_entropy_rank_fraction,0.07404944883682724,0.7053285592495929,0.6312791104127657,full_spectrum_and_nonzero_denominator,True
verified-v3-adamw-3e-6,3,cumulative_stable_rank_fraction,exact_nonzero_cumulative_stable_rank_fraction,0.008507777937586667,0.008507777560683777,-3.769028908418015e-10,exact_rank_and_nonzero_denominator,True
verified-v3-adamw-3e-6,3,mean_saved_segment_subspace_overlap_to_adamw,exact_mean_saved_segment_overlap_to_adamw,0.46532431487890497,0.47762252317409337,0.012298208295188406,exact_projectors_complete_comparator_population,True
verified-v3-adamw-3e-6,3,mean_cumulative_subspace_overlap_to_adamw,exact_mean_cumulative_overlap_to_adamw,0.668092226958211,0.6775299196095296,0.009437692651318552,exact_projectors_complete_comparator_population,True
verified-v3-adamw-3e-6,4,saved_segment_stable_rank_fraction,exact_nonzero_saved_segment_stable_rank_fraction,0.016621155056723937,0.016621147821653363,-7.235070573902158e-09,exact_rank_and_nonzero_denominator,True
verified-v3-adamw-3e-6,4,saved_segment_sketch_effective_rank_fraction,full_spectrum_nonzero_saved_segment_entropy_rank_fraction,0.0752551470635834,0.718476793413569,0.6432216463499856,full_spectrum_and_nonzero_denominator,True
verified-v3-adamw-3e-6,4,cumulative_stable_rank_fraction,exact_nonzero_cumulative_stable_rank_fraction,0.008633227619623065,0.00863322694243374,-6.771893254486905e-10,exact_rank_and_nonzero_denominator,True
verified-v3-adamw-3e-6,4,mean_saved_segment_subspace_overlap_to_adamw,exact_mean_saved_segment_overlap_to_adamw,0.4698789294430597,0.48139500211996705,0.011516072676907352,exact_projectors_complete_comparator_population,True
verified-v3-adamw-3e-6,4,mean_cumulative_subspace_overlap_to_adamw,exact_mean_cumulative_overlap_to_adamw,0.6697792899454553,0.6801265120659205,0.010347222120465127,exact_projectors_complete_comparator_population,True
verified-v3-adamw-3e-6,5,saved_segment_stable_rank_fraction,exact_nonzero_saved_segment_stable_rank_fraction,0.018182217850683528,0.01818219566341043,-2.2187273098633886e-08,exact_rank_and_nonzero_denominator,True
