all_nonzero_pair_subspaces_resolved,defined_parameter_fraction,defined_parameters,defined_tensors,displacement_kind,first_learning_rate,first_optimizer,first_run_id,left_subspace_overlap,mean_subspace_overlap,progress_fraction,resolved_only_mean_subspace_overlap,right_subspace_overlap,second_learning_rate,second_optimizer,second_run_id,stage,step,undefined_boundary_parameters,undefined_signal_rank_parameters,undefined_zero_parameters
True,1.0,110297088,88,saved_segment,1e-05,adamw,verified-v3-adamw-1e-5,0.4792913845103524,0.4790290157429148,0.2,0.4790290157429148,0.4787666469754771,0.0001,muon,verified-v3-muon-1e-4,1,782,0,0,0
True,1.0,110297088,88,saved_segment,1e-05,adamw,verified-v3-adamw-1e-5,0.318804879868111,0.3197405809312701,0.2,0.3197405809312701,0.3206762819944292,0.0003,muon,verified-v3-muon-3e-4,1,782,0,0,0
True,1.0,110297088,88,saved_segment,1e-05,adamw,verified-v3-adamw-1e-5,0.07754437222927059,0.08134918015736056,0.2,0.08134918015736056,0.08515398808545054,0.001,muon,verified-v3-muon-1e-3,1,782,0,0,0
True,1.0,110297088,88,saved_segment,1e-05,adamw,verified-v3-adamw-1e-5,0.025950619365358044,0.028586809761690424,0.2,0.028586809761690424,0.031223000158022807,0.003,muon,verified-v3-muon-3e-3,1,782,0,0,0
True,1.0,110297088,88,saved_segment,1e-05,adamw,verified-v3-adamw-1e-5,0.4896463934399644,0.4729742934857846,0.2,0.4729742934857846,0.4563021935316049,0.0001,normuon,verified-v3-normuon-1e-4,1,782,0,0,0
True,1.0,110297088,88,saved_segment,1e-05,adamw,verified-v3-adamw-1e-5,0.34487795409851557,0.3317348616358802,0.2,0.3317348616358802,0.3185917691732447,0.0003,normuon,verified-v3-normuon-3e-4,1,782,0,0,0
True,1.0,110297088,88,saved_segment,1e-05,adamw,verified-v3-adamw-1e-5,0.08800476853408383,0.0854918814991893,0.2,0.0854918814991893,0.08297899446429478,0.001,normuon,verified-v3-normuon-1e-3,1,782,0,0,0
True,1.0,110297088,88,saved_segment,1e-05,adamw,verified-v3-adamw-1e-5,0.034557871022108916,0.03300527394775276,0.2,0.03300527394775276,0.031452676873396604,0.003,normuon,verified-v3-normuon-3e-3,1,782,0,0,0
True,1.0,110297088,88,saved_segment,3e-05,adamw,verified-v3-adamw-3e-5,0.2897603632618059,0.30948985163061377,0.2,0.30948985163061377,0.3292193399994216,0.0001,muon,verified-v3-muon-1e-4,1,782,0,0,0
True,1.0,110297088,88,saved_segment,3e-05,adamw,verified-v3-adamw-3e-5,0.30051376358474485,0.3018333987071035,0.2,0.3018333987071035,0.3031530338294621,0.0003,muon,verified-v3-muon-3e-4,1,782,0,0,0
