state,learning_rate,optimizer,run_id,step,stage,baseline_margin,baseline_shortlist_ndcg,helpful_mass,degrading_mass,helpful_share,first_order_half_l1,first_order_helpful_mass,first_order_degrading_mass,direct_sum,renormalization_sum,switching_sum,fixed_negative_sum,actual_sum,first_order_sum,finite_vs_first_order_l1,finite_vs_first_order_relative_l1,switching_fraction,queries_with_any_switch_fraction,baseline_negative_tie_queries,max_coordinate_energy,switching_to_total_mass,beir_ndcg_at_10
pretrained,,pretrained,pretrained,0,0,0.21053618637600907,0.9344218230006742,0.11687997027688302,0.10262574547836738,0.5315043468924421,0.10914641586867266,0.10914641586867266,0.10914641586867266,-0.21053618637600913,0.21045517569362068,-0.014173214116127176,-8.101068238843681e-05,-0.014254224798515612,-1.3815833397958142e-17,0.014802261239227565,0.0655313329320369,0.015084402901785716,0.20535714285714285,0.0,0.030897040676873183,0.06264338583386465,
verified-v3-adamw-1e-5/checkpoint-1563,1e-05,adamw,verified-v3-adamw-1e-5,1563,2,0.2516333528289059,0.9458445759587611,0.11717006781309688,0.10687014122561624,0.5230383108775732,0.1121140553449264,0.11211405534492638,0.11211405534492638,-0.2516333528289059,0.2515485419410829,-0.010215115699657579,-8.481088782305507e-05,-0.010299926587480634,2.6485510213574464e-18,0.010946517022497144,0.04895520521347289,0.010015578497023808,0.13839285714285715,0.0,0.027411715023925174,0.04569680005210363,0.585075
verified-v3-adamw-1e-5/checkpoint-2345,1e-05,adamw,verified-v3-adamw-1e-5,2345,3,0.2552062356715549,0.9465662780544737,0.11513512529408569,0.10928629454334224,0.5128346850468616,0.11224871636737192,0.11224871636737195,0.11224871636737192,-0.2552062356715549,0.25512266295249036,-0.005765258031678911,-8.357271906456163e-05,-0.005848830750743473,-1.1151793774136618e-18,0.006538353455081809,0.028744683492074572,0.005551292782738095,0.12053571428571429,0.0,0.02714019230473572,0.025296668956685246,0.5896428571428572
verified-v3-adamw-1e-5/checkpoint-3126,1e-05,adamw,verified-v3-adamw-1e-5,3126,4,0.2560750395927004,0.9461770285077139,0.11629927353387227,0.10777755669470654,0.5185162289974389,0.11196559424784333,0.11196559424784332,0.11196559424784334,-0.2560750395927004,0.2559909585088457,-0.00843763575531104,-8.408108385470176e-05,-0.00852171683916574,6.365815612736319e-18,0.009182215737868236,0.03998807974752251,0.007957821800595238,0.13392857142857142,0.0,0.027746226673814645,0.036656626846253516,0.587965
verified-v3-adamw-1e-5/checkpoint-3907,1e-05,adamw,verified-v3-adamw-1e-5,3907,5,0.2569633887900111,0.9459813867628976,0.1167101318487688,0.10646346601655514,0.5226700717907357,0.11171508072741852,0.11171508072741852,0.11171508072741852,-0.2569633887900111,0.25688102149173614,-0.01016429853393862,-8.236729827503873e-05,-0.010246665832213658,-2.8499028533904687e-18,0.010885147017349403,0.04820539439635178,0.009788876488095236,0.12946428571428573,0.0,0.027482154788983647,0.04497088130999792,0.58863
verified-v3-adamw-1e-5/checkpoint-782,1e-05,adamw,verified-v3-adamw-1e-5,782,1,0.24488598100200454,0.9436124331016185,0.1158423105163006,0.105944056399947,0.5220965703507441,0.11070813403924809,0.11070813403924809,0.11070813403924809,-0.24488598100200454,0.24480335072482579,-0.009815623839174864,-8.263027717875042e-05,-0.009898254116353611,5.978600551134353e-18,0.01053777271141475,0.04708224020061556,0.00961449032738095,0.1875,0.0,0.02856669795391748,0.043822935199715536,0.5820728571428572
verified-v3-adamw-1e-6/checkpoint-1563,1e-06,adamw,verified-v3-adamw-1e-6,1563,2,0.22616755864497584,0.9392093447972955,0.11463081681778399,0.1063109809338353,0.5184728894248319,0.11045107637135053,0.11045107637135053,0.11045107637135054,-0.22616755864497584,0.2260792023447838,-0.008231479583756661,-8.835630019206025e-05,-0.008319835883948721,2.4317105868603455e-18,0.00894578003817807,0.03979115378426397,0.008236839657738094,0.1875,0.0,0.030662026178576673,0.036545469931789316,0.55545
verified-v3-adamw-1e-6/checkpoint-2345,1e-06,adamw,verified-v3-adamw-1e-6,2345,3,0.2294139332441843,0.9383153573173935,0.11685604123221513,0.10466214959445386,0.5271370257297446,0.11000548163071149,0.11000548163071149,0.11000548163071149,-0.2294139332441843,0.2293237665226165,-0.01210372491619346,-9.016672156779718e-05,-0.012193891637761257,-1.0609692687893866e-18,0.01277997448466339,0.05693559658802909,0.012613932291666668,0.20089285714285715,0.0,0.030134277118808842,0.053867331529434494,0.5608178571428571
verified-v3-adamw-1e-6/checkpoint-3126,1e-06,adamw,verified-v3-adamw-1e-6,3126,4,0.23121119104544433,0.938704223401021,0.11537611541897282,0.10577415383781368,0.5215824277951986,0.11050004630739972,0.11050004630739974,0.11050004630739972,-0.23121119104544435,0.2311220585508474,-0.009512829086562183,-8.913249459694429e-05,-0.009601961581159127,-1.9128424043137113e-18,0.010217116902710726,0.0459524778369769,0.009538922991071428,0.20982142857142858,0.0,0.030062579036933493,0.04276133995869835,0.5633707142857143
verified-v3-adamw-1e-6/checkpoint-3907,1e-06,adamw,verified-v3-adamw-1e-6,3907,5,0.23174425790411518,0.9392089613341633,0.11759083777464199,0.10440986613644813,0.5290109719513146,0.11074563142680204,0.11074563142680204,0.11074563142680205,-0.23174425790411518,0.23165555749103267,-0.013092271225111304,-8.870041308257704e-05,-0.013180971638193881,2.04449552525838e-18,0.013752393119399494,0.060620098672811436,0.014032273065476192,0.20535714285714285,0.0,0.029966444848998287,0.057622214419010206,0.5649535714285714
