draw,learning_rate,margin,optimizer,relative_margin,relative_shortlist_ndcg,removed_fraction,run_id,shortlist_ndcg,step,task
0,,0.18873938247553365,pretrained,0.9920837848803492,1.0,0.1,pretrained,1.0,0,ArguAna
0,,-0.004337417851610658,pretrained,2.404248355177661,1.0060213602853323,0.1,pretrained,0.7238902428383827,0,ClimateFEVER
0,,0.24781162126429085,pretrained,0.9888277661163833,0.96875,0.1,pretrained,0.96875,0,DBPedia
0,,0.32001262557858834,pretrained,0.9855916617063711,1.0,0.1,pretrained,1.0,0,FEVER
0,,0.19831531353240056,pretrained,1.0129015287268828,1.0,0.1,pretrained,0.9769331095982161,0,FiQA2018
0,,0.23213756775173303,pretrained,0.971729178995734,1.0,0.1,pretrained,1.0,0,HotpotQA
0,,0.3127485398278153,pretrained,0.9955515192090592,1.0,0.1,pretrained,1.0,0,MSMARCO
0,,0.0038946095284510557,pretrained,1.0649189735134301,1.0304824705318503,0.1,pretrained,0.6956777411143658,0,NFCorpus
0,,0.3356050977995677,pretrained,1.0006678330573113,1.0,0.1,pretrained,1.0,0,NQ
0,,0.44083053159223123,pretrained,0.9870397247524983,1.0,0.1,pretrained,1.0,0,QuoraRetrieval
0,,0.10395960116212034,pretrained,1.0140616019372801,1.0263471031988518,0.1,pretrained,0.8985669492769113,0,SCIDOCS
0,,0.2553292542148884,pretrained,1.0078603430952697,1.0,0.1,pretrained,0.9769331095982161,0,SciFact
0,,0.0493735953421594,pretrained,1.0439665654795827,0.9809225434678494,0.1,pretrained,0.8415164429315494,0,TRECCOVID
0,,0.2475038871589751,pretrained,1.0055861505857735,1.0,0.1,pretrained,1.0,0,Touche2020
1,,0.19424125507169132,pretrained,1.0210036558555184,1.0,0.1,pretrained,1.0,0,ArguAna
1,,-0.0018184463346564185,pretrained,1.0079721988171009,1.0272216237228327,0.1,pretrained,0.73914505198444,0,ClimateFEVER
1,,0.2444441319599252,pretrained,0.975390676647906,0.96875,0.1,pretrained,0.96875,0,DBPedia
1,,0.31950744114661794,pretrained,0.9840357682072516,1.0,0.1,pretrained,1.0,0,FEVER
1,,0.19964800120379905,pretrained,1.0197082717646788,1.0,0.1,pretrained,0.9769331095982161,0,FiQA2018
1,,0.23962203860421183,pretrained,1.0030592165555094,1.0,0.1,pretrained,1.0,0,HotpotQA
1,,0.30740317741082746,pretrained,0.9785359843711186,1.0,0.1,pretrained,1.0,0,MSMARCO
1,,0.003031799141781211,pretrained,0.8289972091884179,0.9893468272564492,0.1,pretrained,0.6679071072496794,0,NFCorpus
1,,0.33757544466211814,pretrained,1.006542781734334,1.0,0.1,pretrained,1.0,0,NQ
1,,0.4468431966245192,pretrained,1.0005023567917604,1.0,0.1,pretrained,1.0,0,QuoraRetrieval
1,,0.09891738801527747,pretrained,0.9648779317053885,1.0120514734136181,0.1,pretrained,0.8860511245582822,0,SCIDOCS
1,,0.2520535219300185,pretrained,0.994930055593867,1.0,0.1,pretrained,0.9769331095982161,0,SciFact
1,,0.04905093226885933,pretrained,1.0371441038357467,1.0095387282660753,0.1,pretrained,0.8660657717261977,0,TRECCOVID
1,,0.24411211863481522,pretrained,0.9918056985167636,1.0,0.1,pretrained,1.0,0,Touche2020
2,,0.19107168454865037,pretrained,1.0043432245258184,1.0,0.1,pretrained,1.0,0,ArguAna
2,,-0.0031361188096679597,pretrained,1.7383634106144528,1.0154069805827344,0.1,pretrained,0.7306437365756808,0,ClimateFEVER
2,,0.25016621062237265,pretrained,0.9982231420200434,0.9769331095982161,0.1,pretrained,0.9769331095982161,0,DBPedia
2,,0.3226900683631021,pretrained,0.9938377903656437,1.0,0.1,pretrained,1.0,0,FEVER
2,,0.19532049726118464,pretrained,0.9976054130344598,0.9763884649059846,0.1,pretrained,0.9538662191964322,0,FiQA2018
2,,0.23806154251895598,pretrained,0.996526971066604,1.0,0.1,pretrained,1.0,0,HotpotQA
2,,0.3156167039894691,pretrained,1.0046815544445473,1.0,0.1,pretrained,1.0,0,MSMARCO
2,,0.004163344204930301,pretrained,1.138400192550441,0.9976392639223463,0.1,pretrained,0.6735053233989438,0,NFCorpus
2,,0.33567269349926065,pretrained,1.0008693819693488,1.0,0.1,pretrained,1.0,0,NQ
2,,0.4404479032364875,pretrained,0.9861830023617608,1.0,0.1,pretrained,1.0,0,QuoraRetrieval
2,,0.10497321539852748,pretrained,1.0239487818112636,0.9906532163930063,0.1,pretrained,0.8673169492769113,0,SCIDOCS
2,,0.25302320707189835,pretrained,0.9987576906323765,1.0,0.1,pretrained,0.9769331095982161,0,SciFact
2,,0.051328103592422326,pretrained,1.0852931338829614,0.9731118351960087,0.1,pretrained,0.8348157717261977,0,TRECCOVID
2,,0.24286925458424208,pretrained,0.9867560530721466,1.0,0.1,pretrained,1.0,0,Touche2020
3,,0.18706739825646115,pretrained,0.983295219343251,1.0,0.1,pretrained,1.0,0,ArguAna
3,,-0.003192386742203181,pretrained,1.7695529544571835,0.9973381540959179,0.1,pretrained,0.7176421764600622,0,ClimateFEVER
3,,0.2546841862050807,pretrained,1.0162509474959334,0.9769331095982161,0.1,pretrained,0.9769331095982161,0,DBPedia
3,,0.3181493244482896,pretrained,0.9798529691971297,1.0,0.1,pretrained,1.0,0,FEVER
