family,kind,seed,optimizer,learning_rate,run_id,stage,fraction,step,label,scorer,samples,candidates_per_sample,positive_score_mean,hardest_negative_score_mean,margin_mean,margin_median,margin_std,top1_accuracy,mean_reciprocal_rank,mean_candidate_score_std,reference_top_k,reference_mean_top_k_overlap,reference_top1_agreement,reference_score_drift_rms,token_evidence_entropy_mean,token_evidence_entropy_median,token_evidence_gini_mean,token_evidence_gini_median,document_token_coverage_mean,document_token_coverage_median,repeated_token_dominance_mean,repeated_token_dominance_median
dense,reference,,,,pretrained,0,0.0,0,dense/pretrained,cosine,224,8,0.37533465027809143,0.16479842364788055,0.21053621172904968,0.22910374402999878,0.1712830662727356,0.8705357313156128,0.9134725332260132,0.11879636347293854,,,,,,,,,,,,
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed161803/adamw-scale-matched/checkpoint-79,cosine,224,8,0.455430269241333,0.21099615097045898,0.24443408846855164,0.2643283009529114,0.19151988625526428,0.8839285969734192,0.9223958253860474,0.13276611268520355,3,0.8363095238095238,0.90625,0.0689794272184372,,,,,,,,
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,2,0.4,157,dense/seed161803/adamw-scale-matched/checkpoint-157,cosine,224,8,0.44941025972366333,0.20295587182044983,0.24645443260669708,0.2616755962371826,0.19667978584766388,0.8883928656578064,0.9257174134254456,0.13357485830783844,3,0.818452380952381,0.9196428656578064,0.06724101305007935,,,,,,,,
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,3,0.6,235,dense/seed161803/adamw-scale-matched/checkpoint-235,cosine,224,8,0.4559323489665985,0.2026658058166504,0.2532665431499481,0.27453306317329407,0.199066162109375,0.8839285969734192,0.9211786985397339,0.136339470744133,3,0.8229166666666667,0.9285714030265808,0.06819311529397964,,,,,,,,
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,4,0.8,313,dense/seed161803/adamw-scale-matched/checkpoint-313,cosine,224,8,0.4566229283809662,0.2009633630514145,0.2556595504283905,0.26930928230285645,0.200796440243721,0.8883928656578064,0.9250531196594238,0.138309046626091,3,0.8303571428571429,0.9330357313156128,0.06727958470582962,,,,,,,,
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,5,1.0,391,dense/seed161803/adamw-scale-matched/checkpoint-391,cosine,224,8,0.4498690962791443,0.19461970031261444,0.25524935126304626,0.26565611362457275,0.2000889778137207,0.8928571343421936,0.9271364212036133,0.13771213591098785,3,0.8288690476190476,0.9285714030265808,0.06307633966207504,,,,,,,,
dense,checkpoint,161803,muon,0.0018259740111827764,muon-scale-matched,1,0.2,79,dense/seed161803/muon-scale-matched/checkpoint-79,cosine,224,8,0.4523511230945587,0.20699813961982727,0.24535301327705383,0.2598046660423279,0.1940847933292389,0.8839285969734192,0.9222469925880432,0.1336633861064911,3,0.8333333333333333,0.9196428656578064,0.06890711933374405,,,,,,,,
dense,checkpoint,161803,muon,0.0018259740111827764,muon-scale-matched,2,0.4,157,dense/seed161803/muon-scale-matched/checkpoint-157,cosine,224,8,0.44389453530311584,0.20124955475330353,0.2426450103521347,0.25586581230163574,0.1941094696521759,0.8839285969734192,0.9224755167961121,0.1326940506696701,3,0.8169642857142857,0.9107142686843872,0.06741432845592499,,,,,,,,
dense,checkpoint,161803,muon,0.0018259740111827764,muon-scale-matched,3,0.6,235,dense/seed161803/muon-scale-matched/checkpoint-235,cosine,224,8,0.45966386795043945,0.21173794567584991,0.24792596697807312,0.2605275809764862,0.1977611631155014,0.8839285969734192,0.9233790040016174,0.1360548585653305,3,0.8080357142857143,0.9241071343421936,0.07599843293428421,,,,,,,,
dense,checkpoint,161803,muon,0.0018259740111827764,muon-scale-matched,4,0.8,313,dense/seed161803/muon-scale-matched/checkpoint-313,cosine,224,8,0.45746153593063354,0.21140943467617035,0.2460521012544632,0.2544839382171631,0.19836454093456268,0.8705357313156128,0.9143335223197937,0.13648010790348053,3,0.8154761904761905,0.90625,0.07592645287513733,,,,,,,,
dense,checkpoint,161803,muon,0.0018259740111827764,muon-scale-matched,5,1.0,391,dense/seed161803/muon-scale-matched/checkpoint-391,cosine,224,8,0.45199745893478394,0.2050664722919464,0.24693098664283752,0.2559811472892761,0.1984780877828598,0.875,0.9164859652519226,0.13628879189491272,3,0.8125,0.9017857313156128,0.07245227694511414,,,,,,,,
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,1,0.2,79,dense/seed161803/normuon-scale-matched/checkpoint-79,cosine,224,8,0.44774171710014343,0.19980590045452118,0.24793584644794464,0.26014840602874756,0.195187047123909,0.8928571343421936,0.9276041388511658,0.1339355707168579,3,0.8348214285714286,0.9151785969734192,0.06408383697271347,,,,,,,,
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,2,0.4,157,dense/seed161803/normuon-scale-matched/checkpoint-157,cosine,224,8,0.44708237051963806,0.20077016949653625,0.246312215924263,0.2640390396118164,0.1953042596578598,0.8839285969734192,0.9235916137695312,0.13360677659511566,3,0.8125,0.9107142686843872,0.06742490082979202,,,,,,,,
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,3,0.6,235,dense/seed161803/normuon-scale-matched/checkpoint-235,cosine,224,8,0.4589116871356964,0.20694555342197418,0.2519661784172058,0.2675984501838684,0.19937048852443695,0.8794642686843872,0.9218111634254456,0.1369730681180954,3,0.8125,0.9285714030265808,0.07206442207098007,,,,,,,,
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,4,0.8,313,dense/seed161803/normuon-scale-matched/checkpoint-313,cosine,224,8,0.456743985414505,0.2075187861919403,0.24922522902488708,0.25284814834594727,0.19946597516536713,0.875,0.9181334376335144,0.13733269274234772,3,0.8154761904761905,0.9196428656578064,0.07275274395942688,,,,,,,,
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,5,1.0,391,dense/seed161803/normuon-scale-matched/checkpoint-391,cosine,224,8,0.4527331292629242,0.20306967198848724,0.24966347217559814,0.2516375184059143,0.1992192566394806,0.8839285969734192,0.9212159514427185,0.13707521557807922,3,0.8095238095238095,0.9107142686843872,0.07034726440906525,,,,,,,,
dense,checkpoint,271828,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed271828/adamw-scale-matched/checkpoint-79,cosine,224,8,0.45053258538246155,0.20708930492401123,0.2434432953596115,0.25082966685295105,0.19509457051753998,0.8883928656578064,0.9244154095649719,0.1317511796951294,3,0.849702380952381,0.9151785969734192,0.06715850532054901,,,,,,,,
dense,checkpoint,271828,adamw,0.00015409498859627469,adamw-scale-matched,2,0.4,157,dense/seed271828/adamw-scale-matched/checkpoint-157,cosine,224,8,0.45646706223487854,0.20752283930778503,0.2489442527294159,0.2703908681869507,0.19387109577655792,0.8883928656578064,0.926939845085144,0.1349492222070694,3,0.837797619047619,0.9107142686843872,0.06807208806276321,,,,,,,,
dense,checkpoint,271828,adamw,0.00015409498859627469,adamw-scale-matched,3,0.6,235,dense/seed271828/adamw-scale-matched/checkpoint-235,cosine,224,8,0.46148839592933655,0.210806742310524,0.25068163871765137,0.27022361755371094,0.19616906344890594,0.8839285969734192,0.9226189851760864,0.13671815395355225,3,0.837797619047619,0.9107142686843872,0.07293938845396042,,,,,,,,
dense,checkpoint,271828,adamw,0.00015409498859627469,adamw-scale-matched,4,0.8,313,dense/seed271828/adamw-scale-matched/checkpoint-313,cosine,224,8,0.44995489716529846,0.19688773155212402,0.25306713581085205,0.2685801684856415,0.1993819624185562,0.8839285969734192,0.9211043119430542,0.13628806173801422,3,0.818452380952381,0.90625,0.06520213931798935,,,,,,,,
dense,checkpoint,271828,adamw,0.00015409498859627469,adamw-scale-matched,5,1.0,391,dense/seed271828/adamw-scale-matched/checkpoint-391,cosine,224,8,0.4549267888069153,0.19772258400917053,0.25720420479774475,0.2750850319862366,0.20127974450588226,0.8883928656578064,0.9237084984779358,0.13803710043430328,3,0.8273809523809524,0.9151785969734192,0.06676330417394638,,,,,,,,
dense,checkpoint,271828,muon,0.0018259740111827764,muon-scale-matched,1,0.2,79,dense/seed271828/muon-scale-matched/checkpoint-79,cosine,224,8,0.44937747716903687,0.20663902163505554,0.24273847043514252,0.25326159596443176,0.19475694000720978,0.8928571343421936,0.9263817667961121,0.13181312382221222,3,0.8273809523809524,0.9151785969734192,0.06976031512022018,,,,,,,,
dense,checkpoint,271828,muon,0.0018259740111827764,muon-scale-matched,2,0.4,157,dense/seed271828/muon-scale-matched/checkpoint-157,cosine,224,8,0.46057185530662537,0.21548117697238922,0.24509069323539734,0.25982666015625,0.19432944059371948,0.8973214030265808,0.9292888641357422,0.1339200735092163,3,0.8035714285714286,0.9017857313156128,0.07757889479398727,,,,,,,,
dense,checkpoint,271828,muon,0.0018259740111827764,muon-scale-matched,3,0.6,235,dense/seed271828/muon-scale-matched/checkpoint-235,cosine,224,8,0.46129536628723145,0.21294382214546204,0.2483515441417694,0.26188671588897705,0.19653791189193726,0.8839285969734192,0.9240805506706238,0.13727080821990967,3,0.7976190476190476,0.9107142686843872,0.07743825018405914,,,,,,,,
dense,checkpoint,271828,muon,0.0018259740111827764,muon-scale-matched,4,0.8,313,dense/seed271828/muon-scale-matched/checkpoint-313,cosine,224,8,0.44862285256385803,0.20054101943969727,0.24808178842067719,0.25252074003219604,0.19833001494407654,0.8883928656578064,0.9230442047119141,0.1358841508626938,3,0.8005952380952381,0.9196428656578064,0.07183679193258286,,,,,,,,
dense,checkpoint,271828,muon,0.0018259740111827764,muon-scale-matched,5,1.0,391,dense/seed271828/muon-scale-matched/checkpoint-391,cosine,224,8,0.4580647051334381,0.20384545624256134,0.2542192339897156,0.2618437111377716,0.20166979730129242,0.8839285969734192,0.9196162819862366,0.13824363052845,3,0.8035714285714286,0.9196428656578064,0.07411148399114609,,,,,,,,
dense,checkpoint,271828,normuon,0.0018260319582594357,normuon-scale-matched,1,0.2,79,dense/seed271828/normuon-scale-matched/checkpoint-79,cosine,224,8,0.4470796585083008,0.20211122930049896,0.244968444108963,0.24983978271484375,0.19639243185520172,0.8839285969734192,0.9221407175064087,0.13261248171329498,3,0.8318452380952381,0.9196428656578064,0.06714863330125809,,,,,,,,
dense,checkpoint,271828,normuon,0.0018260319582594357,normuon-scale-matched,2,0.4,157,dense/seed271828/normuon-scale-matched/checkpoint-157,cosine,224,8,0.45215895771980286,0.20245902240276337,0.2496999204158783,0.26700860261917114,0.1961565911769867,0.8883928656578064,0.925239086151123,0.1346236616373062,3,0.8125,0.8928571343421936,0.06823239475488663,,,,,,,,
dense,checkpoint,271828,normuon,0.0018260319582594357,normuon-scale-matched,3,0.6,235,dense/seed271828/normuon-scale-matched/checkpoint-235,cosine,224,8,0.4596695899963379,0.20699679851531982,0.25267282128334045,0.26800310611724854,0.19817636907100677,0.8928571343421936,0.9272693991661072,0.13806885480880737,3,0.8110119047619048,0.9017857313156128,0.07387566566467285,,,,,,,,
dense,checkpoint,271828,normuon,0.0018260319582594357,normuon-scale-matched,4,0.8,313,dense/seed271828/normuon-scale-matched/checkpoint-313,cosine,224,8,0.44983747601509094,0.19787634909152985,0.2519611418247223,0.2613328695297241,0.1998862773180008,0.8883928656578064,0.921290397644043,0.13675829768180847,3,0.806547619047619,0.9107142686843872,0.06999284774065018,,,,,,,,
dense,checkpoint,271828,normuon,0.0018260319582594357,normuon-scale-matched,5,1.0,391,dense/seed271828/normuon-scale-matched/checkpoint-391,cosine,224,8,0.45774346590042114,0.2013162076473236,0.25642725825309753,0.2700358033180237,0.20239628851413727,0.8883928656578064,0.9219546914100647,0.13863421976566315,3,0.806547619047619,0.9151785969734192,0.07276315242052078,,,,,,,,
dense,checkpoint,314159,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed314159/adamw-scale-matched/checkpoint-79,cosine,224,8,0.4455108046531677,0.20131032168865204,0.24420049786567688,0.2556871771812439,0.1931559294462204,0.8839285969734192,0.9207748770713806,0.13226506114006042,3,0.8556547619047619,0.9285714030265808,0.06435089558362961,,,,,,,,
