family,kind,seed,optimizer,learning_rate,run_id,stage,fraction,step,label,scorer,representation_role,original_vectors,analyzed_vectors,sampled,dimension,mean_norm,norm_cv,mean_pairwise_cosine,covariance_trace,entropy_effective_rank,normalized_effective_rank,stable_rank,leading_variance_fraction
dense,reference,,,,pretrained,0,0.0,0,dense/pretrained,cosine,documents,1792,1792,False,768,0.9999857544898987,0.0016051409766077995,0.08689533174037933,0.9130823612213135,158.18881225585938,0.20597501595815024,22.81383514404297,0.04383305087685585
dense,reference,,,,pretrained,0,0.0,0,dense/pretrained,cosine,queries,224,224,False,768,1.0001018047332764,0.0017622333252802491,0.05816509574651718,0.9420300126075745,145.32691955566406,0.6516902222227088,27.16706085205078,0.0368092842400074
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed161803/adamw-scale-matched/checkpoint-79,cosine,documents,1792,1792,False,768,1.0001211166381836,0.001783202402293682,0.07674803584814072,0.9234793782234192,162.8978729248047,0.21210660537083945,25.106103897094727,0.039830952882766724
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed161803/adamw-scale-matched/checkpoint-79,cosine,queries,224,224,False,768,1.00002121925354,0.0018096667481586337,0.0833260789513588,0.9167159795761108,150.3038787841797,0.6740084250411645,28.573974609375,0.0349968820810318
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,2,0.4,157,dense/seed161803/adamw-scale-matched/checkpoint-157,cosine,documents,1792,1792,False,768,1.0000604391098022,0.0017194697866216302,0.056318268179893494,0.9437934160232544,164.59132385253906,0.21431161959966025,26.845333099365234,0.037250421941280365
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,2,0.4,157,dense/seed161803/adamw-scale-matched/checkpoint-157,cosine,queries,224,224,False,768,0.999842643737793,0.001742775086313486,0.0775672197341919,0.9221484661102295,152.73153686523438,0.684894784149033,31.411422729492188,0.03183555230498314
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,3,0.6,235,dense/seed161803/adamw-scale-matched/checkpoint-235,cosine,documents,1792,1792,False,768,1.0000488758087158,0.0017104281578212976,0.05908966436982155,0.9410081505775452,163.32899475097656,0.21266796191533408,26.079124450683594,0.0383448451757431
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,3,0.6,235,dense/seed161803/adamw-scale-matched/checkpoint-235,cosine,queries,224,224,False,768,0.999882161617279,0.0017200554721057415,0.06901174038648605,0.9307682514190674,152.7389678955078,0.6849281071547435,31.576335906982422,0.03166928514838219
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,4,0.8,313,dense/seed161803/adamw-scale-matched/checkpoint-313,cosine,documents,1792,1792,False,768,1.0000349283218384,0.0016674573998898268,0.0490068681538105,0.9510653018951416,162.92645263671875,0.2121438185373942,27.811277389526367,0.03595663607120514
dense,checkpoint,161803,adamw,0.00015409498859627469,adamw-scale-matched,4,0.8,313,dense/seed161803/adamw-scale-matched/checkpoint-313,cosine,queries,224,224,False,768,0.9998636245727539,0.0017821646761149168,0.06718970090150833,0.9325594902038574,151.56871032714844,0.6796803153683787,31.081966400146484,0.032172996550798416
