run_id,optimizer,learning_rate,step,task,rotation_seed,baseline_shortlist_ndcg,baseline_margin,ndcg_degrading_coordinate_fraction,ndcg_degrading_attribution_mass,ndcg_helpful_attribution_mass,ndcg_helpful_mass_share,ndcg_absolute_attribution_participation_ratio,ndcg_helpful_attribution_participation_ratio,margin_degrading_coordinate_fraction,margin_degrading_attribution_mass,margin_helpful_attribution_mass,margin_helpful_mass_share,margin_absolute_attribution_participation_ratio,margin_helpful_attribution_participation_ratio
pretrained,pretrained,,0,ArguAna,314159,1.0,0.190245406035234,0.0,0.0,0.0,0.0,0.0,0.0,0.4934895833333333,0.10276132794021703,0.10818774903337694,0.5128619218699857,0.5831564132144994,0.30276759405165493
pretrained,pretrained,,0,ClimateFEVER,314159,0.7195575277179698,-0.0018040638243038074,0.06380208333333333,0.34207374086221376,0.16877486386680826,0.33038137386385613,0.06745350017357035,0.09900205400249884,0.4661458333333333,0.09666212738987803,0.11526401186301014,0.5438876594900235,0.571133064924206,0.31969783073245833
pretrained,pretrained,,0,DBPedia,314159,1.0,0.25061151164321527,0.0,0.0,1.7069498897320088,1.0,0.09635416666666667,0.09635416666666667,0.4986979166666667,0.10294052033154713,0.10453695850469304,0.5038472565362286,0.5777328526313945,0.28671399020086347
pretrained,pretrained,,0,FEVER,314159,1.0,0.32469088167783666,0.0,0.0,0.0,0.0,0.0,0.0,0.4869791666666667,0.09520250329288435,0.10544266697657456,0.5255180916389317,0.6018842852194992,0.3055078712069056
pretrained,pretrained,,0,FiQA2018,314159,0.9769331095982161,0.19578933181343763,0.0,0.0,0.023066890401783904,1.0,0.0013020833333333333,0.0013020833333333333,0.4609375,0.10551192742283469,0.11896223875652696,0.5299595974953863,0.6061194031369737,0.3328875769127948
pretrained,pretrained,,0,HotpotQA,314159,1.0,0.23889121868471813,0.0,0.0,0.0,0.0,0.0,0.0,0.5052083333333334,0.11039171853493983,0.11877820841850867,0.5182975357959433,0.6039525853860956,0.3063670301440355
pretrained,pretrained,,0,MSMARCO,314159,1.0,0.31414601244644247,0.0,0.0,0.0,0.0,0.0,0.0,0.4856770833333333,0.09654162265712349,0.12112359899463243,0.5564673955512236,0.5854911103289046,0.29441227436863265
pretrained,pretrained,,0,NFCorpus,314159,0.6750990540919285,0.003657188607013663,0.3841145833333333,1.0595270081763153,0.13818860148369605,0.11537680595389657,0.25923718797045475,0.1427784532539866,0.4270833333333333,0.09917580259008305,0.13645888730783926,0.579112045713446,0.597189335539352,0.33868413515532486
pretrained,pretrained,,0,NQ,314159,1.0,0.3353811193030178,0.0,0.0,0.0,0.0,0.0,0.0,0.4518229166666667,0.10748263741019133,0.13108512596087205,0.5494670533377343,0.5818741668781586,0.3251477693188866
pretrained,pretrained,,0,QuoraRetrieval,314159,1.0,0.4466188344539674,0.0,0.0,0.0,0.0,0.0,0.0,0.5286458333333334,0.10432579759220527,0.10450107772048338,0.5004196780898428,0.5773314414013416,0.27308616072389447
pretrained,pretrained,,0,SCIDOCS,314159,0.8755000588751274,0.10251803355201104,0.013020833333333334,0.23066890401783907,0.17194683261474364,0.42707429682923237,0.03201053621403738,0.03024456797775718,0.4986979166666667,0.1087082301953185,0.11758669405262212,0.5196170194422388,0.6034069163774364,0.3109200537427348
pretrained,pretrained,,0,SciFact,314159,0.9769331095982161,0.2533379311181634,0.0,0.0,0.0,0.0,0.0,0.0,0.4296875,0.08577801163327037,0.13197195007087004,0.6060710598433169,0.599593052752847,0.3464108871244388
pretrained,pretrained,,0,TRECCOVID,314159,0.8578826621279816,0.04729423041485797,0.1953125,1.2274664397324144,0.06509921692708967,0.05036434055917248,0.20390055520019792,0.008835282473939944,0.51171875,0.09557590119921394,0.09592392241221231,0.5009086724113766,0.5777267046143826,0.28298653065127166
pretrained,pretrained,,0,Touche2020,314159,1.0,0.2461289738791541,0.0,0.0,0.0,0.0,0.0,0.0,0.4986979166666667,0.11012909490091016,0.11184430904858167,0.5038635577892516,0.5515305298070572,0.2919577703574442
adamw-lr1e-5,adamw,1e-05,3907,ArguAna,314159,1.0,0.23761831651894583,0.0,0.0,0.0,0.0,0.0,0.0,0.49609375,0.09726769140177838,0.09828122717742381,0.5025915146527259,0.5829483479977854,0.30444565849705973
adamw-lr1e-5,adamw,1e-05,3907,ClimateFEVER,314159,0.7793239117743919,0.010004441116493182,0.033854166666666664,0.06237491334671759,4.499063328758407,0.9863256038915631,0.2614256916480643,0.25481393718672574,0.4778645833333333,0.0972873212898124,0.10876012052535383,0.5278401884888069,0.5976707465245233,0.3199663502134783
adamw-lr1e-5,adamw,1e-05,3907,DBPedia,314159,1.0,0.3025185209587925,0.0,0.0,0.0,0.0,0.0,0.0,0.4921875,0.09879898165047896,0.11962832636967245,0.547680266968432,0.6074322212089398,0.31436159589810836
adamw-lr1e-5,adamw,1e-05,3907,FEVER,314159,1.0,0.4079774507251227,0.0,0.0,0.0,0.0,0.0,0.0,0.5065104166666666,0.11171944103485466,0.11295965498315957,0.5027599673718767,0.6062250011233532,0.3020066850223589
adamw-lr1e-5,adamw,1e-05,3907,FiQA2018,314159,0.9769331095982161,0.21995176246032977,0.0,0.0,0.0,0.0,0.0,0.0,0.4817708333333333,0.11514964987259865,0.11640196791298599,0.5027041876285809,0.590009271619531,0.3046459348381478
adamw-lr1e-5,adamw,1e-05,3907,HotpotQA,314159,1.0,0.3035133675407067,0.0,0.0,0.0,0.0,0.0,0.0,0.4973958333333333,0.11848454682629794,0.11863042944574512,0.5003076200030482,0.5921407176036877,0.2879817919109203
adamw-lr1e-5,adamw,1e-05,3907,MSMARCO,314159,1.0,0.43828234840394775,0.0,0.0,0.0,0.0,0.0,0.0,0.5234375,0.10453292553451779,0.10484341820657002,0.5007414702790784,0.6239210162592322,0.2909038203678656
adamw-lr1e-5,adamw,1e-05,3907,NFCorpus,314159,0.7190574688428424,0.0023674469375795457,0.06770833333333333,0.11402562480046219,0.0019153512579074654,0.01652005462627118,0.03161929443161458,0.0013020833333333335,0.4322916666666667,0.09456640239756768,0.12655244039556987,0.5723277075665729,0.6155178339676318,0.35009747163625127
adamw-lr1e-5,adamw,1e-05,3907,NQ,314159,1.0,0.42282935873118294,0.0,0.0,0.0,0.0,0.0,0.0,0.4869791666666667,0.11562922292837391,0.12528955807928427,0.5200489457702413,0.5852923335324548,0.2989144600699494
adamw-lr1e-5,adamw,1e-05,3907,QuoraRetrieval,314159,1.0,0.48020993522344535,0.0,0.0,0.0,0.0,0.0,0.0,0.51171875,0.09900045827251613,0.09917297486316638,0.500435266695239,0.5885513029704382,0.2889808939115036
adamw-lr1e-5,adamw,1e-05,3907,SCIDOCS,314159,0.86024524972907,0.10061687950176726,0.0,0.0,0.11465299055558197,1.0,0.07637360774731604,0.07637360774731604,0.4921875,0.11257537982328641,0.11502920007975612,0.5053905335681624,0.5682002313043639,0.2809086168347828
adamw-lr1e-5,adamw,1e-05,3907,SciFact,314159,1.0,0.2666458623867233,0.0,0.0,0.0,0.0,0.0,0.0,0.51171875,0.11240153759934224,0.11251990777330081,0.5002631367003766,0.5947021861211831,0.284994105904246
adamw-lr1e-5,adamw,1e-05,3907,TRECCOVID,314159,0.9110827739955403,0.078767618424719,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.10897130959232337,0.10983914937321078,0.5019830856920421,0.5862970900098805,0.28945950561086403
adamw-lr1e-5,adamw,1e-05,3907,Touche2020,314159,1.0,0.303127359516409,0.0,0.0,0.0,0.0,0.0,0.0,0.4427083333333333,0.09408735319945036,0.12905277523051117,0.5783485746761046,0.5705401639447369,0.3410961866483416
adamw-lr1e-6,adamw,1e-06,3907,ArguAna,314159,1.0,0.2152762689587504,0.0,0.0,0.0,0.0,0.0,0.0,0.484375,0.09693324046335727,0.10322649484410835,0.5157205802932443,0.5958441341448802,0.3218366274429771
adamw-lr1e-6,adamw,1e-06,3907,ClimateFEVER,314159,0.7535465121453979,0.008921090412235934,0.09375,0.3119554886697312,0.9448998276095791,0.7517968181148978,0.23417445219733432,0.15642589730830975,0.5078125,0.1049629495325391,0.10577029165471241,0.501915554749751,0.5849057834907673,0.2997737705609947
adamw-lr1e-6,adamw,1e-06,3907,DBPedia,314159,1.0,0.2727415121090463,0.0,0.0,2.3297559305801743,1.0,0.13151041666666669,0.13151041666666669,0.4895833333333333,0.09273931883631269,0.10941689097538834,0.5412492204780898,0.5680010440994965,0.2926341871198101
adamw-lr1e-6,adamw,1e-06,3907,FEVER,314159,1.0,0.3575518066985848,0.0,0.0,0.0,0.0,0.0,0.0,0.4791666666666667,0.09959613057232355,0.12013851649968624,0.5467436205466284,0.6019321840440774,0.3100918839489966
adamw-lr1e-6,adamw,1e-06,3907,FiQA2018,314159,0.9769331095982161,0.20769165837818435,0.0,0.0,0.0,0.0,0.0,0.0,0.4401041666666667,0.09665102106006149,0.13229518864515297,0.5778439783540991,0.6169620365321212,0.3655348084748482
adamw-lr1e-6,adamw,1e-06,3907,HotpotQA,314159,1.0,0.2751012765126798,0.0,0.0,0.0,0.0,0.0,0.0,0.4986979166666667,0.11584042083890483,0.11935600385725964,0.5074737169642276,0.5992802719364476,0.3009932627832884
adamw-lr1e-6,adamw,1e-06,3907,MSMARCO,314159,1.0,0.36484241860595235,0.0,0.0,0.0,0.0,0.0,0.0,0.5104166666666666,0.1077866145106306,0.10811247770728484,0.5007546655090271,0.6147998787882453,0.28884850293846676
adamw-lr1e-6,adamw,1e-06,3907,NFCorpus,314159,0.6971073569752838,0.006184358983424119,0.109375,1.9118746964468696,1.0832841395484059,0.3616783612707592,0.2096539137346805,0.17494351168135497,0.4700520833333333,0.10714635627046107,0.12903877275788644,0.546345882523361,0.6061570846636474,0.3198524365538714
adamw-lr1e-6,adamw,1e-06,3907,NQ,314159,1.0,0.3706797588688999,0.0,0.0,0.0,0.0,0.0,0.0,0.4856770833333333,0.11785870684427703,0.12512411341150964,0.5149504532040255,0.5794926860868239,0.30065049842906677
adamw-lr1e-6,adamw,1e-06,3907,QuoraRetrieval,314159,1.0,0.47407457397786607,0.0,0.0,0.0,0.0,0.0,0.0,0.5091145833333334,0.10362098337451853,0.10382035387350519,0.5004805466972774,0.5879380439177175,0.28534856876316095
adamw-lr1e-6,adamw,1e-06,3907,SCIDOCS,314159,0.8575062653016419,0.09699830605087034,0.07552083333333333,0.21951910847661749,0.0,0.0,0.060905388474084644,0.0,0.4908854166666667,0.11202391273613224,0.11559914384989059,0.5078534028304975,0.5843780574385546,0.29463050977296473
adamw-lr1e-6,adamw,1e-06,3907,SciFact,314159,0.9769331095982161,0.2643275495207435,0.0,0.0,0.0,0.0,0.0,0.0,0.48046875,0.0974658607299155,0.12781503798955746,0.5673585231418882,0.5970865106583839,0.31471398014502927
adamw-lr1e-6,adamw,1e-06,3907,TRECCOVID,314159,0.8880158835937564,0.06105947625426771,0.0,0.0,0.0,0.0,0.0,0.0,0.5013020833333334,0.09782740800930415,0.10271615178703883,0.5121887329184226,0.5801671336870645,0.286163529762051
adamw-lr1e-6,adamw,1e-06,3907,Touche2020,314159,1.0,0.26710545196905366,0.0,0.0,0.0,0.0,0.0,0.0,0.4609375,0.10065936813450324,0.13168746805651033,0.5667710833309965,0.5685348918808628,0.32066610528986195
adamw-lr3e-5,adamw,3e-05,3907,ArguAna,314159,1.0,0.25184292530254504,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.09538294744467152,0.09843091890909283,0.5078631408623209,0.581283286469552,0.3033114810984215
adamw-lr3e-5,adamw,3e-05,3907,ClimateFEVER,314159,0.7288574158504111,0.009529573020564206,0.46875,7.6727194042257985,0.16869478737424426,0.02151331166193914,0.456828354494206,0.06769238334601953,0.5,0.1034614031550977,0.10366211567310546,0.5004845237256089,0.5843544553482249,0.3061923723893588
adamw-lr3e-5,adamw,3e-05,3907,DBPedia,314159,1.0,0.305074738480333,0.0,0.0,0.0,0.0,0.0,0.0,0.5143229166666666,0.10465252940509864,0.11354456883041278,0.5203761633340249,0.5888883014699747,0.2890460595260871
adamw-lr3e-5,adamw,3e-05,3907,FEVER,314159,1.0,0.43043617659186906,0.0,0.0,0.0,0.0,0.0,0.0,0.5052083333333334,0.10869234615355931,0.11161945899159495,0.5066431139178109,0.5731939113505492,0.29732033304838534
adamw-lr3e-5,adamw,3e-05,3907,FiQA2018,314159,0.9769331095982161,0.2321785917418889,0.0013020833333333333,0.023066890401783904,0.0,0.0,0.0013020833333333333,0.0,0.4661458333333333,0.10855561917090992,0.12386796538766624,0.532940603351071,0.5887581815394831,0.3151458382623074
adamw-lr3e-5,adamw,3e-05,3907,HotpotQA,314159,1.0,0.30448935177370684,0.0,0.0,0.0,0.0,0.0,0.0,0.48046875,0.10629088010719102,0.13222510144655636,0.5543657937938244,0.5713777279974156,0.2937473234712809
adamw-lr3e-5,adamw,3e-05,3907,MSMARCO,314159,1.0,0.4520146318634445,0.0,0.0,0.0,0.0,0.0,0.0,0.5143229166666666,0.09890275936258379,0.11538820995350944,0.5384651080807062,0.6324038676304653,0.3094942320070806
adamw-lr3e-5,adamw,3e-05,3907,NFCorpus,314159,0.7201742473770677,0.003538112957739009,0.005208333333333333,0.01859977626488276,0.41913781123481275,0.9575093005580753,0.14951905403594393,0.1492875838799345,0.4817708333333333,0.10916749749187175,0.11111947374631115,0.5044305304200875,0.624277360228035,0.32966046636694035
adamw-lr3e-5,adamw,3e-05,3907,NQ,314159,1.0,0.44011599645729066,0.0,0.0,0.0,0.0,0.0,0.0,0.4778645833333333,0.10658532575770507,0.12693998782354177,0.5435812755235955,0.5753259029481878,0.29859971338183966
adamw-lr3e-5,adamw,3e-05,3907,QuoraRetrieval,314159,1.0,0.4923807934792563,0.0,0.0,0.0,0.0,0.0,0.0,0.515625,0.09756943947546864,0.10194658330471584,0.5109694042820553,0.5938366276394098,0.29216764434039727
adamw-lr3e-5,adamw,3e-05,3907,SCIDOCS,314159,0.86024524972907,0.10661192631228385,0.0,0.0,0.0,0.0,0.0,0.0,0.5026041666666666,0.11220098243285419,0.1150809695115404,0.5063357144156145,0.5752355511381305,0.28407585408171165
adamw-lr3e-5,adamw,3e-05,3907,SciFact,314159,1.0,0.2721876961451378,0.0,0.0,0.0,0.0,0.0,0.0,0.4752604166666667,0.10255531010836741,0.12405501069405832,0.5474376023774218,0.584056047574441,0.2990649438151092
adamw-lr3e-5,adamw,3e-05,3907,TRECCOVID,314159,0.9110827739955403,0.08429572419985758,0.3125,5.536053696428137,0.0,0.0,0.31249999999999994,0.0,0.4947916666666667,0.10119742293124015,0.105875441372692,0.5112955853901399,0.6032222210229072,0.30555120276160774
adamw-lr3e-5,adamw,3e-05,3907,Touche2020,314159,1.0,0.31726568126699317,0.0,0.0,0.0,0.0,0.0,0.0,0.4856770833333333,0.10833209386263157,0.1150915645362042,0.5151270253159723,0.5666252163726121,0.3089201445042886
adamw-lr3e-6,adamw,3e-06,3907,ArguAna,314159,1.0,0.22768943979659975,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.09280617838753928,0.09691279898572704,0.5108229041054446,0.5870064596247869,0.30125828566627666
adamw-lr3e-6,adamw,3e-06,3907,ClimateFEVER,314159,0.775309402464522,0.009698557332435197,0.016927083333333332,0.10209157719405508,1.133947139130373,0.9174042237951562,0.23475360198531492,0.21835644657448183,0.4674479166666667,0.09786190707118708,0.11240913181932215,0.5345916033536838,0.6065798473388722,0.32993251065475376
adamw-lr3e-6,adamw,3e-06,3907,DBPedia,314159,1.0,0.2895455925112004,0.0,0.0,0.0,0.0,0.0,0.0,0.5091145833333334,0.10070526510262728,0.10719315429189255,0.5156035077326718,0.5981440801729977,0.2955797800146959
adamw-lr3e-6,adamw,3e-06,3907,FEVER,314159,1.0,0.3793596290357674,0.0,0.0,0.0,0.0,0.0,0.0,0.4908854166666667,0.10964304393143354,0.11222912452978735,0.505827861638279,0.6169070690844579,0.29986645248894855
adamw-lr3e-6,adamw,3e-06,3907,FiQA2018,314159,0.9769331095982161,0.21036621135236283,0.0,0.0,0.0,0.0,0.0,0.0,0.4713541666666667,0.11132978626429058,0.11798976565384611,0.5145211765282296,0.5939794556322266,0.32041562201903656
adamw-lr3e-6,adamw,3e-06,3907,HotpotQA,314159,1.0,0.2920401964913448,0.0,0.0,0.0,0.0,0.0,0.0,0.4765625,0.11520461381136562,0.11942614448772346,0.5089961152300768,0.5949551862830637,0.2973440911757751
adamw-lr3e-6,adamw,3e-06,3907,MSMARCO,314159,1.0,0.4058690004754013,0.0,0.0,0.0,0.0,0.0,0.0,0.5078125,0.10413502605239283,0.11122291624467912,0.5164560687121281,0.6300309650196546,0.2985614175092293
adamw-lr3e-6,adamw,3e-06,3907,NFCorpus,314159,0.7201742473770677,0.00802213015629563,0.2864583333333333,4.822042504517497,0.22370156774538802,0.044334703572284764,0.2978771597219861,0.04958901076691243,0.4231770833333333,0.09055805348053178,0.1386958667821182,0.6049879828585619,0.6058448557597552,0.35046365895262527
adamw-lr3e-6,adamw,3e-06,3907,NQ,314159,1.0,0.39917161160907894,0.0,0.0,0.0,0.0,0.0,0.0,0.4856770833333333,0.12388380402975241,0.12822802307372178,0.5086156589595189,0.5802561107292546,0.2996964771027605
adamw-lr3e-6,adamw,3e-06,3907,QuoraRetrieval,314159,1.0,0.4813148928629344,0.0,0.0,0.0,0.0,0.0,0.0,0.515625,0.10078692970778327,0.1015635789053011,0.501919069052114,0.5884529473369213,0.286680719565363
adamw-lr3e-6,adamw,3e-06,3907,SCIDOCS,314159,0.8555909140437343,0.09770186652132042,0.04296875,0.07994733982022731,0.0,0.0,0.040750765852528736,0.0,0.4765625,0.10751405749308814,0.11995907962510532,0.5273549270249674,0.5748738093698698,0.29884583467722536
