run_id,optimizer,learning_rate,step,task,rotation_seed,baseline_shortlist_ndcg,baseline_margin,ndcg_degrading_coordinate_fraction,ndcg_degrading_attribution_mass,ndcg_helpful_attribution_mass,ndcg_helpful_mass_share,ndcg_absolute_attribution_participation_ratio,ndcg_helpful_attribution_participation_ratio,margin_degrading_coordinate_fraction,margin_degrading_attribution_mass,margin_helpful_attribution_mass,margin_helpful_mass_share,margin_absolute_attribution_participation_ratio,margin_helpful_attribution_participation_ratio
pretrained,pretrained,,0,ArguAna,,1.0,0.19024540603523388,0.0,0.0,0.0,0.0,0.0,0.0,0.4713541666666667,0.09912036345829833,0.106148688777215,0.5171197880108415,0.49277001807562437,0.3165581670571058
pretrained,pretrained,,0,ClimateFEVER,,0.7195575277179698,-0.0018040638243038438,0.06380208333333333,0.32916684009391484,0.1521004627134232,0.31604154661284434,0.0550634437179698,0.08749481238551984,0.4375,0.10517730443601833,0.1247441488684472,0.5425511498627276,0.5330678542449274,0.2996851192469108
pretrained,pretrained,,0,DBPedia,,1.0,0.25061151164321527,0.0,0.0,1.4762809857141699,1.0,0.08333333333333333,0.08333333333333333,0.4908854166666667,0.10662737174365926,0.10805776319361954,0.5033313704984236,0.5890669188067468,0.283753017451028
pretrained,pretrained,,0,FEVER,,1.0,0.32469088167783666,0.0,0.0,0.0,0.0,0.0,0.0,0.515625,0.10717535247381327,0.11703680303382281,0.5219913379309931,0.5574127907832107,0.28158431563953656
pretrained,pretrained,,0,FiQA2018,,0.9769331095982161,0.19578933181343763,0.0,0.0,0.04613378080356781,1.0,0.0026041666666666665,0.0026041666666666665,0.4856770833333333,0.10415085019355837,0.11707532376525628,0.5292109955626318,0.5948691821962728,0.3089775002790617
pretrained,pretrained,,0,HotpotQA,,1.0,0.23889121868471813,0.0,0.0,0.0,0.0,0.0,0.0,0.4817708333333333,0.10110484623606725,0.11063187003233699,0.5224973352854707,0.6009208525171774,0.3133050325826017
pretrained,pretrained,,0,MSMARCO,,1.0,0.31414601244644247,0.0,0.0,0.0,0.0,0.0,0.0,0.4856770833333333,0.09427898923609565,0.1161751171335651,0.5520211467364031,0.5818257337495892,0.3057000880756799
pretrained,pretrained,,0,NFCorpus,,0.6750990540919285,0.0036571886070136932,0.3424479166666667,0.9253774527558555,0.1374285278138223,0.1293072586401507,0.23707214790543804,0.13105025774347598,0.4544270833333333,0.09738367179203426,0.13506114734256344,0.5810460643752011,0.573092766879939,0.30813449088776285
pretrained,pretrained,,0,NQ,,1.0,0.3353811193030178,0.0,0.0,0.0,0.0,0.0,0.0,0.45703125,0.10974140324509479,0.12975824491959215,0.5417888749062654,0.5326157693825305,0.30231800311631574
pretrained,pretrained,,0,QuoraRetrieval,,1.0,0.44661883445396733,0.0,0.0,0.0,0.0,0.0,0.0,0.4973958333333333,0.10440083571727282,0.10454517151991369,0.5003453901908664,0.5845134167100445,0.3087899575240575
pretrained,pretrained,,0,SCIDOCS,,0.8755000588751274,0.10251803355201097,0.005208333333333333,0.09226756160713562,0.16917400450324688,0.6470815143136819,0.025885986055381303,0.028450957828027378,0.4921875,0.10526034370813037,0.11518433027283531,0.5225090186700583,0.5581424976047914,0.2804404551052188
pretrained,pretrained,,0,SciFact,,0.9769331095982161,0.25333793111816344,0.0,0.0,0.0,0.0,0.0,0.0,0.4440104166666667,0.09327213372401821,0.14011782527985417,0.6003592694299644,0.5515404425537843,0.3294868561893405
pretrained,pretrained,,0,TRECCOVID,,0.8578826621279816,0.04729423041485794,0.20182291666666666,1.2683819877234948,0.08183109598216096,0.0606060606060606,0.21484375,0.013020833333333332,0.4986979166666667,0.09946349108028932,0.10008196320817836,0.5015497023725607,0.5833784096096563,0.2804913230700371
pretrained,pretrained,,0,Touche2020,,1.0,0.24612897387915417,0.0,0.0,0.0,0.0,0.0,0.0,0.5013020833333334,0.10960347098459783,0.11170119843575683,0.5047394559198716,0.6053194928617875,0.3020501554043228
adamw-lr1e-5,adamw,1e-05,1563,ArguAna,,1.0,0.23580341521307788,0.0,0.0,0.0,0.0,0.0,0.0,0.4752604166666667,0.09624437736618188,0.10011328056207552,0.5098516738198904,0.5485015756607757,0.3199310557204016
adamw-lr1e-5,adamw,1e-05,1563,ClimateFEVER,,0.7514385708552056,0.009507054538750611,0.4036458333333333,5.192627458835009,0.18702697786379296,0.034765611818472326,0.3156329171639704,0.018354884757102907,0.4830729166666667,0.10779343354448319,0.1077525370839583,0.4999051328577248,0.5880861800294654,0.31746406714693737
