run_id,optimizer,learning_rate,step,tasks,baseline_shortlist_ndcg,baseline_margin,ndcg_degrading_coordinate_fraction,ndcg_degrading_attribution_mass,ndcg_helpful_attribution_mass,ndcg_helpful_mass_share,ndcg_absolute_attribution_participation_ratio,ndcg_helpful_attribution_participation_ratio,margin_degrading_coordinate_fraction,margin_degrading_attribution_mass,margin_helpful_attribution_mass,margin_helpful_mass_share,margin_absolute_attribution_participation_ratio,margin_helpful_attribution_participation_ratio,query_entropy_effective_rank,query_normalized_effective_rank,query_stable_rank,query_leading_variance_fraction,document_entropy_effective_rank,document_normalized_effective_rank,document_stable_rank,document_leading_variance_fraction
pretrained,pretrained,,0,14,0.9344218230006742,0.2105361864146261,0.04380580357142857,0.1867995601557429,0.14735348982359936,0.22521688429805267,0.04420020197705637,0.024711025806454037,0.4795386904761905,0.10262574485921057,0.11687997112735407,0.5315043499823057,0.5670382961411488,0.3015196058306414,145.32691801896615,0.6516902153316868,27.16705536191874,0.036809289290945534,158.18882122851764,0.20597502764129902,22.81384833143463,0.043833025690020254
adamw-lr1e-5,adamw,1e-05,1563,14,0.9440601301259262,0.24993578479665052,0.029668898809523805,0.37535171143421187,0.026441365655229004,0.18118852948120207,0.027241341551197222,0.00893755129217402,0.4849330357142857,0.10758632353225114,0.11692837180533368,0.5203951107490281,0.567179286272728,0.3051647577722739,150.3946121156581,0.6744153009670767,28.386125201105376,0.03522847845260188,167.24484485265234,0.21776672506855774,27.75855503566573,0.03602492992575242
adamw-lr1e-5,adamw,1e-05,2345,14,0.9465662780544737,0.2537778394685147,0.0006510416666666667,0.006217809199617735,0.20922276233174086,0.2724789927639063,0.04753433835168124,0.055848532497624385,0.490327380952381,0.1082221657450049,0.11587219312374882,0.5166887323828064,0.5730578401267318,0.3051582252889449,150.63438304480752,0.675490506927388,28.89367819396092,0.03460964690224211,167.9031726646257,0.21862392274039807,28.86446350955426,0.03464467647801581
adamw-lr1e-5,adamw,1e-05,3126,14,0.9460749130890769,0.2547937653066994,0.005115327380952381,0.016892066483333246,0.03875017395970811,0.1331055457492688,0.0084897805702862,0.005749818836274146,0.4906063988095238,0.10904434525141328,0.11503127327625728,0.5129944256407689,0.5719271510040892,0.3040231711938644,150.84962566846383,0.6764557204863849,28.901302439225688,0.03460051677957499,168.3361309815038,0.21918767054883306,29.370558843079017,0.034047700806198435
adamw-lr1e-5,adamw,1e-05,3907,14,0.9461887509957185,0.2553164763175832,0.007254464285714286,0.013943744617877004,0.31333676196003696,0.13579771666007376,0.025142436430896697,0.022179329637459094,0.4876302083333333,0.10766224116747655,0.11604292932524578,0.5184088449033732,0.5719865024804952,0.3065099668861083,150.81204898974633,0.6762872152006562,28.860206109157158,0.03464978719201546,167.66820940374743,0.21831798099446278,29.110181270879757,0.034352242285771876
adamw-lr1e-5,adamw,1e-05,782,14,0.9439219127530765,0.24361020824107493,0.01050967261904762,0.020767820305826825,0.026767670958505397,0.07142857142857142,0.013541376235799199,0.004431730454095858,0.4755394345238095,0.1041045506439249,0.11881004652075003,0.5331994249251226,0.5733871327130895,0.31253154642248776,150.36442912000544,0.6742799512107868,28.690444324740017,0.034854810496527985,168.23629270049594,0.21905767278710409,28.039089416683773,0.035664496273013116
adamw-lr1e-6,adamw,1e-06,1563,14,0.9392093447972955,0.22605390465776345,0.01329985119047619,0.04582511438191161,0.973411723701046,0.29193498308636284,0.0719603837934505,0.06810440998721483,0.4880022321428572,0.10632143850717464,0.11523875688925588,0.5197423641892297,0.5680972209377615,0.2993850678495796,148.87320720869667,0.6675928574381017,28.392939261854476,0.035220023921351686,166.80366209396897,0.21719226835152208,27.126485359430887,0.036864340763273135
adamw-lr1e-6,adamw,1e-06,2345,14,0.9382355874220915,0.22926690187456486,0.04352678571428571,0.20189566434856432,0.1439250549631854,0.12315041780584393,0.04596527276919931,0.016270658403998835,0.4870721726190476,0.10632511225508272,0.115857438373125,0.5212025974091664,0.5710360808593367,0.30061353596181356,149.42528371969752,0.6700685368596301,28.630079337114353,0.034928299996139334,167.6707688135221,0.21832131355927356,27.72536934898615,0.03606804971334197
adamw-lr1e-6,adamw,1e-06,3126,14,0.9409363662581639,0.23115804798274114,0.009765625,0.04595150962355199,0.5792320157104616,0.20705713492419722,0.06153869931653754,0.053717122910563735,0.482514880952381,0.10371931419583368,0.11738714840518831,0.5305433382527944,0.5738752979050256,0.30602795550841766,149.7006515650861,0.6713033702470229,28.74887214946925,0.034783973256441704,168.1355037707159,0.218926437201453,28.031872399803195,0.035673678366451925
adamw-lr1e-6,adamw,1e-06,3907,14,0.9392887312294651,0.23161110766432566,0.017764136904761904,0.1580735144663595,0.2913893615553719,0.1562337336499132,0.044496323451810815,0.0339368913635689,0.48279389880952384,0.10438802874413514,0.1175262608661363,0.5292064362176461,0.5742040131631467,0.3055009482099842,149.72828168350398,0.6714272721233362,28.675211328755523,0.03487332625155579,168.19206402183704,0.219000083361767,28.07123175588682,0.035623659435261155
adamw-lr1e-6,adamw,1e-06,782,14,0.9388067222827904,0.22023885976852148,0.033482142857142856,0.09529393433272558,0.187867825268696,0.21456886263153074,0.04819033599793034,0.018878354109768795,0.4816778273809523,0.10512456703346924,0.11619239225380171,0.5255129490807182,0.567072641421036,0.30067266953886385,147.46423500077336,0.661274596416024,27.769286487815748,0.03601100807681059,164.0050938725191,0.2135482993131759,25.530649991330055,0.03916860715804689
adamw-lr3e-5,adamw,3e-05,1563,14,0.9469077031590161,0.2576166919928406,0.013485863095238096,0.033755203313166775,0.0480837017690665,0.1087394622836207,0.009926503523502411,0.006868805186517184,0.4935825892857143,0.10752433604514046,0.11554170409847113,0.5179420366109759,0.5714810852695004,0.30447555091972384,150.92238652369926,0.6767820023484272,29.204155942043652,0.03424170183122306,165.0819302767197,0.2149504300478121,28.195623424910163,0.03546649722653494
adamw-lr3e-5,adamw,3e-05,2345,14,0.9477225481177758,0.26121074185735305,0.031436011904761904,0.03436871894872009,0.08933027594619038,0.15477785712115527,0.012297333428990588,0.00671452563600408,0.4925595238095238,0.1078131708672476,0.11529272366997309,0.5165748996478312,0.5799572911290172,0.306027193438393,151.6207092838623,0.6799134945464678,30.60226266101658,0.03267732229727816,166.46460300226536,0.21675078515919968,28.22745970263322,0.03542649641642086
