contrastive_loss_mean,fraction,label,mean_reciprocal_rank,operator,positive_margin_mean,positive_margin_p05,pretrained_top1_agreement,samples,seed,stage,state,step,top1_accuracy
0.5964289903640747,0.2,factorial-v3-adamw_state-adamw-seed314159/checkpoint-79,0.918175995349884,adamw,0.2549659013748169,-0.07260535657405853,0.9196428656578064,224,314159,1,adamw_state,79,0.8794642686843872
0.6317138671875,0.4,factorial-v3-adamw_state-adamw-seed314159/checkpoint-157,0.9200679063796997,adamw,0.258419007062912,-0.07438018172979355,0.9017857313156128,224,314159,2,adamw_state,157,0.8839285969734192
0.5898779034614563,0.6,factorial-v3-adamw_state-adamw-seed314159/checkpoint-235,0.9211363196372986,adamw,0.26081591844558716,-0.07390996068716049,0.8883928656578064,224,314159,3,adamw_state,235,0.8883928656578064
0.6055536866188049,0.8,factorial-v3-adamw_state-adamw-seed314159/checkpoint-313,0.9152635931968689,adamw,0.2586078643798828,-0.08302801847457886,0.9107142686843872,224,314159,4,adamw_state,313,0.875
0.6074351072311401,1.0,factorial-v3-adamw_state-adamw-seed314159/checkpoint-391,0.9167517423629761,adamw,0.256893128156662,-0.08223326504230499,0.90625,224,314159,5,adamw_state,391,0.8794642686843872
0.6208869814872742,0.2,factorial-v3-muon_state-muon-seed314159/checkpoint-79,0.9200733304023743,muon,0.2506601810455322,-0.08078046143054962,0.9196428656578064,224,314159,1,muon_state,79,0.8839285969734192
0.6703481078147888,0.4,factorial-v3-muon_state-muon-seed314159/checkpoint-157,0.9219972491264343,muon,0.2542686462402344,-0.08155082911252975,0.9151785969734192,224,314159,2,muon_state,157,0.8883928656578064
0.6264854073524475,0.6,factorial-v3-muon_state-muon-seed314159/checkpoint-235,0.921109676361084,muon,0.2561849057674408,-0.08933498710393906,0.9017857313156128,224,314159,3,muon_state,235,0.8839285969734192
0.6318159103393555,0.8,factorial-v3-muon_state-muon-seed314159/checkpoint-313,0.92482990026474,muon,0.25756147503852844,-0.09070602059364319,0.8973214030265808,224,314159,4,muon_state,313,0.8928571343421936
0.6287825703620911,1.0,factorial-v3-muon_state-muon-seed314159/checkpoint-391,0.9208067655563354,muon,0.2538701593875885,-0.08921556174755096,0.8973214030265808,224,314159,5,muon_state,391,0.8839285969734192
0.5928546786308289,0.2,factorial-v3-adamw_state-muon-seed271828/checkpoint-79,0.9165602922439575,muon,0.2498621791601181,-0.0754275768995285,0.8973214030265808,224,271828,1,adamw_state,79,0.875
0.5838258862495422,0.4,factorial-v3-adamw_state-muon-seed271828/checkpoint-157,0.9225286841392517,muon,0.25670745968818665,-0.07175960391759872,0.9017857313156128,224,271828,2,adamw_state,157,0.8839285969734192
0.621678352355957,0.6,factorial-v3-adamw_state-muon-seed271828/checkpoint-235,0.9171609282493591,muon,0.25752994418144226,-0.07748100161552429,0.9017857313156128,224,271828,3,adamw_state,235,0.875
0.609163761138916,0.8,factorial-v3-adamw_state-muon-seed271828/checkpoint-313,0.9194727540016174,muon,0.2557695508003235,-0.06639903783798218,0.9017857313156128,224,271828,4,adamw_state,313,0.8839285969734192
0.6073480248451233,1.0,factorial-v3-adamw_state-muon-seed271828/checkpoint-391,0.921481728553772,muon,0.2613164782524109,-0.06116105616092682,0.8973214030265808,224,271828,5,adamw_state,391,0.8883928656578064
0.5975033044815063,0.2,factorial-v3-muon_state-adamw-seed271828/checkpoint-79,0.9251965284347534,adamw,0.2538483738899231,-0.07779067009687424,0.9017857313156128,224,271828,1,muon_state,79,0.8928571343421936
0.6053543090820312,0.4,factorial-v3-muon_state-adamw-seed271828/checkpoint-157,0.9292888641357422,adamw,0.2603001594543457,-0.07865215837955475,0.9017857313156128,224,271828,2,muon_state,157,0.8973214030265808
0.6057485342025757,0.6,factorial-v3-muon_state-adamw-seed271828/checkpoint-235,0.9236288070678711,adamw,0.25714942812919617,-0.08012516796588898,0.8973214030265808,224,271828,3,muon_state,235,0.8883928656578064
0.5957639813423157,0.8,factorial-v3-muon_state-adamw-seed271828/checkpoint-313,0.9275084733963013,adamw,0.257284015417099,-0.08302274346351624,0.8928571343421936,224,271828,4,muon_state,313,0.8973214030265808
0.5858174562454224,1.0,factorial-v3-muon_state-adamw-seed271828/checkpoint-391,0.9252763390541077,adamw,0.26344338059425354,-0.07890081405639648,0.8928571343421936,224,271828,5,muon_state,391,0.8928571343421936
0.5734074711799622,0.2,factorial-v3-adamw_state-adamw-seed161803/checkpoint-79,0.9213966727256775,adamw,0.2558543384075165,-0.07929801195859909,0.9151785969734192,224,161803,1,adamw_state,79,0.8839285969734192
0.5687940120697021,0.4,factorial-v3-adamw_state-adamw-seed161803/checkpoint-157,0.9254516959190369,adamw,0.2520596385002136,-0.08004236966371536,0.9151785969734192,224,161803,2,adamw_state,157,0.8883928656578064
0.5771926641464233,0.6,factorial-v3-adamw_state-adamw-seed161803/checkpoint-235,0.9201369881629944,adamw,0.2619815170764923,-0.07560151815414429,0.9241071343421936,224,161803,3,adamw_state,235,0.8839285969734192
0.5838316679000854,0.8,factorial-v3-adamw_state-adamw-seed161803/checkpoint-313,0.9257173538208008,adamw,0.26217925548553467,-0.08172768354415894,0.9196428656578064,224,161803,4,adamw_state,313,0.8928571343421936
0.5764180421829224,1.0,factorial-v3-adamw_state-adamw-seed161803/checkpoint-391,0.9230070114135742,adamw,0.2614533007144928,-0.07455214858055115,0.9151785969734192,224,161803,5,adamw_state,391,0.8883928656578064
0.5981621742248535,0.2,factorial-v3-muon_state-muon-seed161803/checkpoint-79,0.9229963421821594,muon,0.25549599528312683,-0.08260883390903473,0.9151785969734192,224,161803,1,muon_state,79,0.8883928656578064
0.6151719093322754,0.4,factorial-v3-muon_state-muon-seed161803/checkpoint-157,0.9245217442512512,muon,0.2504751682281494,-0.09689111262559891,0.9151785969734192,224,161803,2,muon_state,157,0.8883928656578064
0.6091496348381042,0.6,factorial-v3-muon_state-muon-seed161803/checkpoint-235,0.9208811521530151,muon,0.2599402070045471,-0.07927056401968002,0.9151785969734192,224,161803,3,muon_state,235,0.8794642686843872
0.6283193826675415,0.8,factorial-v3-muon_state-muon-seed161803/checkpoint-313,0.9182769656181335,muon,0.25923484563827515,-0.08351875096559525,0.8928571343421936,224,161803,4,muon_state,313,0.8794642686843872
0.6218481659889221,1.0,factorial-v3-muon_state-muon-seed161803/checkpoint-391,0.9219280481338501,muon,0.2589508593082428,-0.07514134049415588,0.8928571343421936,224,161803,5,muon_state,391,0.8839285969734192
0.6328406929969788,0.2,factorial-v3-adamw_state-muon-seed314159/checkpoint-79,0.9151944518089294,muon,0.2512926161289215,-0.08529578894376755,0.9107142686843872,224,314159,1,adamw_state,79,0.875
0.6653667092323303,0.4,factorial-v3-adamw_state-muon-seed314159/checkpoint-157,0.9267538785934448,muon,0.2538873851299286,-0.08430615067481995,0.9107142686843872,224,314159,2,adamw_state,157,0.8973214030265808
0.6262402534484863,0.6,factorial-v3-adamw_state-muon-seed314159/checkpoint-235,0.9257599711418152,muon,0.2520737648010254,-0.07687194645404816,0.90625,224,314159,3,adamw_state,235,0.8928571343421936
0.641457200050354,0.8,factorial-v3-adamw_state-muon-seed314159/checkpoint-313,0.9232620596885681,muon,0.2563614845275879,-0.0753922164440155,0.8973214030265808,224,314159,4,adamw_state,313,0.8883928656578064
0.6383733153343201,1.0,factorial-v3-adamw_state-muon-seed314159/checkpoint-391,0.9233046174049377,muon,0.2508763372898102,-0.07931946963071823,0.8973214030265808,224,314159,5,adamw_state,391,0.8883928656578064
0.616854727268219,0.2,factorial-v3-muon_state-adamw-seed314159/checkpoint-79,0.9210299849510193,adamw,0.2543320059776306,-0.07990583777427673,0.9151785969734192,224,314159,1,muon_state,79,0.8839285969734192
0.6403380036354065,0.4,factorial-v3-muon_state-adamw-seed314159/checkpoint-157,0.9229272603988647,adamw,0.2590924799442291,-0.07642728090286255,0.9017857313156128,224,314159,2,muon_state,157,0.8883928656578064
0.6051465272903442,0.6,factorial-v3-muon_state-adamw-seed314159/checkpoint-235,0.9157791137695312,adamw,0.26223284006118774,-0.08001919835805893,0.8883928656578064,224,314159,3,muon_state,235,0.875
0.616969108581543,0.8,factorial-v3-muon_state-adamw-seed314159/checkpoint-313,0.9151148200035095,adamw,0.2608132064342499,-0.08470901101827621,0.9017857313156128,224,314159,4,muon_state,313,0.875
0.6187674403190613,1.0,factorial-v3-muon_state-adamw-seed314159/checkpoint-391,0.9128082394599915,adamw,0.2584521174430847,-0.09285369515419006,0.8973214030265808,224,314159,5,muon_state,391,0.8705357313156128
0.5798866152763367,0.2,factorial-v3-adamw_state-adamw-seed271828/checkpoint-79,0.9217686057090759,adamw,0.25431305170059204,-0.07170888781547546,0.9017857313156128,224,271828,1,adamw_state,79,0.8839285969734192
0.5855939984321594,0.4,factorial-v3-adamw_state-adamw-seed271828/checkpoint-157,0.9255685806274414,adamw,0.25889450311660767,-0.0743504986166954,0.9017857313156128,224,271828,2,adamw_state,157,0.8928571343421936
0.6014779210090637,0.6,factorial-v3-adamw_state-adamw-seed271828/checkpoint-235,0.9216251373291016,adamw,0.2562962472438812,-0.07290907949209213,0.9017857313156128,224,271828,3,adamw_state,235,0.8839285969734192
0.5849895477294922,0.8,factorial-v3-adamw_state-adamw-seed271828/checkpoint-313,0.9219281077384949,adamw,0.257251113653183,-0.07571863383054733,0.8973214030265808,224,271828,4,adamw_state,313,0.8883928656578064
0.5798749327659607,1.0,factorial-v3-adamw_state-adamw-seed271828/checkpoint-391,0.9252763390541077,adamw,0.26310211420059204,-0.07609698921442032,0.8973214030265808,224,271828,5,adamw_state,391,0.8928571343421936
0.6064297556877136,0.2,factorial-v3-muon_state-muon-seed271828/checkpoint-79,0.9191645383834839,muon,0.2504420876502991,-0.0808790996670723,0.9017857313156128,224,271828,1,muon_state,79,0.8794642686843872
0.5946467518806458,0.4,factorial-v3-muon_state-muon-seed271828/checkpoint-157,0.9208120107650757,muon,0.25627070665359497,-0.0754811093211174,0.9017857313156128,224,271828,2,muon_state,157,0.8839285969734192
0.6268143653869629,0.6,factorial-v3-muon_state-muon-seed271828/checkpoint-235,0.9202805757522583,muon,0.25682953000068665,-0.08189301937818527,0.8928571343421936,224,271828,3,muon_state,235,0.8794642686843872
0.6108759045600891,0.8,factorial-v3-muon_state-muon-seed271828/checkpoint-313,0.9195418357849121,muon,0.2572180926799774,-0.07108308374881744,0.8839285969734192,224,271828,4,muon_state,313,0.8839285969734192
0.6122533679008484,1.0,factorial-v3-muon_state-muon-seed271828/checkpoint-391,0.9269823431968689,muon,0.2622268497943878,-0.07202022522687912,0.9017857313156128,224,271828,5,muon_state,391,0.8973214030265808
0.5866893529891968,0.2,factorial-v3-adamw_state-muon-seed161803/checkpoint-79,0.9238200783729553,muon,0.2552008032798767,-0.08200417459011078,0.90625,224,161803,1,adamw_state,79,0.8883928656578064
0.6059452295303345,0.4,factorial-v3-adamw_state-muon-seed161803/checkpoint-157,0.9181176424026489,muon,0.24724945425987244,-0.08978575468063354,0.9151785969734192,224,161803,2,adamw_state,157,0.875
0.589690089225769,0.6,factorial-v3-adamw_state-muon-seed161803/checkpoint-235,0.9233417510986328,muon,0.2569062411785126,-0.08102922141551971,0.9107142686843872,224,161803,3,adamw_state,235,0.8839285969734192
0.6163697242736816,0.8,factorial-v3-adamw_state-muon-seed161803/checkpoint-313,0.920179545879364,muon,0.2544359862804413,-0.0890302062034607,0.9107142686843872,224,161803,4,adamw_state,313,0.8839285969734192
0.6120448708534241,1.0,factorial-v3-adamw_state-muon-seed161803/checkpoint-391,0.918362021446228,muon,0.2547209858894348,-0.08350259810686111,0.8973214030265808,224,161803,5,adamw_state,391,0.8794642686843872
0.5910206437110901,0.2,factorial-v3-muon_state-adamw-seed161803/checkpoint-79,0.9281355142593384,adamw,0.2562571167945862,-0.07693980634212494,0.9151785969734192,224,161803,1,muon_state,79,0.8973214030265808
0.5884619355201721,0.4,factorial-v3-muon_state-adamw-seed161803/checkpoint-157,0.9268601536750793,adamw,0.2542460858821869,-0.07781422883272171,0.90625,224,161803,2,muon_state,157,0.8928571343421936
0.5974159240722656,0.6,factorial-v3-muon_state-adamw-seed161803/checkpoint-235,0.9201369881629944,adamw,0.26332733035087585,-0.06793563812971115,0.9151785969734192,224,161803,3,muon_state,235,0.8794642686843872
0.6075299382209778,0.8,factorial-v3-muon_state-adamw-seed161803/checkpoint-313,0.918914794921875,adamw,0.26382380723953247,-0.07288897782564163,0.8973214030265808,224,161803,4,muon_state,313,0.8794642686843872
0.6010571122169495,1.0,factorial-v3-muon_state-adamw-seed161803/checkpoint-391,0.9190635681152344,adamw,0.26213759183883667,-0.07687044888734818,0.8973214030265808,224,161803,5,muon_state,391,0.8794642686843872
