estimand,point_estimate,bootstrap_ci_95_lower,bootstrap_ci_95_upper,decision,bootstrap_samples,bootstrap_seed,seed_clusters,task_clusters
weight_state_effect,0.003222023809523812,0.0004713035714285712,0.006783815476190476,supported_positive,100000,20260904,3,14
operator_effect,-0.0052644047619047705,-0.008965723214285732,-0.001855473214285726,supported_negative,100000,20260904,3,14
state_operator_interaction,0.002079761904761899,-0.001229303571428574,0.0055514702380952095,inconclusive,100000,20260904,3,14
