run_id,stage,step,raw_rate_unit,scaled_raw_rate,nominal_schedule_mass,scaled_nominal_budget
verified-v3-adamw-1e-6,1,782,1e-05,0.09999999999999999,0.28887373760756707,0.028887373760756705
verified-v3-adamw-1e-6,2,1563,1e-05,0.09999999999999999,0.5998634928760345,0.05998634928760344
verified-v3-adamw-1e-6,3,2345,1e-05,0.09999999999999999,0.8222753245028832,0.08222753245028831
verified-v3-adamw-1e-6,4,3126,1e-05,0.09999999999999999,0.9555404042742337,0.09555404042742337
verified-v3-adamw-1e-6,5,3907,1e-05,0.09999999999999999,1.0,0.09999999999999999
verified-v3-adamw-3e-6,1,782,1e-05,0.3,0.28887373760756707,0.08666212128227012
verified-v3-adamw-3e-6,2,1563,1e-05,0.3,0.5998634928760345,0.17995904786281033
verified-v3-adamw-3e-6,3,2345,1e-05,0.3,0.8222753245028832,0.24668259735086495
verified-v3-adamw-3e-6,4,3126,1e-05,0.3,0.9555404042742337,0.2866621212822701
verified-v3-adamw-3e-6,5,3907,1e-05,0.3,1.0,0.3
verified-v3-adamw-1e-5,1,782,1e-05,1.0,0.28887373760756707,0.28887373760756707
verified-v3-adamw-1e-5,2,1563,1e-05,1.0,0.5998634928760345,0.5998634928760345
verified-v3-adamw-1e-5,3,2345,1e-05,1.0,0.8222753245028832,0.8222753245028832
verified-v3-adamw-1e-5,4,3126,1e-05,1.0,0.9555404042742337,0.9555404042742337
verified-v3-adamw-1e-5,5,3907,1e-05,1.0,1.0,1.0
verified-v3-adamw-3e-5,1,782,1e-05,3.0,0.28887373760756707,0.8666212128227012
verified-v3-adamw-3e-5,2,1563,1e-05,3.0,0.5998634928760345,1.7995904786281034
verified-v3-adamw-3e-5,3,2345,1e-05,3.0,0.8222753245028832,2.4668259735086497
verified-v3-adamw-3e-5,4,3126,1e-05,3.0,0.9555404042742337,2.866621212822701
verified-v3-adamw-3e-5,5,3907,1e-05,3.0,1.0,3.0
verified-v3-muon-1e-4,1,782,0.001,0.1,0.28887373760756707,0.02888737376075671
verified-v3-muon-1e-4,2,1563,0.001,0.1,0.5998634928760345,0.05998634928760345
verified-v3-muon-1e-4,3,2345,0.001,0.1,0.8222753245028832,0.08222753245028833
verified-v3-muon-1e-4,4,3126,0.001,0.1,0.9555404042742337,0.09555404042742338
verified-v3-muon-1e-4,5,3907,0.001,0.1,1.0,0.1
verified-v3-muon-3e-4,1,782,0.001,0.3,0.28887373760756707,0.08666212128227012
verified-v3-muon-3e-4,2,1563,0.001,0.3,0.5998634928760345,0.17995904786281033
verified-v3-muon-3e-4,3,2345,0.001,0.3,0.8222753245028832,0.24668259735086495
verified-v3-muon-3e-4,4,3126,0.001,0.3,0.9555404042742337,0.2866621212822701
verified-v3-muon-3e-4,5,3907,0.001,0.3,1.0,0.3
verified-v3-muon-1e-3,1,782,0.001,1.0,0.28887373760756707,0.28887373760756707
verified-v3-muon-1e-3,2,1563,0.001,1.0,0.5998634928760345,0.5998634928760345
verified-v3-muon-1e-3,3,2345,0.001,1.0,0.8222753245028832,0.8222753245028832
verified-v3-muon-1e-3,4,3126,0.001,1.0,0.9555404042742337,0.9555404042742337
verified-v3-muon-1e-3,5,3907,0.001,1.0,1.0,1.0
verified-v3-muon-3e-3,1,782,0.001,3.0,0.28887373760756707,0.8666212128227012
verified-v3-muon-3e-3,2,1563,0.001,3.0,0.5998634928760345,1.7995904786281034
verified-v3-muon-3e-3,3,2345,0.001,3.0,0.8222753245028832,2.4668259735086497
verified-v3-muon-3e-3,4,3126,0.001,3.0,0.9555404042742337,2.866621212822701
verified-v3-muon-3e-3,5,3907,0.001,3.0,1.0,3.0
verified-v3-normuon-1e-4,1,782,0.001,0.1,0.28887373760756707,0.02888737376075671
verified-v3-normuon-1e-4,2,1563,0.001,0.1,0.5998634928760345,0.05998634928760345
verified-v3-normuon-1e-4,3,2345,0.001,0.1,0.8222753245028832,0.08222753245028833
verified-v3-normuon-1e-4,4,3126,0.001,0.1,0.9555404042742337,0.09555404042742338
verified-v3-normuon-1e-4,5,3907,0.001,0.1,1.0,0.1
verified-v3-normuon-3e-4,1,782,0.001,0.3,0.28887373760756707,0.08666212128227012
verified-v3-normuon-3e-4,2,1563,0.001,0.3,0.5998634928760345,0.17995904786281033
verified-v3-normuon-3e-4,3,2345,0.001,0.3,0.8222753245028832,0.24668259735086495
verified-v3-normuon-3e-4,4,3126,0.001,0.3,0.9555404042742337,0.2866621212822701
verified-v3-normuon-3e-4,5,3907,0.001,0.3,1.0,0.3
verified-v3-normuon-1e-3,1,782,0.001,1.0,0.28887373760756707,0.28887373760756707
verified-v3-normuon-1e-3,2,1563,0.001,1.0,0.5998634928760345,0.5998634928760345
verified-v3-normuon-1e-3,3,2345,0.001,1.0,0.8222753245028832,0.8222753245028832
verified-v3-normuon-1e-3,4,3126,0.001,1.0,0.9555404042742337,0.9555404042742337
verified-v3-normuon-1e-3,5,3907,0.001,1.0,1.0,1.0
verified-v3-normuon-3e-3,1,782,0.001,3.0,0.28887373760756707,0.8666212128227012
verified-v3-normuon-3e-3,2,1563,0.001,3.0,0.5998634928760345,1.7995904786281034
verified-v3-normuon-3e-3,3,2345,0.001,3.0,0.8222753245028832,2.4668259735086497
verified-v3-normuon-3e-3,4,3126,0.001,3.0,0.9555404042742337,2.866621212822701
verified-v3-normuon-3e-3,5,3907,0.001,3.0,1.0,3.0
