cumulative_displacement_frobenius_norm,cumulative_displacement_to_weight_ratio,cumulative_nonzero_parameter_fraction,cumulative_nonzero_parameters,cumulative_parameter_mass_in_nonzero_matrices,cumulative_sketch_captured_energy_parameter_weighted,cumulative_sketch_effective_rank_fraction_parameter_weighted,cumulative_sketch_effective_rank_parameter_weighted,cumulative_stable_rank_fraction_parameter_weighted,cumulative_stable_rank_parameter_weighted,hidden_parameters,hidden_tensors,learning_rate,optimizer,progress_fraction,run_id,saved_segment_frobenius_norm,saved_segment_nonzero_parameter_fraction,saved_segment_nonzero_parameters,saved_segment_parameter_mass_in_nonzero_matrices,saved_segment_row_cv_parameter_weighted,saved_segment_sketch_captured_energy_parameter_weighted,saved_segment_sketch_effective_rank_fraction_parameter_weighted,saved_segment_sketch_effective_rank_parameter_weighted,saved_segment_stable_rank_fraction_parameter_weighted,saved_segment_stable_rank_parameter_weighted,saved_segment_to_weight_ratio,saved_segment_top_1pct_row_energy_parameter_weighted,stage,step,weight_frobenius_norm
0.6938327477478891,0.0005799982843460624,0.9999448126862606,110291001,1.0,0.8503170341731393,0.06510163336301657,49.99805442279673,0.007569971962528114,5.813738467221592,110297088,88,1e-06,adamw,0.2,verified-v3-adamw-1e-6,0.6938327477478891,0.9999448126862606,110291001,1.0,0.2808063304559751,0.8503170341731393,0.06510163336301657,49.99805442279673,0.007569971962528114,5.813738467221592,0.0005799982843460624,0.042074739823446554,1,782,1196.266896772243
1.1272645274290105,0.0009423203018994115,0.9999657017236937,110293305,1.0,0.8587188459335164,0.06520165457870021,50.07487071644176,0.007207780689625285,5.535575569632219,110297088,88,1e-06,adamw,0.4,verified-v3-adamw-1e-6,0.5189165022349868,0.9999280126053736,110289148,1.0,0.2696044521734995,0.7880915175465977,0.0672606606295402,51.65618736348688,0.007942146781845261,6.09956872845716,0.00043378066385350107,0.04698739757133837,2,1563,1196.2647150409596
1.3751100605701359,0.001149504508264804,0.9999701261378723,110293793,1.0,0.8638892129143292,0.06520591382727478,50.07814181934703,0.0070850130555729605,5.441290026680034,110297088,88,1e-06,adamw,0.6,verified-v3-adamw-1e-6,0.3247172353677014,0.9998865246560272,110284572,1.0,0.253249815361385,0.7555596168665962,0.06851160783924946,52.616914820543585,0.008726281084040588,6.701783872543172,0.00027144294603713166,0.04616523514636219,3,2345,1196.263303608863
1.506643517700093,0.0012594588976112655,0.9999733900499712,110294153,1.0,0.8674347705063336,0.06516193583899853,50.04436672435087,0.007016437579736565,5.388624061237682,110297088,88,1e-06,adamw,0.8,verified-v3-adamw-1e-6,0.18305346488030816,0.9998027418457321,110275331,1.0,0.2437607382429156,0.7396265379885302,0.06914084954535897,53.10017245083569,0.009222222200749234,7.082666650175411,0.0001530211442677627,0.04578852573818064,4,3126,1196.2625541473776
1.5472044022125795,0.0012933654877582434,0.9999732177879438,110294134,1.0,0.8687642482831517,0.06513894973538564,50.02671339677617,0.006996122711801274,5.373022242663378,110297088,88,1e-06,adamw,1.0,verified-v3-adamw-1e-6,0.061440424165629906,0.9994288153826871,110234088,1.0,0.21867758457992167,0.7052761485232389,0.07028609714777924,53.97972260949446,0.010138808648349342,7.786605041932295,5.1360327087626227e-05,0.04117629916860378,5,3907,1196.2623224888337
1.5429713137055703,0.0012898259664681207,0.9999764726336202,110294493,1.0,0.7843418000216152,0.06766429585994034,51.96617922043418,0.008386301029466903,6.440679190630581,110297088,88,3e-06,adamw,0.2,verified-v3-adamw-3e-6,1.5429713137055703,0.9999764726336202,110294493,1.0,0.2556044270289454,0.7843418000216152,0.06766429585994034,51.96617922043418,0.008386301029466903,6.440679190630581,0.0012898259664681207,0.043132878063037436,1,782,1196.2631810945995
2.295924678591222,0.001919252448911381,0.9999830185906631,110295215,1.0,0.7893465827493107,0.06787826737086829,52.13050934082684,0.008331418528807567,6.398529430124212,110297088,88,3e-06,adamw,0.4,verified-v3-adamw-3e-6,1.085572323426397,0.9999684941818229,110293613,1.0,0.20692214634727668,0.6886851596322289,0.07122855936301584,54.70353359079616,0.010753542098503911,8.258720331651004,0.0009074719914091244,0.03982479647698409,2,1563,1196.2598666441684
2.6561899994371565,0.002220415467136432,0.9999856297203422,110295503,1.0,0.7882641201669519,0.06835308605921248,52.49517009347518,0.008507777937586667,6.53397345606656,110297088,88,3e-06,adamw,0.6,verified-v3-adamw-3e-6,0.6665797615463843,0.9999493368310866,110291500,1.0,0.15476208262862687,0.6257435959928176,0.07404944883682724,56.86997670668332,0.01411014714787935,10.83659300957134,0.0005572206856178716,0.03022627070556111,3,2345,1196.2581051836767
2.832470835481677,0.0023677773893004705,0.9999869987501393,110295654,1.0,0.7888050417211604,0.06859859182713504,52.683718523239705,0.008633227619623065,6.630318811870514,110297088,88,3e-06,adamw,0.8,verified-v3-adamw-3e-6,0.37948397558501407,0.9999133612666183,110287532,1.0,0.13139190625419273,0.5963352893125564,0.0752551470635834,57.79595294483205,0.016621155056723937,12.765047083563983,0.0003172260648675832,0.02623197096175848,4,3126,1196.2572361240827
2.886285991539127,0.0024127642404132062,0.9999873251413491,110295690,1.0,0.7896609996410615,0.06865460984740877,52.72674036280994,0.008644303744376608,6.638825275681236,110297088,88,3e-06,adamw,1.0,verified-v3-adamw-3e-6,0.135680850713004,0.999760746176726,110270699,1.0,0.1156568420542912,0.5736738486404724,0.07595138543961096,58.33066401762121,0.018182217850683528,13.963943309324948,0.00011342115981189002,0.023830380313158196,5,3907,1196.2569500967181
