run_id,optimizer,learning_rate,step,tasks,baseline_shortlist_ndcg,baseline_margin,ndcg_degrading_coordinate_fraction,ndcg_degrading_attribution_mass,ndcg_helpful_attribution_mass,ndcg_helpful_mass_share,ndcg_absolute_attribution_participation_ratio,ndcg_helpful_attribution_participation_ratio,margin_degrading_coordinate_fraction,margin_degrading_attribution_mass,margin_helpful_attribution_mass,margin_helpful_mass_share,margin_absolute_attribution_participation_ratio,margin_helpful_attribution_participation_ratio
pretrained,pretrained,,0,14,0.9344218230006742,0.2105361864146261,0.04380580357142857,0.1867995601557429,0.14735348982359936,0.22521688429805267,0.04420020197705637,0.024711025806454037,0.4795386904761905,0.10262574485921057,0.11687997112735407,0.5315043499823057,0.5670382961411488,0.3015196058306414
adamw-lr1e-5,adamw,1e-05,1563,14,0.9440601301259262,0.24993578479665052,0.029668898809523805,0.37535171143421187,0.026441365655229004,0.18118852948120207,0.027241341551197222,0.00893755129217402,0.4849330357142857,0.10758632353225114,0.11692837180533368,0.5203951107490281,0.567179286272728,0.3051647577722739
adamw-lr1e-5,adamw,1e-05,2345,14,0.9465662780544737,0.2537778394685147,0.0006510416666666667,0.006217809199617735,0.20922276233174086,0.2724789927639063,0.04753433835168124,0.055848532497624385,0.490327380952381,0.1082221657450049,0.11587219312374882,0.5166887323828064,0.5730578401267318,0.3051582252889449
adamw-lr1e-5,adamw,1e-05,3126,14,0.9460749130890769,0.2547937653066994,0.005115327380952381,0.016892066483333246,0.03875017395970811,0.1331055457492688,0.0084897805702862,0.005749818836274146,0.4906063988095238,0.10904434525141328,0.11503127327625728,0.5129944256407689,0.5719271510040892,0.3040231711938644
adamw-lr1e-5,adamw,1e-05,3907,14,0.9461887509957185,0.2553164763175832,0.007254464285714286,0.013943744617877004,0.31333676196003696,0.13579771666007376,0.025142436430896697,0.022179329637459094,0.4876302083333333,0.10766224116747655,0.11604292932524578,0.5184088449033732,0.5719865024804952,0.3065099668861083
adamw-lr1e-5,adamw,1e-05,782,14,0.9439219127530765,0.24361020824107493,0.01050967261904762,0.020767820305826825,0.026767670958505397,0.07142857142857142,0.013541376235799199,0.004431730454095858,0.4755394345238095,0.1041045506439249,0.11881004652075003,0.5331994249251226,0.5733871327130895,0.31253154642248776
adamw-lr1e-6,adamw,1e-06,1563,14,0.9392093447972955,0.22605390465776345,0.01329985119047619,0.04582511438191161,0.973411723701046,0.29193498308636284,0.0719603837934505,0.06810440998721483,0.4880022321428572,0.10632143850717464,0.11523875688925588,0.5197423641892297,0.5680972209377615,0.2993850678495796
adamw-lr1e-6,adamw,1e-06,2345,14,0.9382355874220915,0.22926690187456486,0.04352678571428571,0.20189566434856432,0.1439250549631854,0.12315041780584393,0.04596527276919931,0.016270658403998835,0.4870721726190476,0.10632511225508272,0.115857438373125,0.5212025974091664,0.5710360808593367,0.30061353596181356
adamw-lr1e-6,adamw,1e-06,3126,14,0.9409363662581639,0.23115804798274114,0.009765625,0.04595150962355199,0.5792320157104616,0.20705713492419722,0.06153869931653754,0.053717122910563735,0.482514880952381,0.10371931419583368,0.11738714840518831,0.5305433382527944,0.5738752979050256,0.30602795550841766
adamw-lr1e-6,adamw,1e-06,3907,14,0.9392887312294651,0.23161110766432566,0.017764136904761904,0.1580735144663595,0.2913893615553719,0.1562337336499132,0.044496323451810815,0.0339368913635689,0.48279389880952384,0.10438802874413514,0.1175262608661363,0.5292064362176461,0.5742040131631467,0.3055009482099842
adamw-lr1e-6,adamw,1e-06,782,14,0.9388067222827904,0.22023885976852148,0.033482142857142856,0.09529393433272558,0.187867825268696,0.21456886263153074,0.04819033599793034,0.018878354109768795,0.4816778273809523,0.10512456703346924,0.11619239225380171,0.5255129490807182,0.567072641421036,0.30067266953886385
adamw-lr3e-5,adamw,3e-05,1563,14,0.9469077031590161,0.2576166919928406,0.013485863095238096,0.033755203313166775,0.0480837017690665,0.1087394622836207,0.009926503523502411,0.006868805186517184,0.4935825892857143,0.10752433604514046,0.11554170409847113,0.5179420366109759,0.5714810852695004,0.30447555091972384
adamw-lr3e-5,adamw,3e-05,2345,14,0.9477225481177758,0.26121074185735305,0.031436011904761904,0.03436871894872009,0.08933027594619038,0.15477785712115527,0.012297333428990588,0.00671452563600408,0.4925595238095238,0.1078131708672476,0.11529272366997309,0.5165748996478312,0.5799572911290172,0.306027193438393
adamw-lr3e-5,adamw,3e-05,3126,14,0.947571980882762,0.26336609112766113,0.011532738095238096,0.02868693816531285,0.7258619792856111,0.26013569968243166,0.045479395455379365,0.0411203589280626,0.492373511904762,0.10709240459149653,0.1152506620231714,0.5184888817155967,0.5793841065450466,0.30629263037338283
adamw-lr3e-5,adamw,3e-05,3907,14,0.9426637711821647,0.26442585139949354,0.05552455357142857,0.9450524148354419,0.03933465147860281,0.14400760916872038,0.06936087671034205,0.019373677526360426,0.4878162202380953,0.10641618428102326,0.1161204672953482,0.5213179644717089,0.577667148857883,0.30758655192799206
adamw-lr3e-5,adamw,3e-05,782,14,0.9448921410013114,0.25069817969184016,0.017299107142857144,0.12860056461182232,0.02304583226560572,0.1030518977958611,0.018594521796301618,0.006536083350675078,0.48763020833333337,0.10778763116906322,0.11623199084707185,0.5187444659707516,0.5731050498069036,0.3044880808732636
