model_family,optimizer,learning_rate,run_id,stage,fraction,step,previous_stage,previous_fraction,previous_step,delta_mean_training_loss,delta_weight_frobenius_norm,delta_reference_displacement_frobenius_norm,delta_previous_checkpoint_displacement_frobenius_norm,delta_reference_displacement_to_weight_ratio,delta_weight_row_cv_parameter_weighted,delta_reference_delta_row_cv_parameter_weighted,delta_weight_top_1pct_row_energy_parameter_weighted,delta_reference_delta_top_1pct_row_energy_parameter_weighted,delta_training_margin_mean,delta_training_margin_median,delta_training_top1_accuracy,delta_training_mean_reciprocal_rank,delta_training_reference_mean_top_k_overlap,delta_training_reference_top1_agreement,delta_training_reference_score_drift_rms,delta_training_query_normalized_effective_rank,delta_training_document_normalized_effective_rank,delta_training_token_evidence_entropy_mean,delta_training_token_evidence_gini_mean,delta_training_document_token_coverage_mean,delta_training_repeated_token_dominance_mean,delta_unseen_margin_mean,delta_unseen_margin_median,delta_unseen_top1_accuracy,delta_unseen_mean_reciprocal_rank,delta_unseen_reference_mean_top_k_overlap,delta_unseen_reference_top1_agreement,delta_unseen_reference_score_drift_rms,delta_unseen_query_normalized_effective_rank,delta_unseen_document_normalized_effective_rank,delta_unseen_token_evidence_entropy_mean,delta_unseen_token_evidence_gini_mean,delta_unseen_document_token_coverage_mean,delta_unseen_repeated_token_dominance_mean,delta_mean_beir_ndcg_at_10
dense,adamw,3e-05,adamw-lr3e-5,4,0.8,3126,3,0.6,2345,-0.028933362960815445,-0.09381094464606576,0.5130597008627618,-1.6476934518904174,0.00042984529790517957,3.918846023270861e-06,-0.0009753762141746641,1.1367514171703452e-06,-4.657992923801438e-05,0.0032147690653800964,0.004021510481834412,0.0068359375,0.0037923455238342285,-0.007486979166666741,-0.0029296875,0.0018765032291412354,0.004178643226623535,0.004883925120035826,,,,,0.002155303955078125,0.00020107626914978027,0.0,-0.00018596649169921875,-0.011904761904761973,0.004464268684387207,0.0003180094063282013,0.003473940451583446,0.0013125340143839426,,,,,-6.071428571430282e-05
dense,adamw,3e-05,adamw-lr3e-5,5,1.0,3907,4,0.8,3126,0.010519349575042747,-0.02752025842414696,0.11279831873816626,-1.6671500690613734,9.456766943017995e-05,2.102059795255906e-06,0.00033232519393139315,4.814987514117908e-07,6.982972247794941e-05,-0.00019488483667373657,0.0007017254829406738,0.001953125,0.0014322400093078613,0.0006510416666667407,-0.00390625,-0.00039036571979522705,-0.001242597897847475,-0.002270420392354311,,,,,0.0010598301887512207,0.0024101734161376953,-0.013392865657806396,-0.006653964519500732,-0.004464285714285698,-0.00892859697341919,0.000947948545217514,-0.0014417160786854843,-0.0013889074325561523,,,,,0.001822857142857126
dense,adamw,3e-06,adamw-lr3e-6,2,0.4,1563,1,0.2,782,-0.1134754848480225,-0.0033558364953023556,0.7229611163197387,,0.0006043677315705964,2.5006758178625077e-06,0.01209285116211617,9.975211824331254e-07,0.004048909294732755,0.009559862315654755,0.007140561938285828,0.037109375,0.02026146650314331,-0.0400390625,-0.0322265625,0.016203057020902634,0.00729413827260339,-0.0072107712427774695,,,,,0.008744075894355774,-0.0022101104259490967,0.00892859697341919,0.004873514175415039,-0.017857142857142905,-0.013392865657806396,0.010469378903508186,0.0036913268769268592,0.0010509888331095285,,,,,0.010787857142857127
dense,adamw,3e-06,adamw-lr3e-6,3,0.6,2345,2,0.4,1563,-0.04683011531829834,-0.001918045476259067,0.3425438170549988,-0.41722543218128183,0.00028635525832568644,1.6650254713868051e-06,0.0005145725161633807,6.083130119315105e-07,0.0006371711624816104,0.0036972761154174805,0.00420890748500824,0.0048828125,0.002955198287963867,-0.0126953125,-0.0078125,0.005248859524726868,-0.001020034154256222,-0.004415194193522154,,,,,0.004163697361946106,0.004489153623580933,0.008928537368774414,0.004357874393463135,-0.011904761904761973,-0.013392806053161621,0.003576885908842087,-0.00038174342681474016,-0.0005902250607808524,,,,,0.00656214285714285
dense,adamw,3e-06,adamw-lr3e-6,4,0.8,3126,3,0.6,2345,-0.026236901283264114,-0.0007792951198553055,0.17051931921287267,-0.2657658068133663,0.0001425484914813614,8.885713821960017e-07,-0.00040556195585483845,3.23263559750403e-07,4.507153031022698e-05,0.0017313957214355469,0.0007225275039672852,0.00390625,0.0019856691360473633,-0.00390625,-0.0009765625,0.0014948770403862,0.00020265579223632812,-0.00039327144622802734,,,,,0.0013879835605621338,0.0039930641651153564,-0.004464268684387207,-0.0022321343421936035,-0.0014880952380951218,-0.004464328289031982,0.0012473613023757935,-0.00018112114192125883,9.163220723470977e-05,,,,,0.0016892857142857265
dense,adamw,3e-06,adamw-lr3e-6,5,1.0,3907,4,0.8,3126,0.0074867224693297985,-0.0003077618766837986,0.05314472522634528,-0.2308127122807574,4.442739265477554e-05,3.2053433637879714e-07,0.0002605420621958343,9.927799038758622e-08,4.37600488331219e-05,0.00032092630863189697,0.00026160478591918945,0.0009765625,0.000732421875,-0.0016276041666666297,0.0,0.00039721280336380005,-0.00011531511942541872,-0.0009119510650634766,,,,,0.0002263188362121582,-0.0005868971347808838,0.0,0.00018608570098876953,-0.004464285714285698,0.0,0.0005027465522289276,-0.00025242005763026487,-0.00026297569274902344,,,,,0.00042000000000008697
dense,muon,0.001,muon-lr1e-3,2,0.4,1563,1,0.2,782,-0.03268338203430177,-6.584634858502113,16.76199721218697,,0.01435192147741187,-0.00018593580287726286,-0.008011656713716814,-1.3353651698258528e-05,-0.0006625380337158641,0.005808323621749878,0.002741381525993347,0.0234375,0.012695372104644775,0.00032552083333337034,0.0009765625,0.000876113772392273,-0.002674182256062807,-0.012039899826049805,,,,,0.005746319890022278,0.01687869429588318,0.004464268684387207,0.001041710376739502,0.0,-0.004464268684387207,0.002783961594104767,-0.005176150745340502,-0.005313217639923096,,,,,0.009545000000000026
dense,muon,0.001,muon-lr1e-3,3,0.6,2345,2,0.4,1563,-0.035822710990905726,-4.752016823656959,7.355072667415051,-10.897976272440797,0.006434109259147322,-8.088932995173326e-05,-0.006276330771173705,-7.768883743389243e-06,-0.00041961169896278724,0.008362501859664917,0.00909830629825592,0.0107421875,0.006794154644012451,-0.0013020833333333703,0.0029296875,0.0031440556049346924,0.0033816893895466937,0.008329629898071289,,,,,0.0077960193157196045,0.007439464330673218,0.013392865657806396,0.00811004638671875,-0.0029761904761905766,-0.00892859697341919,-0.0037660226225852966,0.006058834058821461,0.0019835233688354492,,,,,-0.006383571428571377
dense,muon,0.001,muon-lr1e-3,4,0.8,3126,3,0.6,2345,-0.0410900926589966,-2.89375229142388,2.8578077396735893,-10.944107080356314,0.002564790603946404,-1.7177094431469753e-05,-0.004295051107830544,-1.5855044684306985e-06,-0.00023412418098532617,0.00988733023405075,0.004881724715232849,0.0146484375,0.008544921875,0.00032552083333337034,0.0048828125,-0.0016745775938034058,0.006532112757364927,0.016405582427978516,,,,,0.0016092360019683838,-0.002323925495147705,-0.004464268684387207,-0.0017112493515014648,-0.007440476190476164,-0.004464268684387207,-0.0007793828845024109,0.00393649387787276,0.0033764243125915527,,,,,0.004344999999999932
dense,muon,0.001,muon-lr1e-3,5,1.0,3907,4,0.8,3126,0.00016328096389769953,-0.9806477040849586,0.5443921763061184,-10.747852628238686,0.0005110513671416073,4.572863566032481e-06,-0.0016534735603048745,1.458789814605399e-07,-7.369310749485644e-05,0.0008354783058166504,-0.0012966841459274292,0.0087890625,0.004801392555236816,0.00520833333333337,0.0009765625,-0.002322562038898468,0.0028409957885742188,0.002806862195332882,,,,,0.0028315186500549316,0.003297150135040283,0.004464268684387207,0.002083301544189453,0.008928571428571508,0.017857134342193604,-0.0008920207619667053,0.0007838775224214833,-0.00018684069315594298,,,,,-0.00021928571428575516
dense,muon,0.0001,muon-lr1e-4,2,0.4,1563,1,0.2,782,-0.08464809179306026,-0.7251532633565603,2.24914439602993,,0.0018848622201305875,5.8772630072978505e-06,-0.0006979152032318692,9.706323557991114e-07,-2.386316378167469e-05,0.008092224597930908,0.0033562183380126953,0.029296875,0.01834195852279663,-0.02213541666666663,0.001953125,0.008272543549537659,-0.0015598535537719727,-0.007826924324035645,,,,,0.008929327130317688,0.016577646136283875,0.004464328289031982,0.0013391971588134766,-0.014880952380952439,-0.017857134342193604,0.007998049259185791,3.838646037690463e-05,-0.0011487404505411691,,,,,0.0065228571428571636
dense,muon,0.0001,muon-lr1e-4,3,0.6,2345,2,0.4,1563,-0.03246208190917971,-0.5179569312911099,1.0743640578884364,-1.3333315924702762,0.0009021454357656692,4.450646154396942e-06,-0.00198126081775693,5.096625437066293e-07,-9.310615801795194e-05,0.004404142498970032,0.005044341087341309,0.0087890625,0.005664050579071045,-0.0048828125,0.0,0.0040345340967178345,-0.0012009938557943078,-0.0011996825536091937,,,,,0.004520773887634277,0.004284381866455078,0.0,0.000148773193359375,0.005952380952380931,-0.004464268684387207,0.002783779054880142,0.0010802264705367381,0.00020958979924520782,,,,,0.0018700000000000383
dense,muon,0.0001,muon-lr1e-4,4,0.8,3126,3,0.6,2345,-0.026788392066955546,-0.3094878609388161,0.4852493658327486,-1.20701874247351,0.0004081800830258008,2.727061908514017e-06,-0.0008723458803114592,2.531902515978679e-07,0.00011915095489133457,0.0020426660776138306,0.0004306286573410034,0.0078125,0.004117786884307861,0.0009765625,-0.001953125,0.0006755739450454712,0.0019838809967041016,0.0030972560246785297,,,,,0.0015119314193725586,0.0008913874626159668,-0.004464328289031982,-0.002338409423828125,0.0,0.0,0.00042326003313064575,0.0015730921997617608,0.0008417367935180664,,,,,0.0019692857142856734
dense,muon,0.0001,muon-lr1e-4,5,1.0,3907,4,0.8,3126,0.009479026794433576,-0.11059561277625107,0.12853258504328657,-1.138775382442597,0.00010833036606589137,1.252783253219425e-06,-0.0002463821092630325,1.6045144056800464e-07,8.163511514026195e-05,9.87425446510315e-05,0.00024440884590148926,-0.0009765625,-0.0003580451011657715,-0.0035807291666666297,0.0009765625,0.0002126544713973999,-0.00019240379333496094,-0.0014373858769734515,,,,,0.0006166398525238037,0.003210216760635376,0.0,-0.000148773193359375,-0.0014880952380952328,0.0,0.000658772885799408,-0.00039919181789516145,-0.0006786187489827566,,,,,-0.00033714285714281367
dense,muon,0.003,muon-lr3e-3,2,0.4,1563,1,0.2,782,-0.04119631290435799,-15.925397355622863,47.54837256689885,,0.04216519086162818,-0.0019128086633063979,-0.009944401462288449,-0.00014938971396276715,-0.0007718187423154006,0.007457517087459564,0.010272577404975891,0.029296875,0.020948410034179688,0.0026041666666666297,0.0068359375,0.0029299408197402954,0.005647341410319029,-0.010936160882314028,,,,,-0.001390412449836731,-0.018103361129760742,-0.004464268684387207,-0.001977086067199707,0.011904761904761862,-0.026785671710968018,-0.001345604658126831,-0.0042784139179863345,-0.005460798740386963,,,,,0.002450714285714306
dense,muon,0.003,muon-lr3e-3,3,0.6,2345,2,0.4,1563,-0.07611055374145503,-12.036790253716845,20.19723103111167,-31.787559995617215,0.0189891709948507,-0.0009180233081712841,-0.006722821983543625,-7.48768359183638e-05,-0.00035867418964358536,0.012670077383518219,0.012250646948814392,0.0244140625,0.01595526933670044,-0.0032552083333333703,0.0048828125,-0.02403371036052704,-0.0009254614512125836,-0.008903463681538937,,,,,0.01038922369480133,0.015801802277565002,-0.017857134342193604,-0.007738053798675537,0.004464285714285698,0.02232140302658081,-0.04551224410533905,0.0013403101352298386,-0.0008031725883483887,,,,,0.0120378571428571
dense,muon,0.003,muon-lr3e-3,4,0.8,3126,3,0.6,2345,-0.08734735727310178,-7.682126726507931,7.337869470892571,-32.04230256385207,0.0074796483492400034,-0.0002827030870525826,-0.004446679407501625,-2.631314975373722e-05,-0.00020405643664419756,0.02078431099653244,0.016062527894973755,0.0341796875,0.01959747076034546,0.01009114583333337,0.01953125,-0.01979820430278778,0.008915583292643248,0.029280821482340513,,,,,0.021553874015808105,0.019244268536567688,0.004464268684387207,0.0051711201667785645,0.014880952380952439,0.0,-0.04866683483123779,0.010821834273402442,0.012361298004786164,,,,,0.009130714285714325
dense,muon,0.003,muon-lr3e-3,5,1.0,3907,4,0.8,3126,-0.037029273509979255,-2.7244398119428297,1.2020397344405467,-31.310826545621513,0.0014511433659731288,-1.0425384270956739e-05,-0.0018082702791387961,-2.2885982285877904e-06,-7.985106465172725e-05,0.008915647864341736,0.00807216763496399,0.0322265625,0.019115030765533447,0.00455729166666663,0.0126953125,-0.0039189159870147705,0.007617553075154604,0.012641827265421568,,,,,0.01248122751712799,0.02702048420906067,-0.004464268684387207,-0.004384517669677734,-0.0014880952380953438,0.004464268684387207,-0.01044134795665741,0.006008883762787298,0.003074010213216155,,,,,0.008669285714285713
