model_family,scope,optimizer,analysis,bridge,predictor,outcome,observations,spearman_rho
dense,optimizer,adamw,within_run_first_differences,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_margin_mean,16,-0.08529411764705883
dense,optimizer,adamw,within_run_first_differences,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_query_normalized_effective_rank,16,0.31470588235294117
dense,optimizer,adamw,within_run_first_differences,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_margin_mean,16,-0.029411764705882353
dense,optimizer,adamw,within_run_first_differences,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_query_normalized_effective_rank,16,0.3205882352941177
dense,optimizer,adamw,within_run_first_differences,objective-to-retrieval,mean_training_loss,mean_beir_ndcg_at_10,16,-0.8058823529411765
dense,optimizer,adamw,within_run_first_differences,representation-to-retrieval,training_margin_mean,mean_beir_ndcg_at_10,16,0.5352941176470588
dense,optimizer,adamw,within_run_first_differences,representation-to-retrieval,training_query_normalized_effective_rank,mean_beir_ndcg_at_10,16,0.1588235294117647
dense,optimizer,adamw,within_run_first_differences,representation-to-retrieval,unseen_margin_mean,mean_beir_ndcg_at_10,16,0.5852941176470589
dense,optimizer,adamw,within_run_first_differences,representation-to-retrieval,unseen_query_normalized_effective_rank,mean_beir_ndcg_at_10,16,0.12941176470588237
dense,optimizer,adamw,within_run_first_differences,representation-to-retrieval,unseen_reference_score_drift_rms,mean_beir_ndcg_at_10,16,0.8764705882352941
dense,optimizer,muon,checkpoint_levels,weight-to-representation,reference_displacement_to_weight_ratio,unseen_margin_mean,20,-0.3293233082706767
dense,optimizer,muon,checkpoint_levels,weight-to-representation,reference_displacement_to_weight_ratio,unseen_query_normalized_effective_rank,20,-0.7323308270676692
dense,optimizer,muon,checkpoint_levels,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_margin_mean,20,0.10075187969924812
dense,optimizer,muon,checkpoint_levels,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_query_normalized_effective_rank,20,0.5714285714285714
dense,optimizer,muon,checkpoint_levels,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_margin_mean,20,0.3037593984962406
dense,optimizer,muon,checkpoint_levels,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_query_normalized_effective_rank,20,0.7263157894736842
dense,optimizer,muon,checkpoint_levels,objective-to-retrieval,mean_training_loss,mean_beir_ndcg_at_10,20,-0.8210526315789474
dense,optimizer,muon,checkpoint_levels,representation-to-retrieval,training_margin_mean,mean_beir_ndcg_at_10,20,0.4180451127819549
dense,optimizer,muon,checkpoint_levels,representation-to-retrieval,training_query_normalized_effective_rank,mean_beir_ndcg_at_10,20,0.6586466165413534
dense,optimizer,muon,checkpoint_levels,representation-to-retrieval,unseen_margin_mean,mean_beir_ndcg_at_10,20,0.8
dense,optimizer,muon,checkpoint_levels,representation-to-retrieval,unseen_query_normalized_effective_rank,mean_beir_ndcg_at_10,20,0.7338345864661654
dense,optimizer,muon,checkpoint_levels,representation-to-retrieval,unseen_reference_score_drift_rms,mean_beir_ndcg_at_10,20,-0.5263157894736842
dense,optimizer,muon,within_run_first_differences,weight-to-representation,reference_displacement_to_weight_ratio,unseen_margin_mean,16,0.43529411764705883
dense,optimizer,muon,within_run_first_differences,weight-to-representation,reference_displacement_to_weight_ratio,unseen_query_normalized_effective_rank,16,0.023529411764705882
dense,optimizer,muon,within_run_first_differences,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_margin_mean,16,-0.25588235294117645
dense,optimizer,muon,within_run_first_differences,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_query_normalized_effective_rank,16,0.029411764705882353
dense,optimizer,muon,within_run_first_differences,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_margin_mean,16,-0.22058823529411764
dense,optimizer,muon,within_run_first_differences,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_query_normalized_effective_rank,16,0.10588235294117647
dense,optimizer,muon,within_run_first_differences,objective-to-retrieval,mean_training_loss,mean_beir_ndcg_at_10,16,-0.7176470588235294
dense,optimizer,muon,within_run_first_differences,representation-to-retrieval,training_margin_mean,mean_beir_ndcg_at_10,16,0.5529411764705883
dense,optimizer,muon,within_run_first_differences,representation-to-retrieval,training_query_normalized_effective_rank,mean_beir_ndcg_at_10,16,-0.08529411764705883
dense,optimizer,muon,within_run_first_differences,representation-to-retrieval,unseen_margin_mean,mean_beir_ndcg_at_10,16,0.4823529411764706
dense,optimizer,muon,within_run_first_differences,representation-to-retrieval,unseen_query_normalized_effective_rank,mean_beir_ndcg_at_10,16,-0.08235294117647059
dense,optimizer,muon,within_run_first_differences,representation-to-retrieval,unseen_reference_score_drift_rms,mean_beir_ndcg_at_10,16,-0.13823529411764707
dense,optimizer,normuon,checkpoint_levels,weight-to-representation,reference_displacement_to_weight_ratio,unseen_margin_mean,20,-0.3112781954887218
dense,optimizer,normuon,checkpoint_levels,weight-to-representation,reference_displacement_to_weight_ratio,unseen_query_normalized_effective_rank,20,-0.6090225563909775
dense,optimizer,normuon,checkpoint_levels,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_margin_mean,20,0.35037593984962406
dense,optimizer,normuon,checkpoint_levels,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_query_normalized_effective_rank,20,0.6947368421052632
dense,optimizer,normuon,checkpoint_levels,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_margin_mean,20,0.4045112781954887
dense,optimizer,normuon,checkpoint_levels,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_query_normalized_effective_rank,20,0.7218045112781954
dense,optimizer,normuon,checkpoint_levels,objective-to-retrieval,mean_training_loss,mean_beir_ndcg_at_10,20,-0.8135338345864662
dense,optimizer,normuon,checkpoint_levels,representation-to-retrieval,training_margin_mean,mean_beir_ndcg_at_10,20,0.3699248120300752
dense,optimizer,normuon,checkpoint_levels,representation-to-retrieval,training_query_normalized_effective_rank,mean_beir_ndcg_at_10,20,0.6917293233082706
dense,optimizer,normuon,checkpoint_levels,representation-to-retrieval,unseen_margin_mean,mean_beir_ndcg_at_10,20,0.869172932330827
dense,optimizer,normuon,checkpoint_levels,representation-to-retrieval,unseen_query_normalized_effective_rank,mean_beir_ndcg_at_10,20,0.8240601503759398
dense,optimizer,normuon,checkpoint_levels,representation-to-retrieval,unseen_reference_score_drift_rms,mean_beir_ndcg_at_10,20,-0.4917293233082707
dense,optimizer,normuon,within_run_first_differences,weight-to-representation,reference_displacement_to_weight_ratio,unseen_margin_mean,16,0.3735294117647059
dense,optimizer,normuon,within_run_first_differences,weight-to-representation,reference_displacement_to_weight_ratio,unseen_query_normalized_effective_rank,16,0.2088235294117647
