model_family,optimizer,learning_rate,run_id,stage,fraction,step,mean_training_loss,weight_frobenius_norm,reference_displacement_frobenius_norm,previous_checkpoint_displacement_frobenius_norm,reference_displacement_to_weight_ratio,weight_row_cv_parameter_weighted,reference_delta_row_cv_parameter_weighted,weight_top_1pct_row_energy_parameter_weighted,reference_delta_top_1pct_row_energy_parameter_weighted,training_margin_mean,training_margin_median,training_top1_accuracy,training_mean_reciprocal_rank,training_reference_mean_top_k_overlap,training_reference_top1_agreement,training_reference_score_drift_rms,training_query_normalized_effective_rank,training_document_normalized_effective_rank,training_token_evidence_entropy_mean,training_token_evidence_gini_mean,training_document_token_coverage_mean,training_repeated_token_dominance_mean,unseen_margin_mean,unseen_margin_median,unseen_top1_accuracy,unseen_mean_reciprocal_rank,unseen_reference_mean_top_k_overlap,unseen_reference_top1_agreement,unseen_reference_score_drift_rms,unseen_query_normalized_effective_rank,unseen_document_normalized_effective_rank,unseen_token_evidence_entropy_mean,unseen_token_evidence_gini_mean,unseen_document_token_coverage_mean,unseen_repeated_token_dominance_mean,mean_beir_ndcg_at_10
dense,adamw,1e-05,adamw-lr1e-5,1,0.2,782,0.4163963222503662,1196.1682510803132,3.2895260261397934,,0.0027500529487961872,0.17900203748103133,0.1886608868857278,0.0281753700206624,0.03519853325759902,0.09378794580698013,0.08348990976810455,0.927734375,0.9559093713760376,0.7347005208333333,0.7197265625,0.07626191526651382,0.4258457024892171,0.4923440217971802,,,,,0.24361024796962738,0.24467580020427704,0.8928571343421936,0.9262648820877075,0.8616071428571429,0.9419642686843872,0.04215945675969124,0.6742803462417671,0.21905757983525595,,,,,0.5818721428571428
dense,adamw,1e-05,adamw-lr1e-5,2,0.4,1563,0.35126471042633056,1196.0847377560167,4.502507839965603,2.3586588048657826,0.0037643719527872175,0.17900743802640845,0.17306050817596721,0.028177497749102307,0.03272283005025138,0.0995410829782486,0.08652079105377197,0.9541015625,0.9721353650093079,0.7112630208333333,0.7216796875,0.08293009549379349,0.42505836486816406,0.48641733328501385,,,,,0.2499358206987381,0.25819873809814453,0.8928571343421936,0.9264880418777466,0.8467261904761905,0.9241071343421936,0.04869846627116203,0.6744150751909332,0.2177667816480001,,,,,0.5863078571428572
dense,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,0.3215904092788696,1196.0159385433587,5.0949285547724035,1.6117535125402367,0.0042599169380448006,0.17901073357359293,0.16695925123232572,0.0281785278018305,0.03165450504916237,0.10339053720235825,0.08959043025970459,0.9609375,0.9768228530883789,0.7080078125,0.724609375,0.08700826019048691,0.42475342750549316,0.48762305577596027,,,,,0.2537778615951538,0.261232852935791,0.8973214030265808,0.9296926856040955,0.8586309523809524,0.9151785969734192,0.051151446998119354,0.6754903750569297,0.2186238964398702,,,,,0.5865364285714286
dense,adamw,1e-05,adamw-lr1e-5,4,0.8,3126,0.29618985176086426,1196.0016899633931,5.375623633224142,0.9895010529650043,0.004494662238636701,0.1790124604548203,0.16600731944535824,0.028179048301582348,0.031516559511662164,0.10525378584861755,0.0916159600019455,0.966796875,0.9799153208732605,0.7067057291666666,0.72265625,0.08833826333284378,0.42632397015889484,0.4891689618428548,,,,,0.25479379296302795,0.2646486163139343,0.8973214030265808,0.9291346669197083,0.8571428571428571,0.9151785969734192,0.05173170194029808,0.6764554421463355,0.21918765703837076,,,,,0.5886421428571429
dense,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,0.3068313813209534,1196.001275531062,5.453681584268393,0.3756683743103209,0.004559929571853331,0.17901325861320777,0.16647423794841704,0.0281792583471951,0.03158732718304995,0.10530799627304077,0.09219416975975037,0.9638671875,0.9784178733825684,0.705078125,0.72265625,0.08840615302324295,0.4259314139684041,0.48793752988179523,,,,,0.25531649589538574,0.26526713371276855,0.8973214030265808,0.9292835593223572,0.8511904761904762,0.9151785969734192,0.05228835716843605,0.6762870480661435,0.21831804513931274,,,,,0.5881114285714286
dense,adamw,1e-06,adamw-lr1e-6,1,0.2,782,0.7871864128112793,1196.2413153307757,0.6953464637466215,,0.0005812760810341595,0.17899529015356525,0.2811589263738158,0.028172726618414894,0.04223943991277785,0.06414230167865753,0.05875605344772339,0.83203125,0.9003372192382812,0.8636067708333334,0.822265625,0.029720010235905647,0.40432969729105633,0.5078542629877726,,,,,0.22023887932300568,0.2392836958169937,0.8794642686843872,0.9192761182785034,0.9479166666666667,0.9866071343421936,0.013267548754811287,0.6612745208055983,0.21354828278223673,,,,,0.5426742857142857
dense,adamw,1e-06,adamw-lr1e-6,2,0.4,1563,0.6482533693313599,1196.2390821083811,1.1317485558220879,0.5225451926756797,0.0009460889321784838,0.17899643522214126,0.3014830973616896,0.02817316933530059,0.04769037480660301,0.0734882801771164,0.06789511442184448,0.873046875,0.9242466688156128,0.8121744791666666,0.7744140625,0.04376291483640671,0.41376694043477374,0.5081577698389689,,,,,0.22605392336845398,0.23999370634555817,0.8794642686843872,0.9198341369628906,0.9107142857142857,0.9732142686843872,0.021273253485560417,0.6675926174283562,0.2171921730041504,,,,,0.5558335714285715
dense,adamw,1e-06,adamw-lr1e-6,3,0.6,2345,0.5724812030792237,1196.2377507621027,1.3769759817611105,0.32184783543490275,0.0011510888875425162,0.178997225571364,0.31067164039069955,0.028173477911853536,0.05042420567217517,0.07817158848047256,0.06972776353359222,0.8857421875,0.9325404167175293,0.7932942708333334,0.7607421875,0.05086836591362953,0.4181325435638428,0.5059845844904581,,,,,0.2292669117450714,0.2441985309123993,0.8794642686843872,0.9186383485794067,0.8958333333333333,0.9732142686843872,0.02569369599223137,0.670068783610391,0.21832126379013062,,,,,0.5613892857142857
dense,adamw,1e-06,adamw-lr1e-6,4,0.8,3126,0.5357206583023071,1196.2369830241573,1.5060368060874993,0.1802307537255287,0.001258978636724765,0.17899769954981012,0.3159366682729619,0.02817366069013422,0.05192830395650736,0.08038723468780518,0.07114895433187485,0.8974609375,0.938292920589447,0.7838541666666666,0.751953125,0.05458705872297287,0.4202888011932373,0.5048797925313314,,,,,0.2311580628156662,0.24855715036392212,0.8839285969734192,0.9222150444984436,0.8943452380952381,0.9732142686843872,0.027857737615704536,0.6713032401730662,0.21892642974853516,,,,,0.5638464285714285
dense,adamw,1e-06,adamw-lr1e-6,5,1.0,3907,0.5428408765792847,1196.2367662754205,1.5462053984489819,0.060905733797561035,0.0012925579969116122,0.1789978321960425,0.3176916750835225,0.028173704367668872,0.05237674168286158,0.08109898865222931,0.07147438824176788,0.904296875,0.9422874450683594,0.77734375,0.7509765625,0.055820100009441376,0.42092378934224445,0.5043528079986572,,,,,0.23161114752292633,0.24780651926994324,0.8794642686843872,0.91998291015625,0.8958333333333333,0.9732142686843872,0.02844681404531002,0.6714274316625211,0.21900004148483276,,,,,0.5649735714285714
