model_family,optimizer,learning_rate_points,wall_time_hours_median,wall_time_hours_min,wall_time_hours_max,samples_per_second_median,samples_per_second_min,samples_per_second_max,throughput_to_adamw_ratio,steps_per_second_median,peak_allocated_gib_median,peak_reserved_gib_median,checkpoint_gib_median,optimizer_state_gib_median,optimizer_state_to_adamw_ratio
dense,adamw,4,3.5224381269979936,3.506307469928223,3.5640556486355814,39.42985310088267,38.96933790639868,39.61115506271675,1.0,0.3081048721302972,7.406286001205444,8.2861328125,1.6690707043744624,1.1103499634191394,1.0
dense,muon,4,3.71230310339804,3.689343033995117,3.740502633500146,37.4138657455337,37.1310763545499,37.645967753366875,0.9488715479058216,0.2923519469356003,6.980319976806641,7.8359375,1.2581370258703828,0.699416290037334,0.6299061674965944
dense,normuon,4,3.7680161699271735,3.5575548800679906,3.7756473691315233,36.859950378297775,36.78545036392956,39.040547109208475,0.934823426402079,0.2880236522560188,6.9729204177856445,7.85546875,1.2586641167290509,0.6999433739110827,0.6303808681685571
late,adamw,4,8.337487018727522,8.291131480347747,8.431273814600168,16.65844948322117,16.473061122552966,16.75149998743761,1.0,0.1301691242618902,37.456459760665894,44.146484375,1.7228805082850158,1.1462540728971362,1.0
late,muon,4,8.383137261733516,8.317460155054771,8.441573708547253,16.567815066761433,16.452961696971414,16.698473608494766,0.9945592525552258,0.12946090693167384,37.048959255218506,46.55859375,1.3119482728652656,0.7353204591199756,0.6414986664007802
late,normuon,4,8.456208910237699,8.396664384374292,8.65535205396125,16.424491398337004,16.046590366630358,16.540959901571522,0.9859555905776337,0.12834097578660533,37.05428075790405,46.595703125,1.3124753506854177,0.7358475429937243,0.6419584980264307
