contrastive_loss_mean,fraction,label,mean_reciprocal_rank,operator,positive_margin_mean,positive_margin_p05,pretrained_top1_agreement,samples,seed,stage,state,step,task,top1_accuracy
1.0165401697158813,0.4,factorial-v3-adamw_state-adamw-seed314159/checkpoint-157,0.8515625,adamw,0.07797974348068237,-0.0961441844701767,0.8125,16,314159,2,adamw_state,157,TRECCOVID,0.75
0.0018968667136505246,0.4,factorial-v3-adamw_state-adamw-seed314159/checkpoint-157,1.0,adamw,0.3207542300224304,0.13974396884441376,1.0,16,314159,2,adamw_state,157,Touche2020,1.0
0.002177884103730321,0.6,factorial-v3-adamw_state-adamw-seed314159/checkpoint-235,1.0,adamw,0.24737690389156342,0.09217627346515656,1.0,16,314159,3,adamw_state,235,ArguAna,1.0
2.44590163230896,0.6,factorial-v3-adamw_state-adamw-seed314159/checkpoint-235,0.6360119581222534,adamw,0.004092223942279816,-0.20094847679138184,0.4375,16,314159,3,adamw_state,235,ClimateFEVER,0.4375
0.06989767402410507,0.6,factorial-v3-adamw_state-adamw-seed314159/checkpoint-235,0.96875,adamw,0.2943190932273865,0.03699628263711929,0.9375,16,314159,3,adamw_state,235,DBPedia,0.9375
4.693848154602165e-07,0.6,factorial-v3-adamw_state-adamw-seed314159/checkpoint-235,1.0,adamw,0.4334588348865509,0.3304097354412079,1.0,16,314159,3,adamw_state,235,FEVER,1.0
0.08213494718074799,0.6,factorial-v3-adamw_state-adamw-seed314159/checkpoint-235,1.0,adamw,0.22861529886722565,0.008552186191082,0.9375,16,314159,3,adamw_state,235,FiQA2018,1.0
0.012198780663311481,0.6,factorial-v3-adamw_state-adamw-seed314159/checkpoint-235,1.0,adamw,0.2919952869415283,0.08091862499713898,1.0,16,314159,3,adamw_state,235,HotpotQA,1.0
3.211119746993063e-06,0.6,factorial-v3-adamw_state-adamw-seed314159/checkpoint-235,1.0,adamw,0.45059922337532043,0.28587931394577026,1.0,16,314159,3,adamw_state,235,MSMARCO,1.0
2.939788341522217,0.6,factorial-v3-adamw_state-adamw-seed314159/checkpoint-235,0.578125,adamw,-0.008535277098417282,-0.17072081565856934,0.5625,16,314159,3,adamw_state,235,NFCorpus,0.4375
3.9710671444481704e-06,0.6,factorial-v3-adamw_state-adamw-seed314159/checkpoint-235,1.0,adamw,0.43348753452301025,0.22454774379730225,1.0,16,314159,3,adamw_state,235,NQ,1.0
2.2351702000378282e-07,0.6,factorial-v3-adamw_state-adamw-seed314159/checkpoint-235,1.0,adamw,0.48998284339904785,0.3211364448070526,1.0,16,314159,3,adamw_state,235,QuoraRetrieval,1.0
1.7803781032562256,0.6,factorial-v3-adamw_state-adamw-seed314159/checkpoint-235,0.840624988079071,adamw,0.10287227481603622,-0.21873976290225983,0.875,16,314159,3,adamw_state,235,SCIDOCS,0.8125
0.015901049599051476,0.6,factorial-v3-adamw_state-adamw-seed314159/checkpoint-235,1.0,adamw,0.27512046694755554,0.12477518618106842,0.9375,16,314159,3,adamw_state,235,SciFact,1.0
