adamw_ndcg_at_10,muon_minus_adamw,muon_ndcg_at_10,normuon_minus_adamw,normuon_minus_muon,normuon_ndcg_at_10,task
0.572815,-0.03235499999999991,0.54046,-0.023424999999999918,0.008929999999999993,0.54939,ArguAna
0.36222,0.05632000000000004,0.41854,0.05030000000000001,-0.006020000000000025,0.41252,ClimateFEVER
0.2752875,-0.012632500000000046,0.26265499999999997,-0.011250000000000038,0.0013825000000000087,0.2640375,DBPedia
0.8968825,0.024329999999999963,0.9212125,0.024379999999999957,4.999999999999449e-05,0.9212625,FEVER
0.5309475,0.006950000000000012,0.5378975,0.0010899999999999244,-0.005860000000000087,0.5320374999999999,FiQA2018
0.6737825,-0.012014999999999887,0.6617675000000001,-0.011822499999999958,0.00019249999999992884,0.66196,HotpotQA
0.54648,0.018615000000000048,0.565095,0.01895750000000007,0.00034250000000002334,0.5654375,MSMARCO
0.286785,-0.01635000000000003,0.270435,-0.016172500000000034,0.0001774999999999971,0.2706125,NFCorpus
0.936395,0.0036275000000000057,0.9400225,4.750000000008914e-05,-0.0035799999999999166,0.9364425000000001,NQ
0.9140874999999999,-0.008019999999999916,0.9060675,-0.006022499999999931,0.0019974999999999854,0.908065,QuoraRetrieval
0.14575749999999998,-0.007574999999999998,0.13818249999999999,-0.008924999999999988,-0.00134999999999999,0.1368325,SCIDOCS
0.8719975,-0.007457500000000006,0.86454,-0.002562500000000023,0.004894999999999983,0.869435,SciFact
0.8095,-0.00046250000000003233,0.8090375,0.006502499999999967,0.006964999999999999,0.8160025,TRECCOVID
0.3189825,0.008992500000000014,0.327975,0.007919999999999983,-0.0010725000000000318,0.3269025,Touche2020
