baseline_margin,baseline_shortlist_ndcg,learning_rate,margin_absolute_attribution_participation_ratio,margin_degrading_attribution_mass,margin_degrading_coordinate_fraction,margin_helpful_attribution_mass,margin_helpful_attribution_participation_ratio,margin_helpful_mass_share,ndcg_absolute_attribution_participation_ratio,ndcg_degrading_attribution_mass,ndcg_degrading_coordinate_fraction,ndcg_helpful_attribution_mass,ndcg_helpful_attribution_participation_ratio,ndcg_helpful_mass_share,optimizer,rotation_seed,run_id,step,task
0.2155685479560756,1.0,1e-06,0.5594717470162477,0.09111582133240673,0.4778645833333333,0.09978816024546394,0.3161566458924366,0.5227138764770071,0.0,0.0,0.0,0.0,0.0,0.0,adamw,,verified-v3-adamw-1e-6,3126,ArguAna
0.008985419592097246,0.7453634025471818,1e-06,0.5756402822550821,0.10915619838004832,0.4674479166666667,0.11909161872381904,0.31755998457619083,0.5217645462502922,0.3849181118615868,2.4337679658315237,0.39453125,0.0,0.0,0.0,adamw,,verified-v3-adamw-1e-6,3126,ClimateFEVER
0.2720325368725385,1.0,1e-06,0.6129714854513003,0.10342664860325029,0.4778645833333333,0.11865358181449563,0.3043882133732309,0.5342825049816514,0.07031250000000003,0.0,0.0,1.245612081696331,0.07031250000000003,1.0,adamw,,verified-v3-adamw-1e-6,3126,DBPedia
0.3575087328006553,1.0,1e-06,0.5538582821316901,0.10960691718030452,0.4947916666666667,0.11376532424437617,0.29706548263987925,0.5093082449223527,0.0,0.0,0.0,0.0,0.0,0.0,adamw,,verified-v3-adamw-1e-6,3126,FEVER
0.20674001420980964,0.9769331095982161,1e-06,0.5875032545976252,0.09646649699193069,0.4791666666666667,0.12330265011888668,0.3059748690137619,0.561055324370495,0.0,0.0,0.0,0.0,0.0,0.0,adamw,,verified-v3-adamw-1e-6,3126,FiQA2018
0.2740427041513358,1.0,1e-06,0.5783984843523595,0.1054483404809999,0.4739583333333333,0.12277275078775883,0.31675281076749384,0.5379553226444731,0.0,0.0,0.0,0.0,0.0,0.0,adamw,,verified-v3-adamw-1e-6,3126,HotpotQA
0.3632370930961503,1.0,1e-06,0.5961945072646148,0.1056812004518707,0.50390625,0.10744120466669443,0.2875415376739588,0.5041290924195525,0.0,0.0,0.0,0.0,0.0,0.0,adamw,,verified-v3-adamw-1e-6,3126,MSMARCO
0.006176700311100071,0.6971073569752838,1e-06,0.5914950414024045,0.11206145859176159,0.5052083333333334,0.11861486997898943,0.29232589552125937,0.5142047765105161,0.34925961341020223,1.2015588236089627,0.078125,2.4443719702279303,0.3360902071445585,0.6704383896589353,adamw,,verified-v3-adamw-1e-6,3126,NFCorpus
0.3697171428123308,1.0,1e-06,0.4694749603777669,0.11896867072640915,0.4921875,0.12130517718947176,0.2971447409620214,0.5048621738972621,0.0,0.0,0.0,0.0,0.0,0.0,adamw,,verified-v3-adamw-1e-6,3126,NQ
0.4740049899037901,1.0,1e-06,0.5812907419649838,0.1014240121834724,0.5104166666666666,0.10192115666913726,0.30128443030660274,0.5012224152864561,0.0,0.0,0.0,0.0,0.0,0.0,adamw,,verified-v3-adamw-1e-6,3126,QuoraRetrieval
0.09733905784188036,0.8575062653016419,1e-06,0.5748178554027291,0.11197812038763752,0.5052083333333334,0.11339044522562067,0.2850812464611257,0.5031333669674385,0.18222610741410866,0.6991454922065536,0.22526041666666666,0.0019153512579074654,0.0013020833333333335,0.0027320756475890107,adamw,,verified-v3-adamw-1e-6,3126,SCIDOCS
0.2644531505901022,0.9769331095982161,1e-06,0.5506520510126905,0.10884909376184027,0.4830729166666667,0.12845133545457466,0.3011039947129519,0.5413025837278562,0.0,0.0,0.0,0.0,0.0,0.0,adamw,,verified-v3-adamw-1e-6,3126,SciFact
0.059991310664691225,0.8880158835937564,1e-06,0.5914836600437684,0.10542312228365291,0.4921875,0.10976275322946458,0.2855062394899739,0.5100834474741052,0.0,0.0,0.0,0.0,0.0,0.0,adamw,,verified-v3-adamw-1e-6,3126,TRECCOVID
0.26715927383366317,1.0,1e-06,0.5887759340729842,0.10123205237380635,0.484375,0.11700458751686608,0.3136125756051428,0.5361363132033217,0.0,0.0,0.0,0.0,0.0,0.0,adamw,,verified-v3-adamw-1e-6,3126,Touche2020
