model_family,learning_rate,stage,step,muon_run_id,normuon_run_id,muon_reference_displacement_frobenius_norm,normuon_reference_displacement_frobenius_norm,normuon_to_muon_displacement_ratio,muon_reference_delta_row_cv_parameter_weighted,normuon_reference_delta_row_cv_parameter_weighted,normuon_to_muon_row_cv_ratio,muon_reference_delta_top_1pct_row_energy_parameter_weighted,normuon_reference_delta_top_1pct_row_energy_parameter_weighted,normuon_to_muon_top_1pct_row_energy_ratio
dense,0.0001,1,782,muon-lr1e-4,normuon-lr1e-4,4.848655001789519,4.8273551646677495,0.9956070627598977,0.20103530968753572,0.08226879695081775,0.4092256085693908,0.028682474828858107,0.019750939970985454,0.6886065476858215
dense,0.0001,2,1563,muon-lr1e-4,normuon-lr1e-4,7.097799397819449,7.089533347950005,0.9988354066653415,0.20033739448430385,0.08521906731719958,0.42537773607650853,0.028658611665076432,0.0203379768290542,0.7096637152817207
dense,0.0001,3,2345,muon-lr1e-4,normuon-lr1e-4,8.172163455707885,8.172898746203119,1.0000899750108059,0.19835613366654692,0.08656549126029334,0.4364144917535905,0.02856550550705848,0.02049352077488354,0.7174219538953943
dense,0.0001,4,3126,muon-lr1e-4,normuon-lr1e-4,8.657412821540634,8.66236528510254,1.0005720489092982,0.19748378778623546,0.08844638078966562,0.4478665402417924,0.028684656461949815,0.0207374421207304,0.7229454586021836
dense,0.0001,5,3907,muon-lr1e-4,normuon-lr1e-4,8.78594540658392,8.79275890675097,1.000775499943574,0.19723740567697243,0.0894318120902713,0.45342216798744134,0.028766291577090077,0.02086244247365683,0.7252392063727813
dense,0.0003,1,782,muon-lr3e-4,normuon-lr3e-4,12.943380305190995,12.931362397670865,0.9990715016296546,0.1823371351163655,0.04643149442851225,0.25464639662611893,0.02350316070677603,0.014886738595497958,0.6333930479063639
dense,0.0003,2,1563,muon-lr3e-4,normuon-lr3e-4,18.525389401635348,18.530470283561232,1.0002742658637684,0.17693066282725747,0.04524456945193164,0.25571921072892395,0.022803272820391598,0.014724536993127455,0.6457203362475313
dense,0.0003,3,2345,muon-lr3e-4,normuon-lr3e-4,21.06721477303953,21.091873066283025,1.0011704581506926,0.17249186129314217,0.04613253323829429,0.2674475937151268,0.02250312953529989,0.014836024607526746,0.65928717089123
dense,0.0003,4,3126,muon-lr3e-4,normuon-lr3e-4,22.135353429015666,22.16984144508605,1.0015580512947753,0.16972097186720309,0.047703922860682965,0.2810726472743071,0.022384634084581214,0.0150492789876214,0.6723039979459621
dense,0.0003,5,3907,muon-lr3e-4,normuon-lr3e-4,22.377398140504052,22.41529996781682,1.0016937548804732,0.16869763267490476,0.048457204931998316,0.28724294563978636,0.022371091048188387,0.015136617569521787,0.6766150804588296
dense,0.001,1,782,muon-lr1e-3,normuon-lr1e-3,40.142250793117434,40.17975980705533,1.000934402361522,0.176183279429408,0.030906106260689823,0.17542020083167476,0.021551848630754548,0.01261015660702226,0.5851078867094274
dense,0.001,2,1563,muon-lr1e-3,normuon-lr1e-3,56.9042480053044,57.03948796904235,1.0023766233361935,0.1681716227156912,0.03242417491155672,0.19280407947524308,0.020889310597038684,0.012864147766149617,0.6158244287857575
dense,0.001,3,2345,muon-lr1e-3,normuon-lr1e-3,64.25932067271945,64.46287662059095,1.0031677264207044,0.1618952919445175,0.03480717670770093,0.2149980786323889,0.020469698898075896,0.013207724429965815,0.645232960960032
dense,0.001,4,3126,muon-lr1e-3,normuon-lr1e-3,67.11712841239304,67.36347323481237,1.0036703719042581,0.15760024083668694,0.036829625246398906,0.23369015840885396,0.02023557471709057,0.013475422356476918,0.6659273356390437
dense,0.001,5,3907,muon-lr1e-3,normuon-lr1e-3,67.66152058869916,67.92396441081374,1.0038787751122225,0.15594676727638207,0.037698533216660675,0.24173975437303,0.020161881609595714,0.013587935914828337,0.6739418561192911
dense,0.003,1,782,muon-lr3e-3,normuon-lr3e-3,116.55506141218706,116.42295718164354,0.9988665937888673,0.17150524547971027,0.0295112487874965,0.17207198943071272,0.020793184331732797,0.012361391833460427,0.5944924854340621
dense,0.003,2,1563,muon-lr3e-3,normuon-lr3e-3,164.1034339790859,164.15166511308468,1.0002939069148602,0.16156084401742182,0.03270894819920395,0.20245591311516542,0.020021365589417396,0.012746025875390053,0.6366212044061152
dense,0.003,3,2345,muon-lr3e-3,normuon-lr3e-3,184.30066501019758,184.3250100865618,1.0001320943489969,0.1548380220338782,0.03594303259596149,0.232133116425998,0.01966269139977381,0.013182560763854713,0.6704352164122537
dense,0.003,4,3126,muon-lr3e-3,normuon-lr3e-3,191.63853448109015,191.7342179699939,1.0004992914872932,0.15039134262637657,0.03833171158511052,0.25487977509675924,0.019458634963129613,0.013488758616846673,0.6932016887312644
dense,0.003,5,3907,muon-lr3e-3,normuon-lr3e-3,192.8405742155307,192.96933155382465,1.0006676880050671,0.14858307234723778,0.03933363479567084,0.26472487191372895,0.019378783898477886,0.013614783770738438,0.7025613083908644
late,0.0001,1,782,muon-lr1e-4,normuon-lr1e-4,4.976491254186563,4.959326555289357,0.9965508431502283,0.20413051742343183,0.08342879001589064,0.40870317221032026,0.028370778424974114,0.019766289354824926,0.6967129720143715
late,0.0001,2,1563,muon-lr1e-4,normuon-lr1e-4,7.329867334343591,7.336086478912616,1.0008484661843586,0.20320283482100238,0.08808165383749308,0.4334666586471719,0.028492772934290974,0.020412735892509554,0.716418017284056
late,0.0001,3,2345,muon-lr1e-4,normuon-lr1e-4,8.475278337047012,8.490970661541017,1.001851540901661,0.20192543415223213,0.09013321341319198,0.44636879842110583,0.028514881595909435,0.020608661043890975,0.7227335303698881
late,0.0001,4,3126,muon-lr1e-4,normuon-lr1e-4,8.988994005446164,9.011462129382501,1.0024995148425646,0.2012966963497394,0.09222343387729663,0.4581467830801587,0.028677632322505038,0.020881868390874428,0.7281587320752134
late,0.0001,5,3907,muon-lr1e-4,normuon-lr1e-4,9.1281804024843,9.153441726288282,1.0027673997105826,0.20120310376990924,0.09331460967460736,0.4637831520796,0.028789135445666345,0.02102527957419581,0.7303199366259804
late,0.0003,1,782,muon-lr3e-4,normuon-lr3e-4,13.266554866421592,13.262053561891738,0.999660702829395,0.18633605089576485,0.04858999915002661,0.2607654230968302,0.023626814220339697,0.015134603370299793,0.6405689412528082
late,0.0003,2,1563,muon-lr3e-4,normuon-lr3e-4,18.961414944086815,18.97776815911312,1.0008624469784837,0.18128171869937112,0.04830993516719278,0.2664909374966135,0.023192794971108276,0.015168536100835404,0.6540193245243253
late,0.0003,3,2345,muon-lr3e-4,normuon-lr3e-4,21.61059825625735,21.643134673070367,1.0015055768668317,0.17786896534084795,0.04987240087161249,0.2803884352508751,0.023096211852236866,0.01536793306091412,0.6653876037868841
late,0.0003,4,3126,muon-lr3e-4,normuon-lr3e-4,22.704073498124984,22.746698185092676,1.0018774026154915,0.1754994111802967,0.051522117904960155,0.2935743063663597,0.023054025285344393,0.015603925776294368,0.6768417047852331
late,0.0003,5,3907,muon-lr3e-4,normuon-lr3e-4,22.95379809304053,23.002433356617175,1.0021188329434418,0.17467859686715878,0.05230691366614824,0.29944660996977834,0.023068126970852282,0.0157006035389548,0.6806189145218982
late,0.001,1,782,muon-lr1e-3,normuon-lr1e-3,40.79487259805461,40.79495161942178,1.0000019370416462,0.17837373915820676,0.0315349030004625,0.17679117536742864,0.021581216516062856,0.012704576213749494,0.5886867500862847
late,0.001,2,1563,muon-lr1e-3,normuon-lr1e-3,57.815799600510765,57.86412368885016,1.0008358284184133,0.17169970463722306,0.03287263668794683,0.1914542413302458,0.021118465733818988,0.0129281364451038,0.6121721439451332
late,0.001,3,2345,muon-lr1e-3,normuon-lr1e-3,65.32224954440042,65.42436431246568,1.0015632463483342,0.16658939151740806,0.03498728007556283,0.21002105690449543,0.020852753240117095,0.0132326757246479,0.6345769104096296
late,0.001,4,3126,muon-lr1e-3,normuon-lr1e-3,68.22003825123912,68.35363349408917,1.0019582991489693,0.1629752973592616,0.03682771472529294,0.22597114606951865,0.020685828365584746,0.013503161102114993,0.6527735251144382
late,0.001,5,3907,muon-lr1e-3,normuon-lr1e-3,68.78406796977958,68.93006620963648,1.0021225589611977,0.16162208491627544,0.037618793407704104,0.23275775354087064,0.02064246443762658,0.013608840993919315,0.6592643545561088
late,0.003,1,782,muon-lr3e-3,normuon-lr3e-3,117.8230410867254,117.60414514158367,0.9981421635095923,0.1761454641918607,0.029347293437483477,0.16660828351230147,0.020749903846791085,0.012314375895847452,0.5934666486539809
late,0.003,2,1563,muon-lr3e-3,normuon-lr3e-3,165.58402867065456,165.51188864735863,0.9995643298216919,0.16726916636972822,0.03217499633444184,0.19235461641103005,0.020162718365576496,0.012665151613440744,0.6281470277868765
late,0.003,3,2345,muon-lr3e-3,normuon-lr3e-3,185.84223415724168,185.9304608227194,1.0004747395869287,0.1609839389130553,0.03495021208244212,0.21710372052281648,0.01984470013658551,0.0130397964986091,0.6570921409172139
late,0.003,4,3126,muon-lr3e-3,normuon-lr3e-3,193.22504338965626,193.42121257899336,1.0010152368755922,0.1569427663091829,0.037134250630948315,0.23661014460387744,0.019674519096864736,0.013340984406397942,0.6780843964071231
late,0.003,5,3907,muon-lr3e-3,normuon-lr3e-3,194.4410872144229,194.66693073045366,1.0011615009937775,0.15537475351303975,0.03808194132930136,0.2450973563482136,0.019617752331423568,0.01347022355200454,0.6866343974802881
