model_family,learning_rate,stage,step,muon_run_id,normuon_run_id,muon_reference_displacement_frobenius_norm,normuon_reference_displacement_frobenius_norm,normuon_to_muon_displacement_ratio,muon_reference_delta_row_cv_parameter_weighted,normuon_reference_delta_row_cv_parameter_weighted,normuon_to_muon_row_cv_ratio,muon_reference_delta_top_1pct_row_energy_parameter_weighted,normuon_reference_delta_top_1pct_row_energy_parameter_weighted,normuon_to_muon_top_1pct_row_energy_ratio
dense,0.0001,5,3907,muon-lr1e-4,normuon-lr1e-4,8.78594540658392,8.79275890675097,1.000775499943574,0.19723740567697243,0.0894318120902713,0.45342216798744134,0.028766291577090077,0.02086244247365683,0.7252392063727813
dense,0.0003,5,3907,muon-lr3e-4,normuon-lr3e-4,22.377398140504052,22.41529996781682,1.0016937548804732,0.16869763267490476,0.048457204931998316,0.28724294563978636,0.022371091048188387,0.015136617569521787,0.6766150804588296
dense,0.001,5,3907,muon-lr1e-3,normuon-lr1e-3,67.66152058869916,67.92396441081374,1.0038787751122225,0.15594676727638207,0.037698533216660675,0.24173975437303,0.020161881609595714,0.013587935914828337,0.6739418561192911
dense,0.003,5,3907,muon-lr3e-3,normuon-lr3e-3,192.8405742155307,192.96933155382465,1.0006676880050671,0.14858307234723778,0.03933363479567084,0.26472487191372895,0.019378783898477886,0.013614783770738438,0.7025613083908644
late,0.0001,5,3907,muon-lr1e-4,normuon-lr1e-4,9.1281804024843,9.153441726288282,1.0027673997105826,0.20120310376990924,0.09331460967460736,0.4637831520796,0.028789135445666345,0.02102527957419581,0.7303199366259804
late,0.0003,5,3907,muon-lr3e-4,normuon-lr3e-4,22.95379809304053,23.002433356617175,1.0021188329434418,0.17467859686715878,0.05230691366614824,0.29944660996977834,0.023068126970852282,0.0157006035389548,0.6806189145218982
late,0.001,5,3907,muon-lr1e-3,normuon-lr1e-3,68.78406796977958,68.93006620963648,1.0021225589611977,0.16162208491627544,0.037618793407704104,0.23275775354087064,0.02064246443762658,0.013608840993919315,0.6592643545561088
late,0.003,5,3907,muon-lr3e-3,normuon-lr3e-3,194.4410872144229,194.66693073045366,1.0011615009937775,0.15537475351303975,0.03808194132930136,0.2450973563482136,0.019617752331423568,0.01347022355200454,0.6866343974802881
