baseline,conditioned_on_displacement,feature,columns,pooled_baseline_mse_exact,pooled_feature_mse_exact,pooled_baseline_rmse,pooled_feature_rmse,pooled_rmse_reduction,improved_folds,defined_folds,total_folds,diagnostic_flag
B0_original,False,log_saved_segment_to_weight_ratio,8,23696011219235937530503270871374963898766999378216615133960983480874038276123721642977076202769109790277915855169005104092864018790193139333/28072334451742607100296247089711208275220007764279143986660778472371516242531009806621332986798203498156641387614517790120713864879761564631040,16406062864563318124392737647572874067423447818216575306714495811562681056975111385188065979585299696377220592590471943417154370918682382001849209214676017363869146288657697883403940375203197274123407939776402233694191050743662454550438679089478997913754013524581607357335870605461501885347607535923965035455984201504892204154949823446457438022739262408742293419317007038660000751226813205727386364040785615033483479498288191817483188164634833906175206971159061942155387809988851945815799425417900802843/30733868394385248933853850192305755142027272337493575500884188804610740611681390766136792295602430132326419458376659829350081615661676606521757574410020446566067325628299337977422378151125010185886746518954488940474366636308861923017749373358268434031427095562369304149887748171218541950656918881606214290215558877289912063195908026166483339993264126115306621081843810351286034000040152459393983347025683685221883207894964408440737235519711214062733196861342862479858562805612162095920765967384140840960000,0.02905349334322608,0.02310434027127747,0.005949153071948608,3,4,4,True
B0_original,False,saved_segment_stable_rank_fraction,8,23696011219235937530503270871374963898766999378216615133960983480874038276123721642977076202769109790277915855169005104092864018790193139333/28072334451742607100296247089711208275220007764279143986660778472371516242531009806621332986798203498156641387614517790120713864879761564631040,30868912599668148453964226371648576066830608263718553575852327575733941936713220070615245893019485226148704332574350031546704939879794630441222398928258631390535333052904266417432999062052489604040048426873285371755115900302226827369477886141550300504917641962952554543727904027613721324159704157360952714667302224193844837062947313014325669408301209592442372830320142690960016377330439168686530680599805334718923676447820686488522182230071239561819575530049860041456397133745166654929920920929323603431822075918771679747566592849/33889514585449256935736327265012845116905749901055700934221133122549306508182278342252962603999185769921732277709342283915066910571606530678681723268622918184886980560686941584606252383471099335344973926449617003014542729459726861096411443875052399355897066741191915138293885342881114537107396076414899992847317468688516867051687716110851777100279471615822180983442856279398853667699356164696294798507920561192148040251985271308378334537821273017318856331177185536069617897033876030566466086272523437569707336491923396017971527680000,0.02905349334322608,0.03018060847673336,-0.0011271151335072785,0,4,4,False
B0_original,False,saved_segment_sketch_effective_rank_fraction,8,23696011219235937530503270871374963898766999378216615133960983480874038276123721642977076202769109790277915855169005104092864018790193139333/28072334451742607100296247089711208275220007764279143986660778472371516242531009806621332986798203498156641387614517790120713864879761564631040,246263403794170874383185293971425834625764425384997954078030169695400624702654023002426184937264116068358825026838114714021454076753170989906334223734282591390758901966046410517402874801459907183136715308188695969169952619148280922408712696458650931486387390461609121792303793552767344916609295092748752728037380386064772373183213965459391690195078633996529756535941492192930922637507471053049585482342827250567951325316730206438002802348710928599880728124836233271885091040505958328857508021599/433164601518915602023410975964439350983442716094345472610947823678919611436968871305741566794687066602800560987361836993327662858692329317497618791733499423614371695375394131849922815353570009241532871097894700367501909145063249248148865410107629168797696813192183764586209678710033662110550253620418455328184651721734507457545355684467521360240132387358180499245843838800728638001469054767362528114054778594079966096088018871088640337188692608283950865533173081550397605447194327634556081217208320,0.02905349334322608,0.023843689608533093,0.005209803734692987,3,4,4,True
B0_original,False,saved_segment_row_norm_cv,8,23696011219235937530503270871374963898766999378216615133960983480874038276123721642977076202769109790277915855169005104092864018790193139333/28072334451742607100296247089711208275220007764279143986660778472371516242531009806621332986798203498156641387614517790120713864879761564631040,25862065173603594799385749031837312792092085792888228484063049959319867175313164657129986559506398215090965392704619927964172384537474099927295387739361423903949848023269157337203256732393289174804086442017717106697438401592785268515947411918835483280666300909629059853911939247744566507558764931812513581239812727128529905380585723719643236314728794783166462432304041719208787514209040116606304114637804619685315465417412123637221198590629411481531450159306303205914840158664669595286754590716600255242804567405482957750778939/45802052163113958257044331110259891602689177013350433970202908187024356242599150931596213169035494059844191346331126202256216807155017627607519145675984255709667710668274103955316198017225380709021681831585797468928695590936269855709601232728899639390238787601591979734860665423574856542806850316452736700739330510567714258046708617196331567767386624783237359499218102872505902961176091580037609058594223171948159474150137134051445443785935577440350108653216107234570814423163459201789002346767143636775757705127445941478385254400,0.02905349334322608,0.023762335993038862,0.005291157350187217,3,4,4,True
B0_original,False,saved_segment_top_1pct_row_energy,8,23696011219235937530503270871374963898766999378216615133960983480874038276123721642977076202769109790277915855169005104092864018790193139333/28072334451742607100296247089711208275220007764279143986660778472371516242531009806621332986798203498156641387614517790120713864879761564631040,4206282359710709999273851431655610861208167640748203347208573215047287099483502044441972991373875516415924115893970537511580400621848184373189624377070895760804384526608952167643873101296020283492874557368901758598737888181464892529634717529220011772801640582691152058714580184976606889289937939512054181269752738291907919890574559266332196094429401262946497582068951499131791194188072107058407177690826492398502701429429548890707192676610134751153836918550282874542155375473119294575081343182628143735190364330224888637/7203356604173646172090472761745530585597861675672530570051870539371045366023856163568947486786559212008950491706192744486759739970681879644728629200995806404382432922176613068351757372346033174473094586869579189048825609790681360640443444911732190818295171049791831253877453308686854249225597440141643962986997901189584193157046555826737136868184253337108602040614721258551370790745219692261406817949038971361141719892519546198528993735226168233441098643330031317422047845189031171496222367660120835007320829014457712640000,0.02905349334322608,0.024164719247865455,0.004888774095360624,3,4,4,True
B0_original,False,cumulative_displacement_to_weight_ratio,8,23696011219235937530503270871374963898766999378216615133960983480874038276123721642977076202769109790277915855169005104092864018790193139333/28072334451742607100296247089711208275220007764279143986660778472371516242531009806621332986798203498156641387614517790120713864879761564631040,8383070049504824315631634345986125800994428686071633639035628712288900182139073791564952864562669574424059605766444978830384776877722791442685824066226483847723931687999604354485275857343693534892406383769456620739789344900254417541880239184546379368901958359848780766968281377243779815023648435219569297540731330484860543335006294282575115234600860791152390818508322252275485010315793732333759360047686205780975367308899840008928680838184167881022127713619863067874731064641094681950718051604286823453184212606997034171144913586118993049806598970197/83168251038651274289475822118886338723772431604352208764730503382525091799893937604114643475906145737819582802010512022768592490558565948779290687211387615097024734832454133339337779698876395321102777624767869520694829132603471514872244090730795521879679266061016417508573863170487214841057119557187074904030009837704825404752827821000466170744063399159924887751606995040870336727419066490452926503646285216427268952270206937912433651244808230393093092505305835584617158918461212900527036637351650608223324829654074895586745181328030336674737256157675520,0.02905349334322608,0.010039746871231266,0.019013746471994813,4,4,4,True
B0_original,False,cumulative_stable_rank_fraction,8,23696011219235937530503270871374963898766999378216615133960983480874038276123721642977076202769109790277915855169005104092864018790193139333/28072334451742607100296247089711208275220007764279143986660778472371516242531009806621332986798203498156641387614517790120713864879761564631040,165608498762926746736597666760768288358913939202363949173794770728662600003469948768704721036286658873086890851731328528392907321115274818464455227327474706371017527973175133001601089636757543316576572960909604506299781638695445118050159942803530649799047519736045458974486839626310681616759121086701817310421210373468086095250860209006985167670174947862924923530798109075577685725381531869947558870483156864926678001848257562188921486531774547033027961280762127435057682437387391984154144354862916965393360240857663698691357353395504868663/156144081977203374804388936979012760239650987244449920870234448346027083876823226578966695362763633744152030994289958146327213674412861451329954461630347768812670648352080048132804843507729485967746203353043092475649840978909239154528893959243094316627874439637989997537275846281331087637291316746401922317466613435539981214929753124278122429458764129490033779445989409069300703782245857726577844506976848049286268238919601923756287150841597734980056624904770127741100838797224285225076322658283842960982888241147595869748658842691506169446400,0.02905349334322608,0.0325670593656859,-0.0035135660224598227,0,4,4,False
B0_original,False,mean_saved_segment_subspace_overlap_to_adamw,8,23696011219235937530503270871374963898766999378216615133960983480874038276123721642977076202769109790277915855169005104092864018790193139333/28072334451742607100296247089711208275220007764279143986660778472371516242531009806621332986798203498156641387614517790120713864879761564631040,3468103607018275247069771127221098413712841525067752703139026105317474012588216455633180167694512289342340193811278270178447996301654874053165972916335280786563045066501639372626878179268947375652087440238124356120792205372447951450627096289769855432560142931962645050247863474399317032839717953776499628829765196149022439784625235459843001779873232864031753346036737300635356856504974410761864107225811272436054799703145619864179384232638495106005854268177211700090205433524074579350996781332572544261684744834551389593618505762777/3509203196657231784193234502441019597400276472310986909704248621338051417155481926218231584551153957609410944695374284888791759831208879026554129114740303603216284029668608809770386951594567615158995369006117498754937995556372830135067615940087095662880088392678380929080021028499866339209518942087072305812153540222303438037670899831105362597531553328629298773861555272159664125835623341086589437552957337432234487282182720685787082789515227658542462121066605152057078660022458134627626130797148256441485206357041136340985446400000000,0.02905349334322608,0.031437049105794604,-0.002383555762568527,1,4,4,False
B0_original,False,mean_cumulative_subspace_overlap_to_adamw,8,23696011219235937530503270871374963898766999378216615133960983480874038276123721642977076202769109790277915855169005104092864018790193139333/28072334451742607100296247089711208275220007764279143986660778472371516242531009806621332986798203498156641387614517790120713864879761564631040,156807269381561874457625025314821524889155639116458192586919614093425093979405993642048351910004195658087676650490020884082959603188212934218865281121000327804496170456504379965662805044439251493746621434503643106660902902357984739578009443774490761351422109362877756511675478885625193323967009080938317499440839355806947772558818783379946289948354654205707559135169407814584220881333583529686463428381778947646725717754866409096816592786527001085342105745834599949420845545551410732703561168138774358958072781632302421470143009/111927888992208121936554129949080829737973916033919092874788531409470409790637698142140330511422198116660092494387455891196287700191195979664107019649861631610508319828020937340061612022122744501919188346177717388753679693074301093305589061910112254287982625123423261072015691730774311736376721327158757894395450410669764930914956512363446380479621459065186255626557373900888881824720238526800952381529151276085591106035290939545937131479544240340328233965446913814407217702725877576582435973377621968598022348188075941415574568960,0.02905349334322608,0.03742949258721918,-0.008375999243993099,0,4,4,False
B0_original,False,exact_nonzero_saved_segment_stable_rank_fraction,8,23696011219235937530503270871374963898766999378216615133960983480874038276123721642977076202769109790277915855169005104092864018790193139333/28072334451742607100296247089711208275220007764279143986660778472371516242531009806621332986798203498156641387614517790120713864879761564631040,45443526552667284351255881820939228906933931956229435459065233186963555031945475935187679553479990011427651388450306493643397917760514128835346173455392761915647812073652877588311501462209829739991406172693782761189971575330656053128735682306004430197812537012705149264042393880378802500434068858746614615039550344443424851026851704447483178749187158810964530241341699411063864848322108780050390691000844510508873874236909167256447003487183819743054710140837624898891193612960127703687871899716966138622894659507728692151/50142205970587206826087269824938330947070532742499073769678545047727523772795153145275943209652892645873292424192798683630337533554879234374211227183105899238836755943908138001749762878117898915231380018832496130610613926958117650864073398269703825960742660517619470753165177361065731244744984697006460256387793786276002568070469476400661531084329051406049634722849105765918140048134053841462617093696349439938395745057637562818242229784514716719660831429850297096649465025942729443652804358659884816715149075012848189440000,0.02905349334322608,0.03010469939644793,-0.00105120605322185,0,4,4,False
