baseline_margin,baseline_shortlist_ndcg,learning_rate,margin_absolute_attribution_participation_ratio,margin_degrading_attribution_mass,margin_degrading_coordinate_fraction,margin_helpful_attribution_mass,margin_helpful_attribution_participation_ratio,margin_helpful_mass_share,ndcg_absolute_attribution_participation_ratio,ndcg_degrading_attribution_mass,ndcg_degrading_coordinate_fraction,ndcg_helpful_attribution_mass,ndcg_helpful_attribution_participation_ratio,ndcg_helpful_mass_share,optimizer,rotation_seed,run_id,step,task
0.23957443218798563,1.0,1e-05,0.5841569829431359,0.09748029457165978,0.4986979166666667,0.09846993196776405,0.3057534964406701,0.5025252264658779,0.0,0.0,0.0,0.0,0.0,0.0,adamw,314159,verified-v3-adamw-1e-5,3907,ArguAna
0.012751652966852529,0.776420812514897,1e-05,0.5868346126489623,0.103895512212452,0.4934895833333333,0.1039134352327605,0.3082280908114132,0.5000431237935826,0.15111521377675002,0.778802349338192,0.2903645833333333,0.48624336513681793,0.03070317897394039,0.3843682165577767,adamw,314159,verified-v3-adamw-1e-5,3907,ClimateFEVER
0.30419884026720656,1.0,1e-05,0.5968165541030929,0.099938552643178,0.4986979166666667,0.11588079898461652,0.30570802950124215,0.5369342374101206,0.0,0.0,0.0,0.0,0.0,0.0,adamw,314159,verified-v3-adamw-1e-5,3907,DBPedia
0.4115340850335541,1.0,1e-05,0.6125900878083627,0.11019971503220603,0.49609375,0.11348962830613818,0.30600669180405,0.507353755044459,0.0,0.0,0.0,0.0,0.0,0.0,adamw,314159,verified-v3-adamw-1e-5,3907,FEVER
0.22188416704637787,0.9769331095982161,1e-05,0.5872900811073282,0.11544062067435384,0.4856770833333333,0.11628557450218027,0.30130765717050073,0.5018231728769005,0.0,0.0,0.0,0.0,0.0,0.0,adamw,314159,verified-v3-adamw-1e-5,3907,FiQA2018
0.3035783062612313,1.0,1e-05,0.5921439860355601,0.11829417108133289,0.50390625,0.11858568427926637,0.28785812999020205,0.5006153186759796,0.0,0.0,0.0,0.0,0.0,0.0,adamw,314159,verified-v3-adamw-1e-5,3907,HotpotQA
0.4410899638366744,1.0,1e-05,0.6199386133150201,0.09605727545799617,0.4934895833333333,0.11533867209589883,0.3102840626692207,0.5456049343921007,0.0,0.0,0.0,0.0,0.0,0.0,adamw,314159,verified-v3-adamw-1e-5,3907,MSMARCO
0.0028906528922687906,0.7190574688428424,1e-05,0.6193487578615343,0.09486612812750028,0.4309895833333333,0.12872478624654815,0.3562750389695596,0.5757156394611036,0.025174397521704087,0.057687024962767716,0.05078125,0.0019153512579074654,0.0013020833333333335,0.03213548484738195,adamw,314159,verified-v3-adamw-1e-5,3907,NFCorpus
0.4256722070830016,1.0,1e-05,0.587141490519394,0.10709681135553353,0.4661458333333333,0.13317786413288216,0.31357077438780934,0.5542734117200089,0.0,0.0,0.0,0.0,0.0,0.0,adamw,314159,verified-v3-adamw-1e-5,3907,NQ
0.4811479393723614,1.0,1e-05,0.5889955231473645,0.09875375468019285,0.5052083333333334,0.09892378367760875,0.28945729606166576,0.5004300665589738,0.0,0.0,0.0,0.0,0.0,0.0,adamw,314159,verified-v3-adamw-1e-5,3907,QuoraRetrieval
