optimizer,validation_selected_run_id,validation_selected_lr,retrieval_oracle_run_id,retrieval_oracle_lr,delta_trailing_training_loss,delta_validation_contrastive_loss,delta_validation_positive_margin,delta_full_corpus_mean_ndcg_at_10,training_fit_worse,validation_shortlist_better,full_corpus_worse,three_regime_reversal
muon,muon-lr3e-3,0.003,muon-lr3e-4,0.0003,0.12097639322280884,-0.36956128737253735,0.019225358963012695,-0.03153428571428574,True,True,True,True
normuon,normuon-lr3e-3,0.003,normuon-lr3e-4,0.0003,0.10681612968444826,-0.42681430842697665,0.020397663116455078,-0.030043571428571503,True,True,True,True
