defined,exact_feature,exact_pooled_feature_rmse,exact_predictively_useful,original_feature,original_minus_exact_feature_mse,original_minus_exact_feature_mse_rational,original_minus_exact_feature_rmse,original_pooled_feature_rmse,original_predictively_useful
True,exact_nonzero_saved_segment_stable_rank_fraction,0.016643981359481384,False,saved_segment_stable_rank_fraction,-1.351714254577395e-05,-2583303258125269804555280966081121479152585929188023220910112392375852465921108815373612769576002987708187393012684845643322331830882675063212647644230387298571698263385373587213122556895435002752580577504028586602911548714823989781939414462081964564445353815699981431859590973570093806267235491092927166661968156266238776895868150656225370562332261319691351205393271181193376596159365938707265701907052839342691348989413672725144186829414906937895436496249911000595809271333247170114558262322192881975578281879620280846625136005238488304238529188144526244728292600220678501445416441605987630919146770020749344381797466206638998459019274553253152270807548531907439774910884815933307283375549189607308462250545793228222656934073207537472148450927339624221659153653328161113761351018971078203308001035564532329436007760365967060895742367471251546556453713556677566661800686160036804080664282137116651540138536861232125616127753158128345815244680105532649103805193/191113117981649411979261617355818783729506354547692773103400488056965219109445662987043847044700039537980774549422187734882426360384193213085769456099358160458354115041619253633265939458201341778995844553440916770172568467475410757911802749281361782830827896355862204333780288664426165428773849060091484767121210145311531281480473805852213381796745938748168028071087240500408227740672856908209236564750726760328564413939840684160955977179433800967014634244267715037869743684720349924168009080112250344834497273902645446352226549602613411025423521848526007682668258707039390519522001456864250399606548255783656535301949258427024995806655633375633844736835902727481141226348972632766337096266355883886305111650115484528459041297575587368545115230951641398713933145134454463911414445117329052738305443594573388129577299202257848002024797481914355171923488087703517066035564034270853999975415444661289861853519992997936873831464508199448587915094774330290274442915348480,-0.0004111451024069651,0.016232836257074418,True
True,full_spectrum_nonzero_saved_segment_entropy_rank_fraction,0.016495264167452357,False,saved_segment_sketch_effective_rank_fraction,4.4675867679720975e-06,31885209678032674121229943613646830842084696381766717678998423793633240583926671444459103069305547030324980117632392163421540473336290006773093914038512519819767722179677273425578629251014414078971946373306347562469035857610958722647076321371912426790466185040659738600340982759600775075842891558524353492075600632352743650122350659748532329655665580819989331852362541341189629375170843317220109528697950507558512443693610359083694404865798990711800966929658912917579168102021718681434721465616345392817770577376740970146753799565801632340012923387373670394068172395650004420113910568279275255641247826163455101046542156379220851387084975463285975777741026447413431805287636783213599059883818391109675181485894521914649397325998127237207487714653911865097103294082596579990534847520185140930242130943949310613362179280412905453058209319517347719600185825197566214098782020479654538536768716845750681697854309220221473775552606923828593220441102738237329690717726284109/7137009605860622425391500887661267336984447194738223909446868073167981117748441608901229873950769316003046063496411138223844936239318419240820846895649558184423092954842275291528932011779756613805043557125478654085933792868103780118265833306299402382124137756316173275121131963301427442116285284632123713342237914705927813727768211465389261376294654293698280916356660514151733379085520477021574687679148967485177460030557739476381935354845594202785252981191477696804903904037095053332980065258174298700342372007409582086584421523944065690850226815877563814596907388468946115422937289569681272754511516905190137038169978624075957145073778750109358556021715144577924584136990277079366691742951977983388523891962037735045047256566891735000437928858391922935738973693757445425449336845667160055099292630934457124095871341381699298354188251202930734544558503510452905937950030816606283377760929421969887710221999759371558370273661901878575170378566384212790473354774454678323200,0.00013486892648317524,0.01663013309393553,False
True,exact_nonzero_cumulative_stable_rank_fraction,0.01680147487934903,False,cumulative_stable_rank_fraction,-2.1191587858060798e-05,-729934823195503975738376788087200316959025573499900448997956038940676189155304073826335951679075041152182118275398508712511230111934400791775708507675844272921884915985708202009070316294495969854896404074389025134074226048655692879204279996916356068836467546674077588406799119525430529391025745130196772285839286689695063250984168504429692566028210113720452038377844487711801051690891940351406082114947861672234818345150916583659012479959227863017883529993244999024987235471695072276756848108107170193205003014078198751096945212668482227321379209129643510308049686164957397780427022777977303276099272478372470609553547770660021606050114598311660765676815007469940464277016939882934355606474994346825296195739239856741796563724403545687130878052392626905764611139212519868440444715023759529031560843533315350954060611416522425611110966485370561393150591545257878530510926099801814583236057359720904522769570781680251023856812361179856370173124646579299074981475252453965398968411259/34444555456841490802238930699382536491366311307406854343823189087181671497606374397428421668845970571803838445937539498859454842358237250381021242435037823314228318824617157134846188548426151260874247785356881207880715593150810828064657269588132661221638007023629247115021126107346073184360129715664188853454138489352331447322044582094059814976723734035080039708288870991348008846502858003198691964217813995624189498943753756907122066906880090436266429112981654318131487503224473133360467773351380100443288852366030888832292765178725653024768034216015137377425210166283692961014703506333314395396947365108078562121811320518188498051040101663851609413703848055355765741524596402394304509516139029472120801064258842070496538516815712297483706273825602995796985762240538517097240233062326003147813541532083067854041825070863233162244106116736531151986743833756398367277831024991163458387768739016273193632616976759245663626461518057218957950827008693604851088832329971679489738926293778432,-0.000642948638898272,0.01615852624045076,False
True,exact_mean_saved_segment_overlap_to_adamw,0.016876782570315017,False,mean_saved_segment_subspace_overlap_to_adamw,-6.641045399181715e-22,-1288718364930783703258778706182968661825230636687418180376201891708649208793695804663389939429860690256891129476072371587215169131393782235561470932359672739831628868004726998180605708229513452187718958747400147343852170366268300039992004491806161628049317065817995798383089055560751257400129836523406054427033049652301103568065726660691953595329916736552667131271575223856977699782322718841378436335017352781429478746899418689394888780485000602763043565733548712360675653390984112988636198146399973429425486067708653443902513756692547171874484380961066791604821973681846201757668948351425153845047046821951013620938595070766763208051699511349529299395395816117885323100410974006113911241129725315567850339065218161005759773395428632242067642594868108943194714072904177446298608362381860728853110983654294370462341254362406021230170435299914812657596026422631844738335521522321872518438507669788047290378937502075117270874000132917/1940535393854670664576723873287779295734919305190562236488384880386479256101410169594459439999906443785761509073576552016082594937938031893107444222480684926572099108311837923828333958211672430473604191052976688895384782784238629828257559910960559895884447805173027493728051870543260579795389760978466327635746972834650751017967828109261069539943697731195815992978261533556470399444174968994424538475314387883162837849590881497845538124947066103494237815601156908688940182855595967944916194141770435552040988437373422587652578158266126036666361519321509552097989566505300703925187354018248322824957260861359789725018395800118013911507282226695251074139376145346064136198062228831287064301202689308787927555676308890960747415343053491058846354618036622315910199014211653562147108280152246496725335361897580201324498840559031294694436843243002457743860293024213822389616890222842297643940555880424733267619876260827010675545911296346805150945153489305600,-1.9675093198341047e-20,0.016876782570315017,False
True,exact_mean_cumulative_overlap_to_adamw,0.016541096925541898,False,mean_cumulative_subspace_overlap_to_adamw,-5.506510987778336e-21,-812954521890068484921573001163038047311989070745484334179658322543487405852471088745410764531776180165495148200593519794001189644367522803763178010795588392285721688525625516748221322310233962223158792388057004629839688789721442960656619629485104547003355944374726840031614558291671644007338541306142056750381309314944559670670121128547675122692608317754411971932274679701701725559282136130277124597718376617467766463453270654972176234063761806732089995747969557661251458559530696737158261522553509679759235123690053305585001577489181980535569733925377188009157715682388019578593385655556433934780781091838203046089592772398818136645151616007743592140975735376250091376153206887573362836922952226341831794161464346238377757500639620241802198772989823182159124053912072917517759259501298259539888328755731365748985762897344647224180260008142683071733535064741059289941144648971562046432423138227039792863741525618827748490149254723971432180898242245271/147635140235698345732483732175170106747171981462981570116931734670853215474482935002339546639446709766125579089803842596886195142516884601702498075592552491297910417328022345962024034788081753044287270816305992532817773673771615349431701014217893045969672032296162189557524718879908457674138389923037122651950265250137009467559517067342097055651200152754537938375010850220344294654570063043664443705430689474539556022301892407790887122861679876158167552489940441548222442547431984662002672900727921130373477894483452903099348000426398177279292347001542639921428743135609661165906319735482787056786495408911714035413441513531323477459130323085211238274561136589617406780119531467342984833978497280541518181634785404385830132931631675415162553056409490241495550648709615306631791279150857842611746203272221681081535896004879945348677333526122398822905298358838090519423690669735378784188009701679100070582800058640080291573677682534157424282130572369209407064664775972683776,-1.6644939004243029e-19,0.016541096925541898,False
