family,anchor_kind,source_optimizer,learning_rate,run_id,stage,fraction,step,label,update_operator,tensor,rows,columns,rank,frobenius_norm,spectral_norm,stable_rank,nuclear_norm,entropy_effective_rank,condition_number
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,dense/adamw-lr1e-5/checkpoint-782,muon,0.layers.10.attn.Wqkv.weight,2304,768,768,151.83497619628906,7.0395917892456055,465.2096252441406,4124.021484375,751.975341796875,9.387767791748047
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,dense/adamw-lr1e-5/checkpoint-782,muon,0.layers.10.mlp.Wi.weight,2304,768,768,156.19174194335938,7.098030090332031,484.2174987792969,4258.10107421875,754.985107421875,11.314241409301758
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,dense/adamw-lr1e-5/checkpoint-782,muon,0.layers.21.attn.Wqkv.weight,2304,768,768,136.2552032470703,7.698760509490967,313.23089599609375,3388.58935546875,669.8816528320312,12.648579597473145
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,dense/adamw-lr1e-5/checkpoint-782,muon,0.layers.21.mlp.Wi.weight,2304,768,768,153.1866455078125,19.937088012695312,59.036190032958984,2070.568115234375,284.5734558105469,104.45429229736328
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,dense/adamw-lr1e-5/checkpoint-782,normuon,0.layers.0.attn.Wqkv.weight,2304,768,768,81.9349365234375,4.309951305389404,361.40447998046875,2201.11865234375,742.6322021484375,2099.26953125
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,dense/adamw-lr1e-5/checkpoint-782,normuon,0.layers.0.mlp.Wi.weight,2304,768,768,153.4220428466797,8.056869506835938,362.6125793457031,4147.998046875,748.412841796875,22.453516006469727
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,dense/adamw-lr1e-5/checkpoint-782,normuon,0.layers.10.attn.Wqkv.weight,2304,768,768,151.83444213867188,8.385403633117676,327.8631896972656,4068.4296875,741.6908569335938,11.913239479064941
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,dense/adamw-lr1e-5/checkpoint-782,normuon,0.layers.10.mlp.Wi.weight,2304,768,768,156.18861389160156,8.634329795837402,327.2212219238281,4202.60546875,744.86572265625,13.654838562011719
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,dense/adamw-lr1e-5/checkpoint-782,normuon,0.layers.21.attn.Wqkv.weight,2304,768,768,136.2534637451172,14.936655044555664,83.21247100830078,3203.5517578125,638.9288330078125,22.16010093688965
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,dense/adamw-lr1e-5/checkpoint-782,normuon,0.layers.21.mlp.Wi.weight,2304,768,768,153.18894958496094,23.200654983520508,43.59677505493164,2059.87060546875,295.5820007324219,87.06180572509766
