seed,model_family,optimizer,learning_rate,aux_learning_rate,run_id,stage,fraction,checkpoint_step,task,ndcg_at_10,subsets,result_path
314159,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,TRECCOVID,0.7844,1,results/confirmatory-beir/seed314159/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/TRECCOVIDDecontaminated.json
314159,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,Touche2020,0.32434,1,results/confirmatory-beir/seed314159/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/Touche2020Decontaminated.json
314159,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,ArguAna,0.51293,1,results/confirmatory-beir/seed314159/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/ArguAnaDecontaminated.json
314159,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,ClimateFEVER,0.43393,1,results/confirmatory-beir/seed314159/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/ClimateFEVERDecontaminated.json
314159,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,DBPedia,0.23455,1,results/confirmatory-beir/seed314159/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/DBPediaDecontaminated.json
314159,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,FEVER,0.92379,1,results/confirmatory-beir/seed314159/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/FEVERDecontaminated.json
314159,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,FiQA2018,0.49695,1,results/confirmatory-beir/seed314159/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/FiQA2018Decontaminated.json
314159,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,HotpotQA,0.61595,1,results/confirmatory-beir/seed314159/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/HotpotQADecontaminated.json
314159,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,MSMARCO,0.56107,1,results/confirmatory-beir/seed314159/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/MSMARCODecontaminated.json
314159,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,NFCorpus,0.24437,1,results/confirmatory-beir/seed314159/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/NFCorpusDecontaminated.json
314159,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,NQ,0.88667,1,results/confirmatory-beir/seed314159/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/NQDecontaminated.json
314159,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,QuoraRetrieval,0.88186,1,results/confirmatory-beir/seed314159/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/QuoraRetrievalDecontaminated.json
314159,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,SCIDOCS,0.11413,1,results/confirmatory-beir/seed314159/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/SCIDOCSDecontaminated.json
314159,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,SciFact,0.85394,1,results/confirmatory-beir/seed314159/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/SciFactDecontaminated.json
314159,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,TRECCOVID,0.77427,1,results/confirmatory-beir/seed314159/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/TRECCOVIDDecontaminated.json
314159,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,Touche2020,0.33836,1,results/confirmatory-beir/seed314159/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/Touche2020Decontaminated.json
271828,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,ArguAna,0.56053,1,results/confirmatory-beir/seed271828/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/ArguAnaDecontaminated.json
271828,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,ClimateFEVER,0.40778,1,results/confirmatory-beir/seed271828/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/ClimateFEVERDecontaminated.json
271828,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,DBPedia,0.27661,1,results/confirmatory-beir/seed271828/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/DBPediaDecontaminated.json
271828,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,FEVER,0.92102,1,results/confirmatory-beir/seed271828/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/FEVERDecontaminated.json
271828,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,FiQA2018,0.54247,1,results/confirmatory-beir/seed271828/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/FiQA2018Decontaminated.json
271828,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,HotpotQA,0.67599,1,results/confirmatory-beir/seed271828/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/HotpotQADecontaminated.json
271828,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,MSMARCO,0.56962,1,results/confirmatory-beir/seed271828/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/MSMARCODecontaminated.json
271828,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,NFCorpus,0.28723,1,results/confirmatory-beir/seed271828/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/NFCorpusDecontaminated.json
271828,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,NQ,0.93964,1,results/confirmatory-beir/seed271828/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/NQDecontaminated.json
271828,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,QuoraRetrieval,0.91304,1,results/confirmatory-beir/seed271828/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/QuoraRetrievalDecontaminated.json
271828,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,SCIDOCS,0.14808,1,results/confirmatory-beir/seed271828/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/SCIDOCSDecontaminated.json
271828,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,SciFact,0.86313,1,results/confirmatory-beir/seed271828/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/SciFactDecontaminated.json
271828,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,TRECCOVID,0.82194,1,results/confirmatory-beir/seed271828/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/TRECCOVIDDecontaminated.json
271828,dense,adamw,3e-05,3e-06,adamw-selected,5,1.0,3907,Touche2020,0.33342,1,results/confirmatory-beir/seed271828/dense/adamw-selected__checkpoint-3907/results/adamw-selected__checkpoint-3907/local/Touche2020Decontaminated.json
271828,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,ArguAna,0.51194,1,results/confirmatory-beir/seed271828/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/ArguAnaDecontaminated.json
271828,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,ClimateFEVER,0.41504,1,results/confirmatory-beir/seed271828/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/ClimateFEVERDecontaminated.json
271828,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,DBPedia,0.22588,1,results/confirmatory-beir/seed271828/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/DBPediaDecontaminated.json
271828,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,FEVER,0.92193,1,results/confirmatory-beir/seed271828/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/FEVERDecontaminated.json
271828,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,FiQA2018,0.53001,1,results/confirmatory-beir/seed271828/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/FiQA2018Decontaminated.json
271828,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,HotpotQA,0.62003,1,results/confirmatory-beir/seed271828/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/HotpotQADecontaminated.json
271828,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,MSMARCO,0.5585,1,results/confirmatory-beir/seed271828/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/MSMARCODecontaminated.json
271828,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,NFCorpus,0.23327,1,results/confirmatory-beir/seed271828/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/NFCorpusDecontaminated.json
271828,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,NQ,0.91843,1,results/confirmatory-beir/seed271828/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/NQDecontaminated.json
271828,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,QuoraRetrieval,0.88024,1,results/confirmatory-beir/seed271828/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/QuoraRetrievalDecontaminated.json
271828,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,SCIDOCS,0.09705,1,results/confirmatory-beir/seed271828/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/SCIDOCSDecontaminated.json
271828,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,SciFact,0.82556,1,results/confirmatory-beir/seed271828/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/SciFactDecontaminated.json
271828,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,TRECCOVID,0.77214,1,results/confirmatory-beir/seed271828/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/TRECCOVIDDecontaminated.json
271828,dense,muon,0.003,3e-06,muon-selected,5,1.0,3907,Touche2020,0.33914,1,results/confirmatory-beir/seed271828/dense/muon-selected__checkpoint-3907/results/muon-selected__checkpoint-3907/local/Touche2020Decontaminated.json
271828,dense,normuon,0.003,3e-06,normuon-selected,5,1.0,3907,ArguAna,0.49006,1,results/confirmatory-beir/seed271828/dense/normuon-selected__checkpoint-3907/results/normuon-selected__checkpoint-3907/local/ArguAnaDecontaminated.json
