seed,model_family,optimizer,tasks,mean_ndcg_at_10,median_ndcg_at_10
314159,dense,adamw,14,0.5912764285714286,0.563035
314159,dense,muon,14,0.5568064285714286,0.5325150000000001
314159,dense,normuon,14,0.5623407142857143,0.5369999999999999
271828,dense,adamw,14,0.5900357142857142,0.565075
271828,dense,muon,14,0.5606542857142857,0.5442549999999999
271828,dense,normuon,14,0.5550621428571428,0.531415
161803,dense,adamw,14,0.5902828571428571,0.5655749999999999
161803,dense,muon,14,0.5622807142857144,0.534675
161803,dense,normuon,14,0.5629442857142857,0.54259
