family,anchor_kind,source_optimizer,learning_rate,run_id,stage,fraction,step,label,tensor,rows,columns,parameters,gradient_steps,weight_frobenius_norm,frobenius_norm,top_1pct_row_energy,top_10pct_row_energy,spectral_norm,approx_stable_rank,sketched_nuclear_norm,sketched_entropy_effective_rank,sketched_condition_number,captured_frobenius_energy,sketch_algorithm,sketch_rank,row_norm_mean,row_norm_cv,row_norm_gini,row_norm_max_to_median,column_norm_mean,column_norm_cv,column_norm_gini,column_norm_max_to_median
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.0.attn.Wo.weight,768,768,589824,8,26.85479736328125,0.11837808787822723,0.044188179075717926,0.21869894862174988,0.05674324929714203,4.352331161499023,0.7201512455940247,51.67134475708008,12.367574691772461,0.9215630292892456,randomized,64,0.004155041184276342,0.2385607361793518,0.12345376842309728,3.4157986640930176,0.003680270863696933,0.5892303586006165,0.2659129246211011,7.991058826446533
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.0.attn.Wqkv.weight,2304,768,1769472,8,81.93490600585938,0.17759457230567932,0.1169881746172905,0.4756872057914734,0.11201385408639908,2.5138847827911377,1.0112788677215576,50.54511642456055,17.477413177490234,0.9205536246299744,randomized,64,0.0030989584047347307,0.6523230075836182,0.3246195933795438,6.55132532119751,0.005126146599650383,0.750300943851471,0.18513646976142747,20.07659339904785
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.0.mlp.Wi.weight,2304,768,1769472,8,153.41387939453125,0.07767940312623978,0.20261210203170776,0.45630595088005066,0.03276755288243294,5.620336055755615,0.4716354012489319,52.71395492553711,9.97872257232666,0.8923128247261047,randomized,64,0.001368210418149829,0.6317773461341858,0.26057940304173394,20.970441818237305,0.0025260145775973797,0.4810941815376282,0.1648016339011442,10.686355590820312
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.0.mlp.Wo.weight,768,1152,884736,8,106.43067169189453,0.08595719933509827,0.0520905964076519,0.2775458097457886,0.0574057437479496,2.2421722412109375,0.44905155897140503,46.75771713256836,20.2307071685791,0.9349000453948975,randomized,64,0.0029511600732803345,0.32352903485298157,0.1690907973217592,2.963876962661743,0.0017127383034676313,1.089255928993225,0.2959790110384503,23.33038902282715
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.1.attn.Wo.weight,768,768,589824,8,46.44919967651367,0.07488042861223221,0.02729872241616249,0.18137933313846588,0.023556377738714218,10.104762077331543,0.4828387498855591,55.4100227355957,6.710773468017578,0.8776344656944275,randomized,64,0.0026617078110575676,0.1747318059206009,0.09520315162189047,1.7153234481811523,0.0024398586247116327,0.4758756756782532,0.20825839959216433,5.37776517868042
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.1.attn.Wqkv.weight,2304,768,1769472,8,159.6897430419922,0.18161317706108093,0.2215554118156433,0.6786361336708069,0.1571585237979889,1.335532546043396,0.7405508160591125,38.96440124511719,38.72136306762695,0.9723626971244812,randomized,64,0.0025698700919747353,1.080662488937378,0.48050682861139,25.319257736206055,0.003387182019650936,1.6563881635665894,0.16078012000139238,50.97586441040039
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.1.mlp.Wi.weight,2304,768,1769472,8,157.8882598876953,0.08866842091083527,0.09836134314537048,0.35810595750808716,0.040493451058864594,4.795098304748535,0.5452452301979065,54.05477523803711,10.146683692932129,0.8687168955802917,randomized,64,0.0016918397741392255,0.43845945596694946,0.2102456617827176,6.607790470123291,0.002896064193919301,0.4697287082672119,0.10917097355466213,13.24864673614502
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.1.mlp.Wo.weight,768,1152,884736,8,109.57128143310547,0.06965390592813492,0.022902732715010643,0.16783228516578674,0.027206039056181908,6.554957866668701,0.4398931860923767,55.35865783691406,8.068244934082031,0.8578071594238281,randomized,64,0.0024839744437485933,0.15450170636177063,0.08561418255665225,1.619009017944336,0.0018175451550632715,0.5243133902549744,0.21129054509637932,10.48032283782959
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.10.attn.Wo.weight,768,768,589824,8,75.740478515625,0.06138989329338074,0.03589881584048271,0.20990130305290222,0.03307240456342697,3.445608377456665,0.35913795232772827,49.59312438964844,15.693842887878418,0.9403805732727051,randomized,64,0.002164705889299512,0.2173045575618744,0.11584637456382209,2.37250018119812,0.002137129195034504,0.27280303835868835,0.14779353986347046,2.4444127082824707
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.10.attn.Wqkv.weight,2304,768,1769472,8,151.82958984375,0.11663385480642319,0.13933634757995605,0.5181145071983337,0.08666593581438065,1.811236023902893,0.5627894401550293,43.19465637207031,27.3969783782959,0.9569326639175415,randomized,64,0.0019268332980573177,0.768362283706665,0.3832885291145755,7.6939287185668945,0.0031013006810098886,0.9174513816833496,0.15731453651114358,20.307331085205078
