family,anchor_kind,source_optimizer,learning_rate,run_id,stage,fraction,step,label,tensor,rows,columns,parameters,gradient_steps,weight_frobenius_norm,update_operator,frobenius_norm,top_1pct_row_energy,top_10pct_row_energy,spectral_norm,approx_stable_rank,sketched_nuclear_norm,sketched_entropy_effective_rank,sketched_condition_number,captured_frobenius_energy,sketch_algorithm,sketch_rank,row_norm_mean,row_norm_cv,row_norm_gini,row_norm_max_to_median,column_norm_mean,column_norm_cv,column_norm_gini,column_norm_max_to_median,cosine_with_final_gradient,cosine_with_weight,per_unit_lr_update_to_weight,matched_frobenius_norm
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.0.attn.Wo.weight,768,768,589824,8,26.85479736328125,adamw,274.18341064453125,0.012339213863015175,0.11214487999677658,67.04217529296875,16.725942611694336,1680.3427734375,59.940208435058594,4.346202850341797,0.6741042137145996,randomized,64,9.888394355773926,0.033045269548892975,0.01865774029563502,1.1033835411071777,9.88018798828125,0.05249525606632233,0.029322466086103734,1.2202410697937012,0.36846062541007996,0.0005098829860799015,10.209900856018066,26.85479736328125
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.0.attn.Wo.weight,768,768,589824,8,26.85479736328125,muon,24.5299015045166,0.011195670813322067,0.10547351092100143,1.1731981039047241,437.1609191894531,71.57070922851562,63.973609924316406,1.108863353729248,0.13312646746635437,randomized,64,0.8850249648094177,0.016040820628404617,0.008996967986491704,1.0409897565841675,0.8849346041679382,0.021471064537763596,0.01179508711975656,1.0524733066558838,0.28240808844566345,-0.0014762826031073928,0.9134191870689392,26.85479736328125
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.0.attn.Wo.weight,768,768,589824,8,26.85479736328125,normuon,24.529569625854492,0.01146292220801115,0.10660365223884583,1.1818567514419556,430.7788391113281,71.83419799804688,63.970252990722656,1.1182386875152588,0.1341225951910019,randomized,64,0.8850046992301941,0.017414579167962074,0.009792780932316244,1.066455602645874,0.8849408626556396,0.021156158298254013,0.011602091137787913,1.0491057634353638,0.28116798400878906,-0.0014889469603076577,0.9134191870689392,26.85479736328125
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.0.attn.Wqkv.weight,2304,768,1769472,8,81.93490600585938,adamw,480.679443359375,0.018131686374545097,0.1337457001209259,104.55194854736328,21.138010025024414,2814.735595703125,60.231075286865234,3.8285305500030518,0.6106196641921997,randomized,64,9.980838775634766,0.08202183991670609,0.04444057563484418,1.6177688837051392,17.341754913330078,0.020417042076587677,0.011463866182574788,1.0652254819869995,0.2809021472930908,-0.001469304203055799,5.866718292236328,81.93490600585938
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.0.attn.Wqkv.weight,2304,768,1769472,8,81.93490600585938,muon,45.09857940673828,0.024586383253335953,0.17590779066085815,2.0297040939331055,493.6731872558594,124.858154296875,63.98129653930664,1.0897831916809082,0.11984004080295563,randomized,64,0.9256268739700317,0.17397888004779816,0.09636760039667051,1.6461679935455322,1.6249032020568848,0.05451691150665283,0.018573411318946437,1.0714671611785889,0.2470865100622177,-0.002585263457149267,0.5504064559936523,81.93490600585938
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.0.attn.Wqkv.weight,2304,768,1769472,8,81.93490600585938,normuon,45.09646224975586,0.013871436938643456,0.11894480139017105,2.2551445960998535,399.9043884277344,132.96533203125,63.947105407714844,1.1647682189941406,0.1360539346933365,randomized,64,0.9384494423866272,0.048029690980911255,0.02670097727112515,1.337127685546875,1.6247934103012085,0.05574367940425873,0.020714062177449914,1.0816643238067627,0.23513919115066528,-0.002660389756783843,0.5504064559936523,81.93490600585938
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.0.mlp.Wi.weight,2304,768,1769472,8,153.41387939453125,adamw,476.2378845214844,0.015961527824401855,0.12531009316444397,95.98848724365234,24.616552352905273,2776.219482421875,60.63045883178711,3.596250057220459,0.5942644476890564,randomized,64,9.901308059692383,0.06440887600183487,0.03489618171028998,1.4980278015136719,17.181581497192383,0.020246749743819237,0.01138603302525319,1.087933897972107,0.3384072780609131,-0.000402993056923151,3.1043317317962646,153.41387939453125
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.0.mlp.Wi.weight,2304,768,1769472,8,153.41387939453125,muon,45.57770919799805,0.025077108293771744,0.1642606109380722,2.0305967330932617,503.7797546386719,124.95308685302734,63.983158111572266,1.0866864919662476,0.11750443279743195,randomized,64,0.9348671436309814,0.17772655189037323,0.09413425813745499,1.9311723709106445,1.6443476676940918,0.01793593354523182,0.01003317609097586,1.0472989082336426,0.29329460859298706,0.0005526607856154442,0.2970840632915497,153.41387939453125
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.0.mlp.Wi.weight,2304,768,1769472,8,153.41387939453125,normuon,45.57572937011719,0.01465215440839529,0.11874853074550629,2.28108811378479,399.2122802734375,133.2173614501953,63.939361572265625,1.1812134981155396,0.13374516367912292,randomized,64,0.9485862255096436,0.04431302472949028,0.023577311560495504,1.2682331800460815,1.6442017555236816,0.0223395936191082,0.012419699702020247,1.0532071590423584,0.2747650742530823,0.00033805015846155584,0.2970840632915497,153.41387939453125
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.0.mlp.Wo.weight,768,1152,884736,8,106.43067169189453,adamw,335.9100036621094,0.013140760362148285,0.11537040024995804,71.87413024902344,21.842742919921875,1972.38671875,61.00065994262695,3.6791038513183594,0.5960209965705872,randomized,64,12.113001823425293,0.03679509460926056,0.02037080940630856,1.1734492778778076,9.885622024536133,0.04781826585531235,0.026714442997375052,1.2324870824813843,0.30510690808296204,0.000271625496679917,3.156162977218628,106.43067169189453
