family,anchor_kind,source_optimizer,learning_rate,run_id,stage,fraction,step,label,operator_pair,tensors,parameters,cosine_parameter_weighted
late,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,late/adamw-lr1e-5/checkpoint-3907,adamw__normuon,88,110297088,0.45689574768517743
late,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,late/adamw-lr1e-5/checkpoint-3907,muon__normuon,88,110297088,0.9697876097684238
late,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,late/muon-lr1e-3/checkpoint-782,adamw__muon,88,110297088,0.44413584064353595
late,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,late/muon-lr1e-3/checkpoint-782,adamw__normuon,88,110297088,0.45406963911286014
late,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,late/muon-lr1e-3/checkpoint-782,muon__normuon,88,110297088,0.9682678698218442
late,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,late/muon-lr1e-3/checkpoint-2345,adamw__muon,88,110297088,0.4250519219088682
late,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,late/muon-lr1e-3/checkpoint-2345,adamw__normuon,88,110297088,0.4363704240098994
late,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,late/muon-lr1e-3/checkpoint-2345,muon__normuon,88,110297088,0.9689645776774156
late,checkpoint,muon,0.001,muon-lr1e-3,5,1.0,3907,late/muon-lr1e-3/checkpoint-3907,adamw__muon,88,110297088,0.432955032045191
late,checkpoint,muon,0.001,muon-lr1e-3,5,1.0,3907,late/muon-lr1e-3/checkpoint-3907,adamw__normuon,88,110297088,0.44298701115789263
late,checkpoint,muon,0.001,muon-lr1e-3,5,1.0,3907,late/muon-lr1e-3/checkpoint-3907,muon__normuon,88,110297088,0.9688864506502203
late,checkpoint,normuon,0.001,normuon-lr1e-3,1,0.2,782,late/normuon-lr1e-3/checkpoint-782,adamw__muon,88,110297088,0.43919097405066465
late,checkpoint,normuon,0.001,normuon-lr1e-3,1,0.2,782,late/normuon-lr1e-3/checkpoint-782,adamw__normuon,88,110297088,0.4490850222780105
late,checkpoint,normuon,0.001,normuon-lr1e-3,1,0.2,782,late/normuon-lr1e-3/checkpoint-782,muon__normuon,88,110297088,0.967562574116304
late,checkpoint,normuon,0.001,normuon-lr1e-3,3,0.6,2345,late/normuon-lr1e-3/checkpoint-2345,adamw__muon,88,110297088,0.4392897441266055
late,checkpoint,normuon,0.001,normuon-lr1e-3,3,0.6,2345,late/normuon-lr1e-3/checkpoint-2345,adamw__normuon,88,110297088,0.4503784963791383
late,checkpoint,normuon,0.001,normuon-lr1e-3,3,0.6,2345,late/normuon-lr1e-3/checkpoint-2345,muon__normuon,88,110297088,0.9688633780747173
late,checkpoint,normuon,0.001,normuon-lr1e-3,5,1.0,3907,late/normuon-lr1e-3/checkpoint-3907,adamw__muon,88,110297088,0.4245621511005463
late,checkpoint,normuon,0.001,normuon-lr1e-3,5,1.0,3907,late/normuon-lr1e-3/checkpoint-3907,adamw__normuon,88,110297088,0.43580103621763344
late,checkpoint,normuon,0.001,normuon-lr1e-3,5,1.0,3907,late/normuon-lr1e-3/checkpoint-3907,muon__normuon,88,110297088,0.9677862866039582
