family,anchor_kind,source_optimizer,learning_rate,run_id,stage,fraction,step,label,tensors,parameters,weight_frobenius_norm,gradient_frobenius_norm,global_gradient_to_weight,row_norm_cv_parameter_weighted,row_norm_gini_parameter_weighted,row_norm_max_to_median_parameter_weighted,column_norm_cv_parameter_weighted,column_norm_gini_parameter_weighted,column_norm_max_to_median_parameter_weighted,top_1pct_row_energy_parameter_weighted,top_10pct_row_energy_parameter_weighted,spectral_norm_parameter_weighted,approx_stable_rank_parameter_weighted,sketched_nuclear_norm_parameter_weighted,sketched_entropy_effective_rank_parameter_weighted,captured_frobenius_energy_parameter_weighted
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,88,110297088,1196.2692808662935,0.8984350469656721,0.0007510307765447752,0.6211905846979847,0.29018306615791933,10.23760895805563,0.851684594855589,0.19000906948814344,20.946805076803116,0.13889794882865034,0.4361980116781704,0.05964570484039458,3.597490531238005,0.4803517622783541,44.35939058135538,0.9412734081400908
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,dense/adamw-lr1e-5/checkpoint-782,88,110297088,1196.1937385281503,0.8751450662320523,0.0007316081317302911,0.605219707052338,0.29149143478399653,9.193961134250152,0.8342660296568896,0.18903322288280058,20.94729467126775,0.1242410056342814,0.4261536034830114,0.05793381328719424,3.4075001296512584,0.4726380933733547,45.052511011852935,0.9424762023005256
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,dense/adamw-lr1e-5/checkpoint-2345,88,110297088,1196.0414802549767,0.8815291169097348,0.0007370389166785478,0.619544765847252,0.29724682172316963,9.710346357070188,0.8515924044790115,0.19257902084968823,21.455271477367788,0.12794776128375912,0.43415267434827787,0.05887517111654827,3.3199689289465306,0.4695390411079886,44.58877682558356,0.9482784633011742
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,88,110297088,1196.0266452208111,0.8805088485688622,0.000736195010443352,0.6227075107754233,0.2983539182767527,9.809659896687391,0.8557856882957213,0.19366493780273264,21.595876423432866,0.12910814704323675,0.4359815229069103,0.059084297364507925,3.272926995461,0.4671958998881559,44.467969830023414,0.9490433065967764
dense,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,dense/muon-lr1e-3/checkpoint-782,88,110297088,1190.0141266256176,0.882170812385186,0.0007413112102178598,0.6938196549759829,0.32050814151617446,11.357464386498865,0.8910389075623476,0.21008660543997773,22.531760793318725,0.1596449574724557,0.4758412269825604,0.05816256055698038,3.1566764033414465,0.45128390109315913,42.2292078962938,0.9683231038843246
dense,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,dense/muon-lr1e-3/checkpoint-2345,88,110297088,1178.6771906478846,0.8910342536707282,0.0007559612256354538,0.6370321469590625,0.30479649190613217,9.970042670474333,0.8340764810694731,0.19798453856651768,20.82384570907144,0.13412627959275308,0.44238325754270197,0.059232164022418106,3.358033710941274,0.47709273558886933,43.791075896451815,0.9572092956081432
dense,checkpoint,muon,0.001,muon-lr1e-3,5,1.0,3907,dense/muon-lr1e-3/checkpoint-3907,88,110297088,1174.80266056574,0.8907583270210443,0.0007582195350086193,0.6557006279335302,0.30401118259842846,10.696568756498754,0.880307073341334,0.19659142643466684,22.556518962676513,0.14954917169708937,0.4557849548478177,0.058194801873741625,3.4126864550585414,0.4697288535336122,44.41517023861727,0.9502479936031096
dense,checkpoint,normuon,0.001,normuon-lr1e-3,1,0.2,782,dense/normuon-lr1e-3/checkpoint-782,88,110297088,1190.003084092894,0.8856851373716425,0.0007442712957729647,0.7091315031290691,0.32606119278651036,11.886127440368428,0.9056390458568532,0.21517058522276894,22.906656942265556,0.16283406742056583,0.4822280193395156,0.059372225014323536,3.019419459098163,0.442010165774886,41.046569192473264,0.9688904889445892
dense,checkpoint,normuon,0.001,normuon-lr1e-3,3,0.6,2345,dense/normuon-lr1e-3/checkpoint-2345,88,110297088,1178.6457987589877,0.8915837658476194,0.0007564475831385309,0.6475626601175191,0.3072090933400067,10.579796423249066,0.8419386744499207,0.2016316325037312,20.987544565914785,0.1396806194013692,0.44901619317697333,0.0599453283603338,3.2061918626494585,0.47234107757156546,43.35756376784116,0.958094768186304
dense,checkpoint,normuon,0.001,normuon-lr1e-3,5,1.0,3907,dense/normuon-lr1e-3/checkpoint-3907,88,110297088,1174.7615144292947,0.8901937398291585,0.000757765494438775,0.6552732353780997,0.30452906506167016,10.832875196946496,0.87158358001454,0.19676601905109956,22.150874888833194,0.14891807590038542,0.45525584879884107,0.05797081607030356,3.490267213971857,0.472482164953163,44.23703890433286,0.952678666714041
