family,anchor,condition,algorithm,direction,relative_scale,samples,contrastive_loss,delta_contrastive_loss,positive_score,delta_positive_score,hardest_negative_score,delta_hardest_negative_score,positive_margin,delta_positive_margin,reciprocal_rank,delta_reciprocal_rank,top1_accuracy,delta_top1_accuracy,loss_improvement_rate
dense,dense/adamw-lr1e-5/checkpoint-782,normuon-descent-3e-04,normuon,descent,0.0003,224,0.6574237053672992,0.0022803009750142727,0.6233433314732143,-0.0004185267857142857,0.58746337890625,-2.6157924107142856e-05,0.03587995256696429,-0.00039236886160714287,0.859491922626538,0.0051339285315147466,0.7723214285714286,0.008928571428571428,0.45089285714285715
dense,dense/adamw-lr1e-5/checkpoint-782,normuon-descent-1e-03,normuon,descent,0.001,224,0.6474250453229615,-0.007718359069323404,0.6239972795758929,0.00023542131696428572,0.5874285016741071,-6.103515625e-05,0.03656877790178571,0.0002964564732142857,0.8625425178158496,0.008184523720826422,0.7767857142857143,0.013392857142857142,0.5089285714285714
dense,dense/adamw-lr1e-5/checkpoint-782,normuon-sign-reversal-1e-03,normuon,sign_reversal,0.001,224,0.6732843150978495,0.0181409107055645,0.6248517717633929,0.0010899135044642857,0.5895560128348214,0.0020664760044642855,0.03529575892857143,-0.0009765625,0.8579294227861932,0.0035714286911700454,0.7767857142857143,0.013392857142857142,0.3482142857142857
dense,dense/adamw-lr1e-5/checkpoint-2345,adamw-descent-1e-04,adamw,descent,0.0001,224,0.6505212634524794,-0.0012807641863738744,0.6204398018973214,-0.0003749302455357143,0.5845947265625,-0.0005667550223214286,0.03584507533482143,0.00019182477678571428,0.8633928580342659,-7.440462442381042e-05,0.7723214285714286,-0.004464285714285714,0.5401785714285714
dense,dense/adamw-lr1e-5/checkpoint-2345,adamw-descent-3e-04,adamw,descent,0.0003,224,0.6459324229888678,-0.005869604649985506,0.6194109235491071,-0.00140380859375,0.5833217075892857,-0.0018397739955357143,0.03608921595982143,0.0004359654017857143,0.8643601198148515,0.0008928571561617511,0.7723214285714286,-0.004464285714285714,0.5669642857142857
dense,dense/adamw-lr1e-5/checkpoint-2345,adamw-descent-1e-03,adamw,descent,0.001,224,0.6420050550910089,-0.009796972547844365,0.6162545340401786,-0.004560198102678571,0.5799647739955357,-0.005196707589285714,0.036289760044642856,0.0006365094866071429,0.8690476198680699,0.0055803572093801835,0.78125,0.004464285714285714,0.5803571428571429
dense,dense/adamw-lr1e-5/checkpoint-2345,adamw-sign-reversal-1e-03,adamw,sign_reversal,0.001,224,0.6571368092145674,0.00533478157571413,0.62615966796875,0.005344935825892857,0.5909772600446429,0.005815778459821429,0.035182407924107144,-0.00047084263392857144,0.86688988183492,0.0034226191762302604,0.7857142857142857,0.008928571428571428,0.40625
dense,dense/adamw-lr1e-5/checkpoint-2345,muon-descent-1e-04,muon,descent,0.0001,224,0.6505042099662595,-0.0012978176725937374,0.6208932059151786,7.847377232142858e-05,0.5850394112723214,-0.0001220703125,0.035853794642857144,0.00020054408482142856,0.8626488103265209,-0.0008184523321688175,0.7723214285714286,-0.004464285714285714,0.46875
dense,dense/adamw-lr1e-5/checkpoint-2345,muon-descent-3e-04,muon,descent,0.0003,224,0.6468017269956883,-0.005000300643164987,0.6211111886160714,0.0002964564732142857,0.5849783761160714,-0.00018310546875,0.0361328125,0.0004795619419642857,0.8651785722800663,0.0017113096213766507,0.7767857142857143,0.0,0.5580357142857143
dense,dense/adamw-lr1e-5/checkpoint-2345,muon-descent-1e-03,muon,descent,0.001,224,0.6346795629136912,-0.01712246472516199,0.6184779575892857,-0.0023367745535714285,0.5818743024553571,-0.0032871791294642855,0.03660365513392857,0.0009504045758928571,0.8686755960807204,0.005208333422030721,0.78125,0.004464285714285714,0.5982142857142857
dense,dense/adamw-lr1e-5/checkpoint-2345,muon-sign-reversal-1e-03,muon,sign_reversal,0.001,224,0.6657190658323283,0.013917038193475102,0.6241193498883929,0.0033046177455357145,0.5889020647321429,0.0037405831473214285,0.03521728515625,-0.0004359654017857143,0.8629464293564004,-0.0005208333022892475,0.7767857142857143,0.0,0.4107142857142857
dense,dense/adamw-lr1e-5/checkpoint-2345,normuon-descent-1e-04,normuon,descent,0.0001,224,0.6491048492853224,-0.002697178353530814,0.6207449776785714,-6.975446428571428e-05,0.5848563058035714,-0.00030517578125,0.035888671875,0.00023542131696428572,0.8601934531969684,-0.003273809461721352,0.7678571428571429,-0.008928571428571428,0.5446428571428571
dense,dense/adamw-lr1e-5/checkpoint-2345,normuon-descent-3e-04,normuon,descent,0.0003,224,0.6536337310180897,0.0018317033792365173,0.6206229073660714,-0.00019182477678571428,0.5846819196428571,-0.0004795619419642857,0.03594098772321429,0.00028773716517857144,0.8627976197749376,-0.0006696428837520736,0.7723214285714286,-0.004464285714285714,0.53125
dense,dense/adamw-lr1e-5/checkpoint-2345,normuon-descent-1e-03,normuon,descent,0.001,224,0.6366869991025916,-0.01511502853626163,0.61981201171875,-0.0010027204241071428,0.5835396902901786,-0.0016217912946428572,0.03627232142857143,0.0006190708705357143,0.8689732151106,0.005505952451910291,0.78125,0.004464285714285714,0.5491071428571429
dense,dense/adamw-lr1e-5/checkpoint-2345,normuon-sign-reversal-1e-03,normuon,sign_reversal,0.001,224,0.6530947901016718,0.0012927624628186354,0.6235613141741071,0.00274658203125,0.58795166015625,0.0027901785714285715,0.035609654017857144,-4.359654017857143e-05,0.8642857151239046,0.0008184524652148996,0.7767857142857143,0.0,0.4642857142857143
dense,dense/adamw-lr1e-5/checkpoint-3907,adamw-descent-1e-04,adamw,descent,0.0001,224,0.6327589618186299,-0.004587447182188953,0.62298583984375,-0.00047084263392857144,0.5867222377232143,-0.0006016322544642857,0.03626360212053571,0.00013078962053571428,0.8740327388181218,0.002827380850378956,0.7901785714285714,0.004464285714285714,0.5892857142857143
